model,line_name,planning_year,case,unit,value
USENSYS,BASN_to_CANO,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_CASO,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_NWPP,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_RMRG,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,969
USENSYS,BASN_to_SRSG,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_CASO,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_NWPP,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,1249
USENSYS,CASO_to_NWPP,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,CASO_to_SRSG,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,2190
USENSYS,FRCC_to_SRSE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,ISNE_to_NYCW,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,434
USENSYS,ISNE_to_NYUP,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,4200
USENSYS,MISC_to_MISS,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISW,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMC,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMW,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,9046
USENSYS,MISC_to_SPPC,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,4290
USENSYS,MISC_to_SPPS,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,3516
USENSYS,MISC_to_SRCE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISE_to_PJMW,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,331
USENSYS,MISS_to_SPPS,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,5091
USENSYS,MISS_to_SRCE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SRSE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,1559
USENSYS,MISW_to_NWPP,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,600
USENSYS,MISW_to_PJMC,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,4557
USENSYS,MISW_to_SPPN,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,NWPP_to_RMRG,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,1200
USENSYS,NYCW_to_NYUP,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,4553
USENSYS,NYCW_to_PJME,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,1980
USENSYS,NYUP_to_PJME,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,3765
USENSYS,PJMC_to_PJMW,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,2940
USENSYS,PJMD_to_PJME,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,3600
USENSYS,PJMD_to_PJMW,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,PJMD_to_SRCA,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,PJME_to_PJMW,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,4373
USENSYS,PJMW_to_SRCA,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,PJMW_to_SRCE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,3159
USENSYS,RMRG_to_SPPC,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,630
USENSYS,RMRG_to_SPPN,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,1230
USENSYS,RMRG_to_SRSG,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,1842
USENSYS,SPPC_to_SPPN,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,4299
USENSYS,SPPC_to_SPPS,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,4770
USENSYS,SPPS_to_SRSG,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,3030
USENSYS,SPPS_to_TRE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,1800
USENSYS,SPPS_to_TRE_WEST,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,660
USENSYS,SRCA_to_SRCE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,91
USENSYS,SRCA_to_SRSE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,SRCE_to_SRSE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,1210
USENSYS,TRE_to_TRE_WEST,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_SPPN,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISE_to_MISW,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SPPC,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,MISW_to_SPPC,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,NWPP_to_SPPN,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,SPPN_to_SPPS,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,SRSG_to_TRE,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_CANO,2040,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_CASO,2040,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_NWPP,2040,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_RMRG,2040,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,1527
USENSYS,BASN_to_SRSG,2040,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0
