Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,85612.8000000023,9.8,1.0000000000000269
BASN_biomass_2,1,57657.5999999989,6.6,0.999999999999981
BASN_conventional_hydroelectric_1,1,4.7662321451721415e6,1478.3,0.3690625593268315
BASN_conventional_steam_coal_1,1,4394.948114338993,51.0,0.00986440627545023
BASN_conventional_steam_coal_2,1,44015.535858580835,677.2,0.007440059670289919
BASN_geothermal_1,1,413174.45346148184,56.5,0.8370904515978675
BASN_natural_gas_fired_combined_cycle_1,1,82792.12716689454,433.0,0.021887114974032895
BASN_natural_gas_fired_combined_cycle_2,1,4.699158892726563e6,7113.9,0.0756135709539319
BASN_natural_gas_fired_combustion_turbine_1,1,60070.20238963126,1460.9,0.004706802557297528
BASN_natural_gas_fired_combustion_turbine_2,1,10581.961047613317,236.2,0.005128302561278797
BASN_natural_gas_internal_combustion_engine_1,1,41577.60616329792,203.5,0.023387426854281933
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,841642.3347111885,520.0,0.18527277373714174
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.2527423999999883e6,143.4,0.9999999999999907
BASN_solar_photovoltaic_1,1,7.646867148392514e6,4274.2,0.2047934582426547
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,262953.60000000364,30.1,1.0000000000000138
CANO_biomass_2,2,235872.0,27.0,1.0
CANO_conventional_hydroelectric_1,2,1.4088150018007524e7,5619.5,0.2869747370812944
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,6.053280140339731e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,552085.3636303103,2491.5,0.025364874438949126
CANO_natural_gas_fired_combined_cycle_2,2,5.6783488246005615e6,8296.9,0.07834180742327104
CANO_natural_gas_fired_combustion_turbine_1,2,11540.806987882037,1945.4,0.000679070150589695
CANO_natural_gas_fired_combustion_turbine_2,2,11730.841017037359,1004.4,0.0013369335428963021
CANO_natural_gas_internal_combustion_engine_1,2,86743.5791520781,433.9,0.022884164566728385
CANO_natural_gas_steam_turbine_1,2,2359.0177844219725,2.9,0.09311520242918611
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,93753.87773996273,61.8,0.1736553385832732
CANO_petroleum_liquids_1,2,1146.7371802821708,150.6,0.0008716182129556946
CANO_small_hydroelectric_1,2,1.706140800000016e6,195.3,1.0000000000000093
CANO_solar_photovoltaic_1,2,4.41761048516408e6,2501.9,0.20211793273211626
CASO_batteries_1,3,0.0,0.0,0.0
CASO_biomass_1,3,481353.5999999956,55.1,0.9999999999999908
CASO_biomass_2,3,27955.200000000477,3.2,1.000000000000017
CASO_conventional_hydroelectric_1,3,2.122249936219259e6,919.0,0.2643433518151672
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,180773.1528050148,23.6,0.8768176918663799
CASO_hydroelectric_pumped_storage_1,3,4.1328689252098924e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,259569.04559300747,1078.1,0.027560127910489268
CASO_natural_gas_fired_combined_cycle_2,3,6.684398009203633e6,7458.1,0.10259388447077382
CASO_natural_gas_fired_combustion_turbine_1,3,8668.850198474498,1402.5,0.0007075318634367672
CASO_natural_gas_fired_combustion_turbine_2,3,367150.0994125846,3954.6,0.010627435131085132
CASO_natural_gas_internal_combustion_engine_1,3,12491.32905612964,48.6,0.029421157464240583
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.3297072144551931e6,416.1,0.36580167006667336
CASO_petroleum_liquids_1,3,215.78939343734987,3.3,0.007485202070060144
CASO_small_hydroelectric_1,3,624623.9999999999,71.5,0.9999999999999998
CASO_solar_photovoltaic_1,3,1.4769309324491197e7,6500.5,0.26007631218581945
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,37564.800000000425,4.3,1.0000000000000115
FRCC_biomass_2,4,687523.1999999845,78.7,0.9999999999999774
FRCC_conventional_hydroelectric_1,4,105392.44994037082,43.5,0.2773368751325492
FRCC_conventional_steam_coal_1,4,1693.9982177140796,453.0,0.00042805751080355616
FRCC_conventional_steam_coal_2,4,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,6345.846543616503,2256.7,0.00032188675851528765
FRCC_natural_gas_fired_combined_cycle_2,4,1.9810290507077254e7,28737.0,0.0789108626211316
FRCC_natural_gas_fired_combustion_turbine_1,4,2165.8456319768284,6823.2,3.6335134556694465e-5
FRCC_natural_gas_fired_combustion_turbine_2,4,3533.213190054043,133.4,0.0030318058605089994
FRCC_natural_gas_internal_combustion_engine_1,4,104507.43921103502,250.9,0.047679744499944436
FRCC_natural_gas_steam_turbine_1,4,2372.895569121971,335.0,0.0008108139143301252
FRCC_nuclear_1,4,3.0270912238634024e7,3737.0,0.9272349345445782
FRCC_petroleum_liquids_1,4,201.61769124920258,4.0,0.005769737043532583
FRCC_solar_photovoltaic_1,4,8.775077829994403e6,5877.7,0.1708956215569639
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,272563.2000000019,31.2,1.0000000000000069
ISNE_conventional_hydroelectric_1,5,1.5613388014335725e6,464.8,0.3845195345337326
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,3.408302388695425e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.1046599143400425e6,2660.6,0.047526560181454465
ISNE_natural_gas_fired_combined_cycle_2,5,8.284625517070414e6,10499.0,0.09032590489464039
ISNE_natural_gas_fired_combustion_turbine_1,5,29780.591419521792,373.5,0.009127042792513702
ISNE_natural_gas_fired_combustion_turbine_2,5,120932.51808463864,1315.9,0.010519802433702409
ISNE_natural_gas_internal_combustion_engine_1,5,24392.250733685458,52.4,0.05328536723902291
ISNE_natural_gas_steam_turbine_1,5,5362.015863029518,10.2,0.06017488893186543
ISNE_nuclear_1,5,2.2487510526031423e7,3348.1,0.768830021399138
ISNE_offshore_wind_turbine_1,5,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,5,45702.4105661785,39.8,0.13144480002513284
ISNE_petroleum_liquids_1,5,12495.134081848833,392.4,0.00364501480564588
ISNE_small_hydroelectric_1,5,1.7314751999999792e6,198.2,0.9999999999999881
ISNE_solar_photovoltaic_1,5,1.306079166572048e6,1159.8,0.12890618994994243
MISC_batteries_1,6,0.0,0.0,0.0
MISC_biomass_1,6,458640.0,52.5,1.0
MISC_biomass_2,6,10483.200000000146,1.2,1.000000000000014
MISC_conventional_hydroelectric_1,6,810473.4886949806,276.6,0.3354084596277422
MISC_conventional_steam_coal_1,6,188074.0448759023,2502.4,0.008603189878920553
MISC_conventional_steam_coal_2,6,16204.584743903395,196.0,0.009463879667469931
MISC_hydroelectric_pumped_storage_1,6,1.2120292813648179e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,616363.087667246,537.0,0.13138618760855272
