model,zone,planning_year,case,unit,value
GenX,BASN,2030,base_short_tx_50,tons,1.88951e+06
GenX,CANO,2030,base_short_tx_50,tons,6.96038e+06
GenX,CASO,2030,base_short_tx_50,tons,7.45685e+06
GenX,FRCC,2030,base_short_tx_50,tons,1.33584e+07
GenX,ISNE,2030,base_short_tx_50,tons,1.23962e+07
GenX,MISC,2030,base_short_tx_50,tons,3.84575e+06
GenX,MISE,2030,base_short_tx_50,tons,2.92311e+06
GenX,MISS,2030,base_short_tx_50,tons,1.06753e+07
GenX,MISW,2030,base_short_tx_50,tons,8.36174e+06
GenX,NWPP,2030,base_short_tx_50,tons,484342
GenX,NYCW,2030,base_short_tx_50,tons,6.3022e+06
GenX,NYUP,2030,base_short_tx_50,tons,3.43971e+06
GenX,PJMC,2030,base_short_tx_50,tons,4.77441e+06
GenX,PJMD,2030,base_short_tx_50,tons,4.46598e+06
GenX,PJME,2030,base_short_tx_50,tons,3.09134e+07
GenX,PJMW,2030,base_short_tx_50,tons,1.51725e+07
GenX,RMRG,2030,base_short_tx_50,tons,603267
GenX,SPPC,2030,base_short_tx_50,tons,800464
GenX,SPPN,2030,base_short_tx_50,tons,545281
GenX,SPPS,2030,base_short_tx_50,tons,5.61002e+06
GenX,SRCA,2030,base_short_tx_50,tons,6.19474e+06
GenX,SRCE,2030,base_short_tx_50,tons,5.81723e+06
GenX,SRSE,2030,base_short_tx_50,tons,9.70889e+06
GenX,SRSG,2030,base_short_tx_50,tons,4.8708e+06
GenX,TRE,2030,base_short_tx_50,tons,1.47518e+07
GenX,TRE_WEST,2030,base_short_tx_50,tons,3.67911e+06
GenX,BASN,2040,base_short_tx_50,tons,2.54696e+06
GenX,CANO,2040,base_short_tx_50,tons,5.14171e+06
GenX,CASO,2040,base_short_tx_50,tons,7.31174e+06
GenX,FRCC,2040,base_short_tx_50,tons,1.32352e+07
GenX,ISNE,2040,base_short_tx_50,tons,1.78519e+07
GenX,MISC,2040,base_short_tx_50,tons,4.00099e+06
GenX,MISE,2040,base_short_tx_50,tons,3.52666e+06
GenX,MISS,2040,base_short_tx_50,tons,9.70552e+06
GenX,MISW,2040,base_short_tx_50,tons,7.50163e+06
GenX,NWPP,2040,base_short_tx_50,tons,1.93769e+06
GenX,NYCW,2040,base_short_tx_50,tons,5.24133e+06
GenX,NYUP,2040,base_short_tx_50,tons,3.5585e+06
GenX,PJMC,2040,base_short_tx_50,tons,3.95126e+06
GenX,PJMD,2040,base_short_tx_50,tons,2.91878e+06
GenX,PJME,2040,base_short_tx_50,tons,2.72206e+07
GenX,PJMW,2040,base_short_tx_50,tons,1.38551e+07
GenX,RMRG,2040,base_short_tx_50,tons,896784
GenX,SPPC,2040,base_short_tx_50,tons,632135
GenX,SPPN,2040,base_short_tx_50,tons,530282
GenX,SPPS,2040,base_short_tx_50,tons,4.30546e+06
GenX,SRCA,2040,base_short_tx_50,tons,5.70946e+06
GenX,SRCE,2040,base_short_tx_50,tons,5.19531e+06
GenX,SRSE,2040,base_short_tx_50,tons,1.01413e+07
GenX,SRSG,2040,base_short_tx_50,tons,4.50686e+06
GenX,TRE,2040,base_short_tx_50,tons,1.38333e+07
GenX,TRE_WEST,2040,base_short_tx_50,tons,2.76381e+06
GenX,BASN,2050,base_short_tx_50,tons,1.77426e+06
GenX,CANO,2050,base_short_tx_50,tons,4.61883e+06
GenX,CASO,2050,base_short_tx_50,tons,8.48098e+06
GenX,FRCC,2050,base_short_tx_50,tons,1.22331e+07
GenX,ISNE,2050,base_short_tx_50,tons,1.82084e+07
GenX,MISC,2050,base_short_tx_50,tons,3.87238e+06
GenX,MISE,2050,base_short_tx_50,tons,3.04925e+06
GenX,MISS,2050,base_short_tx_50,tons,1.00188e+07
GenX,MISW,2050,base_short_tx_50,tons,6.07873e+06
GenX,NWPP,2050,base_short_tx_50,tons,2.24604e+06
GenX,NYCW,2050,base_short_tx_50,tons,5.06327e+06
GenX,NYUP,2050,base_short_tx_50,tons,3.89628e+06
GenX,PJMC,2050,base_short_tx_50,tons,3.77736e+06
GenX,PJMD,2050,base_short_tx_50,tons,2.15312e+06
GenX,PJME,2050,base_short_tx_50,tons,2.30251e+07
GenX,PJMW,2050,base_short_tx_50,tons,1.28371e+07
GenX,RMRG,2050,base_short_tx_50,tons,696457
GenX,SPPC,2050,base_short_tx_50,tons,630584
GenX,SPPN,2050,base_short_tx_50,tons,536348
GenX,SPPS,2050,base_short_tx_50,tons,3.8485e+06
GenX,SRCA,2050,base_short_tx_50,tons,5.36455e+06
GenX,SRCE,2050,base_short_tx_50,tons,4.64139e+06
GenX,SRSE,2050,base_short_tx_50,tons,1.01647e+07
GenX,SRSG,2050,base_short_tx_50,tons,3.61249e+06
GenX,TRE,2050,base_short_tx_50,tons,1.25845e+07
GenX,TRE_WEST,2050,base_short_tx_50,tons,2.15992e+06
