Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,2.6845083210072748e11,7.502665680891995e9,7.017175248928902e9,9.696242489665585e9,1.7710067824182564e10,1.167768538939023e10,1.3303775453060047e10,6.806733859600995e9,1.109972276936484e10,1.451280842392291e10,7.943705844421986e9,4.860561376187353e9,4.703758051592658e9,4.818836602438029e9,6.640780864919539e9,1.4273018591417816e10,2.1759787794149822e10,6.081862980436714e9,4.2451602267196684e9,3.115857635246827e9,6.785893926221616e9,1.4151204413026625e10,1.277553555115561e10,1.6704445492145674e10,7.917526346219495e9,2.0675178898300022e10,2.8407740475367126e9
cFix,2.149924088204499e11,7.238315123190001e9,5.687858487440001e9,6.89243200188e9,1.220568593621e10,9.99597750869e9,1.143050807449e10,5.286844959429999e9,8.24091184698e9,1.207475974224e10,7.64913661749e9,4.2249625513399997e9,4.278338841660001e9,3.61872143529e9,6.12672022286e9,1.15551736087e10,1.5558035245680002e10,6.0447545758099985e9,4.02902340332e9,3.03688470002e9,6.36141092266e9,1.095037164598e10,1.1498514605009998e10,1.315190844018e10,7.359654954849999e9,1.7755626469640003e10,2.73987689941e9
cVar,9.96156829040662e9,2.2584653659241766e7,2.6233543887355644e8,6.861680615712378e8,1.197996276835771e9,1.7385552605545935e8,5.035613397615302e8,4.1342817021447134e8,6.298795215509195e8,6.220455186945467e8,4.584031777444302e7,1.1504760269714929e8,9.335867683150835e7,2.7956126171712124e8,1.0995709285539208e8,4.9147339595670366e8,1.6506296013557227e9,4.627353412018594e6,5.267073012873103e7,1.99358624282446e7,4.060726667310065e7,7.372679394288564e8,2.8716432370893794e8,7.778262600611153e8,1.351495540644454e8,5.986593484752569e8,9.937195622089524e6
cFuel,2.937302375359836e10,1.7620565534924027e8,9.097122293282657e8,1.8215268934628263e9,3.651437853586595e9,1.1968809579278376e9,1.1470286298236687e9,9.420784744574414e8,1.8397760057226093e9,1.5063452545265088e9,2.0932758140932465e8,4.729613673222625e8,3.057264011570598e8,8.334982399963084e8,3.7827098240336704e8,1.920161309261714e9,3.8192107740472307e9,2.5496833758114383e7,1.4664587981785098e8,5.479117460412791e7,2.803746006696447e8,2.1693370366257305e9,8.781513211167861e8,2.3666963648321123e9,3.833938088329827e8,1.869278434696795e9,6.870968886417015e7
cNSE,1.8899622903404012e8,9996.624531311008,9685.435088903076,10543.96196382609,9568.621745158593,1.8874869555007195e8,9820.008198360461,9498.11595693554,9655.769375773058,10233.651611339192,11256.30630427361,10212.609781967385,9619.603490294088,9816.44949622664,9923.452878951657,10773.543907399884,9967.32265499112,9757.795788350002,9498.358231201872,9359.356741304484,9676.735793321152,9737.023700554804,10187.036221669243,9636.522014807222,10003.94158398047,10314.257836674598,8790.979070513482
cStart,5.104768687652158e9,6.55502520689826e7,1.572594078519913e8,2.9610498878955954e8,6.549381889284518e8,1.2222270116685933e8,2.2266758897664955e8,1.643727573831259e8,3.891457393419346e8,3.096476748102433e8,3.939007144191409e7,4.757964221815819e7,2.63245123405993e7,8.70458489851029e7,2.5822643347901158e7,3.0619950395549077e8,7.319022057442086e8,6.974459660793709e6,1.68107150948552e7,4.236538837713917e6,1.0349145948307687e8,2.94218053968338e8,1.1169511428366579e8,4.080047905504315e8,3.931802453048209e7,4.5160433123012835e8,2.2241472661382664e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,3.1856895922985677e7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,8.798209423656658e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
