model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,BASN_to_NWPP,2030,base_short_tx_50,MW,3350,3350
SWITCH,BASN_to_CANO,2030,base_short_tx_50,MW,100,100
SWITCH,BASN_to_SRSG,2030,base_short_tx_50,MW,5385,5385
SWITCH,BASN_to_CASO,2030,base_short_tx_50,MW,5920,5920
SWITCH,NWPP_to_SPPN,2030,base_short_tx_50,MW,0,1002.88848
SWITCH,NWPP_to_CANO,2030,base_short_tx_50,MW,3675,4532.302407
SWITCH,NWPP_to_CASO,2030,base_short_tx_50,MW,2858,7166.645241
SWITCH,NWPP_to_MISW,2030,base_short_tx_50,MW,200,200
SWITCH,NYCW_to_ISNE,2030,base_short_tx_50,MW,760,840.4402115
SWITCH,NYUP_to_NYCW,2030,base_short_tx_50,MW,2489,4192.725414
SWITCH,NYUP_to_ISNE,2030,base_short_tx_50,MW,1400,1636.882356
SWITCH,PJMC_to_PJMW,2030,base_short_tx_50,MW,980,3083.911378
SWITCH,PJMC_to_MISC,2030,base_short_tx_50,MW,5244,5244
SWITCH,PJMD_to_PJME,2030,base_short_tx_50,MW,1200,5243.986417
SWITCH,PJMD_to_PJMW,2030,base_short_tx_50,MW,6930,6930
SWITCH,PJME_to_NYCW,2030,base_short_tx_50,MW,660,6197.20876
SWITCH,PJME_to_NYUP,2030,base_short_tx_50,MW,1255,1472.097393
SWITCH,PJMW_to_PJME,2030,base_short_tx_50,MW,3885,3885
SWITCH,PJMW_to_SRCE,2030,base_short_tx_50,MW,3333,3333
SWITCH,RMRG_to_BASN,2030,base_short_tx_50,MW,3750,3750
SWITCH,RMRG_to_NWPP,2030,base_short_tx_50,MW,400,400
SWITCH,RMRG_to_SPPC,2030,base_short_tx_50,MW,210,4965.729872
SWITCH,RMRG_to_SPPN,2030,base_short_tx_50,MW,410,2638.153911
SWITCH,RMRG_to_SRSG,2030,base_short_tx_50,MW,614,1026.374202
SWITCH,SPPC_to_SPPS,2030,base_short_tx_50,MW,3372,3890.070986
SWITCH,SPPC_to_MISS,2030,base_short_tx_50,MW,0,0
SWITCH,SPPN_to_SPPC,2030,base_short_tx_50,MW,1433,2074.80498
SWITCH,SPPN_to_SPPS,2030,base_short_tx_50,MW,0,4006.098978
SWITCH,CANO_to_CASO,2030,base_short_tx_50,MW,3675,3675
SWITCH,SPPS_to_SRSG,2030,base_short_tx_50,MW,1010,2297.915672
SWITCH,SPPS_to_MISS,2030,base_short_tx_50,MW,1697,13186.73943
SWITCH,SRCA_to_PJMD,2030,base_short_tx_50,MW,1000,1000
SWITCH,SRCA_to_PJMW,2030,base_short_tx_50,MW,1219,1219
SWITCH,SRCA_to_SRCE,2030,base_short_tx_50,MW,216,216
SWITCH,SRSE_to_SRCA,2030,base_short_tx_50,MW,1400,1400
