model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
TEMOA,PJMC,PJMC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_tx_50,MW,102.798,101.77
TEMOA,PJME,PJME_biomass_1,Other,2030,base_short_tx_50,MW,74.592,74.592
TEMOA,PJMD,PJMD_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_tx_50,MW,20.3,20.3
TEMOA,ISNE,ISNE_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_short_tx_50,MW,0,4680.76
TEMOA,SPPC,SPPC_utilitypv_class1_moderate_3,Solar,2030,base_short_tx_50,MW,0,4562.11
TEMOA,SPPN,SPPN_utilitypv_class1_moderate_0,Solar,2030,base_short_tx_50,MW,0,3629.81
TEMOA,TRE,TRE_distributed_generation_1,Distributed Solar,2030,base_short_tx_50,MW,5518,5518
TEMOA,NWPP,NWPP_utilitypv_class1_moderate_0,Solar,2030,base_short_tx_50,MW,0,10134.1
TEMOA,SPPC,SPPC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_tx_50,MW,414.674,410.527
TEMOA,NYCW,NYCW_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_tx_50,MW,15,15
TEMOA,SRSE,SRSE_utilitypv_class1_moderate_2,Solar,2030,base_short_tx_50,MW,0,11740.8
TEMOA,SRCE,SRCE_conventional_hydroelectric_1,Hydro,2030,base_short_tx_50,MW,4439.34,4439.34
TEMOA,MISS,MISS_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_tx_50,MW,17637.2,17460.8
TEMOA,MISS,MISS_naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_short_tx_50,MW,0,5555.48
TEMOA,SPPC,SPPC_landbasedwind_class3_moderate_1,Wind,2030,base_short_tx_50,MW,0,4820.72
TEMOA,MISC,MISC_landbasedwind_class3_moderate_14,Wind,2030,base_short_tx_50,MW,0,1703.06
TEMOA,SPPC,SPPC_landbasedwind_class3_moderate_0,Wind,2030,base_short_tx_50,MW,0,2008.61
TEMOA,NYUP,NYUP_solar_photovoltaic_1,Solar,2030,base_short_tx_50,MW,1744.1,1744.1
TEMOA,PJMW,PJMW_conventional_steam_coal_2,Coal,2030,base_short_tx_50,MW,17147,16975.5
TEMOA,RMRG,RMRG_conventional_steam_coal_1,Coal,2030,base_short_tx_50,MW,5150,5098.5
TEMOA,MISW,MISW_landbasedwind_class3_moderate_7,Wind,2030,base_short_tx_50,MW,0,2286.46
TEMOA,MISS,MISS_conventional_steam_coal_1,Coal,2030,base_short_tx_50,MW,5094.1,5043.16
TEMOA,PJME,PJME_petroleum_liquids_1,Other,2030,base_short_tx_50,MW,645.888,639.429
TEMOA,NYUP,NYUP_landbasedwind_class3_moderate_0,Wind,2030,base_short_tx_50,MW,0,1844.77
TEMOA,SRCE,SRCE_batteries_1,Battery,2030,base_short_tx_50,MW,122.3,122.299
TEMOA,SRSE,SRSE_distributed_generation_1,Distributed Solar,2030,base_short_tx_50,MW,866,866
TEMOA,TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_tx_50,MW,872.003,863.283
TEMOA,TRE,TRE_landbasedwind_class3_moderate_8,Wind,2030,base_short_tx_50,MW,0,4850.62
TEMOA,PJME,PJME_conventional_hydroelectric_1,Hydro,2030,base_short_tx_50,MW,811.512,811.512
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_tx_50,MW,3112.8,3081.67
TEMOA,NYUP,NYUP_nuclear_1,Nuclear,2030,base_short_tx_50,MW,3375.3,3375.3
TEMOA,FRCC,FRCC_conventional_steam_coal_2,Coal,2030,base_short_tx_50,MW,674,667.26
TEMOA,SPPN,SPPN_utilitypv_class1_moderate_5,Solar,2030,base_short_tx_50,MW,0,189.263
TEMOA,SRSE,SRSE_landbasedwind_class3_moderate_1,Wind,2030,base_short_tx_50,MW,0,1205.25
TEMOA,TRE_WEST,TRE_WEST_solar_photovoltaic_1,Solar,2030,base_short_tx_50,MW,9871.62,9871.62
TEMOA,PJMW,PJMW_onshore_wind_turbine_1,Wind,2030,base_short_tx_50,MW,4450.2,4450.2
TEMOA,NWPP,NWPP_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_tx_50,MW,1018.5,1008.31
TEMOA,SPPS,SPPS_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_tx_50,MW,332.4,329.076
TEMOA,NWPP,NWPP_solar_photovoltaic_1,Solar,2030,base_short_tx_50,MW,1628.87,1628.87
TEMOA,SPPS,SPPS_conventional_steam_coal_1,Coal,2030,base_short_tx_50,MW,4269,4226.31
TEMOA,SPPS,SPPS_utilitypv_class1_moderate_1,Solar,2030,base_short_tx_50,MW,0,3451.96
TEMOA,MISC,MISC_distributed_generation_1,Distributed Solar,2030,base_short_tx_50,MW,1486,1486
TEMOA,NYUP,NYUP_petroleum_liquids_1,Other,2030,base_short_tx_50,MW,75.537,75.537
TEMOA,MISS,MISS_landbasedwind_class3_moderate_2,Wind,2030,base_short_tx_50,MW,0,1931.44
TEMOA,FRCC,FRCC_naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_short_tx_50,MW,0,13975.4
TEMOA,PJME,PJME_batteries_1,Battery,2030,base_short_tx_50,MW,88,88
TEMOA,PJMD,PJMD_onshore_wind_turbine_1,Wind,2030,base_short_tx_50,MW,208,208
TEMOA,CASO,CASO_utilitypv_class1_moderate_0,Solar,2030,base_short_tx_50,MW,0,9621.65
TEMOA,MISC,MISC_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_tx_50,MW,200.606,198.6
TEMOA,PJME,PJME_conventional_steam_coal_1,Coal,2030,base_short_tx_50,MW,6698,6631.02
TEMOA,SPPC,SPPC_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_tx_50,MW,196,194.04
TEMOA,MISC,MISC_landbasedwind_class3_moderate_2,Wind,2030,base_short_tx_50,MW,0,1306.66
TEMOA,ISNE,ISNE_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_tx_50,MW,21.296,21.296
TEMOA,SRCE,SRCE_landbasedwind_class3_moderate_4,Wind,2030,base_short_tx_50,MW,0,4668.16
TEMOA,FRCC,FRCC_biomass_1,Other,2030,base_short_tx_50,MW,54.34,54.34
TEMOA,MISS,MISS_landbasedwind_class3_moderate_4,Wind,2030,base_short_tx_50,MW,0,1266.4
TEMOA,NYUP,NYUP_utilitypv_class1_moderate_1,Solar,2030,base_short_tx_50,MW,0,6127.42
TEMOA,PJMW,PJMW_batteries_1,Battery,2030,base_short_tx_50,MW,31.8,31.8
TEMOA,SRCE,SRCE_distributed_generation_1,Distributed Solar,2030,base_short_tx_50,MW,823,823
TEMOA,PJMD,PJMD_batteries_1,Battery,2030,base_short_tx_50,MW,40.5,40.5
TEMOA,SRCA,SRCA_biomass_1,Other,2030,base_short_tx_50,MW,77.14,77.14
TEMOA,SRCA,SRCA_landbasedwind_class3_moderate_7,Wind,2030,base_short_tx_50,MW,0,770.04
TEMOA,PJMW,PJMW_conventional_hydroelectric_1,Hydro,2030,base_short_tx_50,MW,832.804,824.477
TEMOA,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2030,base_short_tx_50,MW,0,1367.28
TEMOA,SRCA,SRCA_landbasedwind_class3_moderate_2,Wind,2030,base_short_tx_50,MW,0,488.228
TEMOA,PJMW,PJMW_landbasedwind_class3_moderate_13,Wind,2030,base_short_tx_50,MW,0,952.054
TEMOA,SRSE,SRSE_biomass_2,Other,2030,base_short_tx_50,MW,40.449,40.449
TEMOA,TRE,TRE_conventional_hydroelectric_1,Hydro,2030,base_short_tx_50,MW,479.4,474.606
TEMOA,NYCW,NYCW_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_tx_50,MW,1057.31,1057.31
TEMOA,SPPC,SPPC_utilitypv_class1_moderate_1,Solar,2030,base_short_tx_50,MW,0,525.905
TEMOA,SRCE,SRCE_landbasedwind_class3_moderate_0,Wind,2030,base_short_tx_50,MW,0,7803.44
TEMOA,TRE,TRE_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_tx_50,MW,7554.48,7478.93
TEMOA,SPPN,SPPN_landbasedwind_class3_moderate_2,Wind,2030,base_short_tx_50,MW,0,901.935
TEMOA,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_tx_50,MW,3363.31,3363.31
TEMOA,TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_tx_50,MW,3197.2,3197.2
TEMOA,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_tx_50,MW,7458.1,7383.52
TEMOA,MISW,MISW_conventional_steam_coal_2,Coal,2030,base_short_tx_50,MW,260,257.4
TEMOA,SPPN,SPPN_utilitypv_class1_moderate_7,Solar,2030,base_short_tx_50,MW,0,807.97
TEMOA,TRE,TRE_landbasedwind_class3_moderate_3,Wind,2030,base_short_tx_50,MW,0,5322.22
TEMOA,SRSG,SRSG_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_tx_50,MW,204.195,202.153
TEMOA,SPPS,SPPS_conventional_hydroelectric_1,Hydro,2030,base_short_tx_50,MW,2016.33,1996.16
TEMOA,PJMD,PJMD_landbasedwind_class3_moderate_10,Wind,2030,base_short_tx_50,MW,0,693.428
TEMOA,MISE,MISE_landbasedwind_class3_moderate_6,Wind,2030,base_short_tx_50,MW,0,707.636
TEMOA,MISC,MISC_landbasedwind_class3_moderate_11,Wind,2030,base_short_tx_50,MW,0,2345.76
TEMOA,SPPN,SPPN_utilitypv_class1_moderate_1,Solar,2030,base_short_tx_50,MW,0,1409.59
TEMOA,CASO,CASO_petroleum_liquids_1,Other,2030,base_short_tx_50,MW,14.105,14.105
TEMOA,NYUP,NYUP_landbasedwind_class3_moderate_4,Wind,2030,base_short_tx_50,MW,0,1598.06
TEMOA,SRCE,SRCE_landbasedwind_class3_moderate_6,Wind,2030,base_short_tx_50,MW,0,7024.82
TEMOA,PJME,PJME_natural_gas_fired_combustion_turbine_3,Natural Gas,2030,base_short_tx_50,MW,2773.49,2745.75
TEMOA,MISW,MISW_landbasedwind_class3_moderate_0,Wind,2030,base_short_tx_50,MW,0,12257.6
TEMOA,SRSE,SRSE_utilitypv_class1_moderate_0,Solar,2030,base_short_tx_50,MW,0,18502
TEMOA,PJME,PJME_utilitypv_class1_moderate_2,Solar,2030,base_short_tx_50,MW,0,6375.69
TEMOA,SPPC,SPPC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_tx_50,MW,3095.3,3064.34
TEMOA,NWPP,NWPP_batteries_1,Battery,2030,base_short_tx_50,MW,135,134.997
TEMOA,MISE,MISE_landbasedwind_class3_moderate_3,Wind,2030,base_short_tx_50,MW,0,619.178
TEMOA,SPPS,SPPS_biomass_2,Other,2030,base_short_tx_50,MW,12.726,12.726
TEMOA,MISE,MISE_petroleum_liquids_1,Other,2030,base_short_tx_50,MW,44.8,44.8
TEMOA,MISE,MISE_landbasedwind_class3_moderate_8,Wind,2030,base_short_tx_50,MW,0,322.142
TEMOA,PJMC,PJMC_onshore_wind_turbine_1,Wind,2030,base_short_tx_50,MW,4456.11,4456.11
TEMOA,MISW,MISW_petroleum_liquids_1,Other,2030,base_short_tx_50,MW,1123.32,1112.09
TEMOA,SPPN,SPPN_small_hydroelectric_1,Hydro,2030,base_short_tx_50,MW,59.884,59.884
TEMOA,TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_0,Wind,2030,base_short_tx_50,MW,0,4457.46
