model,zone,planning_year,case,unit,value
USENSYS,BASN,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,2855047
USENSYS,BASN,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3071263
USENSYS,BASN,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3080914
USENSYS,CANO,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,5472816
USENSYS,CANO,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4913708
USENSYS,CANO,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4756291
USENSYS,CASO,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,6434030
USENSYS,CASO,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,6674496
USENSYS,CASO,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,7123090
USENSYS,FRCC,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,14305581
USENSYS,FRCC,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,12296819
USENSYS,FRCC,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,12359348
USENSYS,ISNE,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,10526712
USENSYS,ISNE,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,15562418
USENSYS,ISNE,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,14780288
USENSYS,MISC,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3939993
USENSYS,MISC,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4488045
USENSYS,MISC,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4539599
USENSYS,MISE,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3333798
USENSYS,MISE,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3638227
USENSYS,MISE,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4105909
USENSYS,MISS,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,11351687
USENSYS,MISS,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,9974926
USENSYS,MISS,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,9953760
USENSYS,MISW,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,8306560
USENSYS,MISW,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,6857006
USENSYS,MISW,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,6213516
USENSYS,NWPP,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,784717
USENSYS,NWPP,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,2199558
USENSYS,NWPP,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3052249
USENSYS,NYCW,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4102970
USENSYS,NYCW,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3659867
USENSYS,NYCW,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,6742692
USENSYS,NYUP,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3851376
USENSYS,NYUP,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3797398
USENSYS,NYUP,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4131562
USENSYS,PJMC,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4877137
USENSYS,PJMC,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3985727
USENSYS,PJMC,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3704805
USENSYS,PJMD,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4250184
USENSYS,PJMD,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3399137
USENSYS,PJMD,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,2451442
USENSYS,PJME,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,28737358
USENSYS,PJME,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,25412639
USENSYS,PJME,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,22024906
USENSYS,PJMW,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,15675802
USENSYS,PJMW,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,15026992
USENSYS,PJMW,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,14920006
USENSYS,RMRG,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,869469
USENSYS,RMRG,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,1125080
USENSYS,RMRG,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,1174315
USENSYS,SPPC,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,770531
USENSYS,SPPC,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,724417
USENSYS,SPPC,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,782076
USENSYS,SPPN,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,674764
USENSYS,SPPN,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,497596
USENSYS,SPPN,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,583149
USENSYS,SPPS,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,5060717
USENSYS,SPPS,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4083124
USENSYS,SPPS,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,3960735
USENSYS,SRCA,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,6889742
USENSYS,SRCA,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,6138640
USENSYS,SRCA,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,5716619
USENSYS,SRCE,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,5542616
USENSYS,SRCE,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4870150
USENSYS,SRCE,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,4329514
USENSYS,SRSE,2030,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,11882963
USENSYS,SRSE,2040,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,10552808
USENSYS,SRSE,2050,26z-short-base-200-tx-50_w10_h168_1680w_myopic,tons,10631331
