Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.8272381542566846e11,4.538951839266334e9,2.930845458702521e9,2.874400329672608e9,1.348106265575148e10,6.745658373213049e9,7.427226363159396e9,4.834925383394821e9,5.345235323173377e9,9.12509825849822e9,5.805277597190625e9,3.9757375551531017e8,3.8389023256226296e9,3.8704913974827003e9,5.162531602845641e9,1.0717113692476381e10,1.6264986477427933e10,8.124732848577263e9,3.3089048166330266e9,3.3071309479298964e9,8.392395355744013e9,1.0950188254849936e10,9.397651609719538e9,1.0493263386375633e10,4.23919089883779e9,1.5529112892653473e10,3.5505167527091937e9
cFix,1.457156199131301e11,4.34406831204e9,2.3520783375e9,2.35506999143e9,8.38569966961e9,5.70622613381e9,6.940892775720001e9,3.61780367159e9,3.8200658116600003e9,8.109741518280001e9,5.655901470969999e9,9.519774642999999e7,3.3357726840900006e9,2.6081610258300004e9,4.26689769591e9,6.9507787204e9,1.120860092728e10,8.10641010826e9,3.1834613806899996e9,3.24043649112e9,7.93339708258e9,7.97888586724e9,7.53457826144e9,6.801479912849999e9,3.84406488722e9,1.401055147711e10,3.3293979520700006e9
cVar,6.947639020084818e9,1.9163517362903006e7,7.736388935630196e7,5.4421049852914624e7,1.1521235925858195e9,1.527833883445865e8,8.766128350418471e7,3.042388302306564e8,2.4196323068936062e8,1.6622292708542857e8,3.1445004552530255e7,3.939869552903384e7,1.0704870458387756e8,2.8220821241173637e8,1.4689344011182913e8,6.437838356263376e8,1.2136801779140058e9,1.8451342192885617e6,2.767273951885469e7,1.6147192110417549e7,5.379302995305314e7,6.795323319171753e8,3.8343339352891576e8,7.467390784426416e8,8.169466481820513e7,2.0961619065877774e8,2.676548517370653e7
cFuel,2.5102750653463696e10,1.470650905311198e8,4.3184707412202513e8,4.086317877094705e8,3.5174882372411532e9,7.909350463880994e8,3.676883258869908e8,8.195435030726116e8,1.1610899704934025e9,7.481865378142996e8,1.0582156943417503e8,2.3111801333449835e8,3.622850773450539e8,9.2788702642415e8,6.817952056188776e8,2.802969159428367e9,3.3971149116281233e9,1.2490620656052234e7,8.879931452091923e7,4.698325228998349e7,3.587136304940204e8,2.1067052534361255e9,1.354372750685235e9,2.6438445237916007e9,2.7681482558128655e8,1.138525918590121e9,1.740340269481095e8
cNSE,281926.7199396021,10854.85628926977,10817.171528682473,10871.487340508791,10873.217635929197,10937.76784375245,10786.10323612166,10879.410518429982,10782.911875887681,10766.141954885466,10775.973377167962,10993.964558673135,10961.219536564327,10887.312594282605,10949.638893370951,10899.158157622162,10805.914834981219,10768.534273494886,10807.243683795,10764.431674880969,10795.79825336854,10840.659354816165,10827.786270799168,10845.801952915197,10717.59924184414,10824.135664836174,10892.479392724843
cStart,2.8870770840242257e9,2.8644064476022664e7,6.954534055266505e7,5.62666291928821e7,4.257402830968712e8,9.57028669025196e7,3.097319194498356e7,9.332849909103525e7,1.2210552741873774e8,1.0093650917653765e8,1.2098776260542907e7,3.1848306257219307e7,3.3784898384160765e7,5.222424550421972e7,6.693431156604038e7,3.1957107786351913e8,4.455796546909699e8,3.9762169076483613e6,8.960574659569442e6,3.553247977820936e6,4.648081691868649e7,1.8505396159727937e8,1.252563762791154e8,3.0118902548943776e8,3.660580361905662e7,1.704084821589082e8,2.030839603798462e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,2.0704468282793815e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
