Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,85612.8000000023,9.8,1.0000000000000269
BASN_biomass_2,1,57657.5999999989,6.6,0.999999999999981
BASN_conventional_hydroelectric_1,1,4.876459177274194e6,1478.3,0.3775977437944599
BASN_conventional_steam_coal_1,1,841.3982331947432,51.0,0.001888507849410021
BASN_conventional_steam_coal_2,1,53522.18080418438,677.2,0.00904699241073869
BASN_geothermal_1,1,422715.8296995992,56.5,0.8564212569686197
BASN_natural_gas_fired_combined_cycle_1,1,116658.9305876861,433.0,0.03084022012592265
BASN_natural_gas_fired_combined_cycle_2,1,5.762456179045069e6,7113.9,0.09272295300283678
BASN_natural_gas_fired_combustion_turbine_1,1,115440.67835318147,1460.9,0.009045357905814297
BASN_natural_gas_fired_combustion_turbine_2,1,18476.21490073539,236.2,0.00895407002273452
BASN_natural_gas_internal_combustion_engine_1,1,52834.57977868963,203.5,0.029719480844993762
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,844459.6455136632,520.0,0.18589295521486318
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.2527423999999883e6,143.4,0.9999999999999907
BASN_solar_photovoltaic_1,1,7.510792331120825e6,4274.2,0.201149190352547
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,262953.60000000364,30.1,1.0000000000000138
CANO_biomass_2,2,235872.0,27.0,1.0
CANO_conventional_hydroelectric_1,2,1.469936571128632e7,5619.5,0.2994251626271923
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,6.089931089869274e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,912356.5812720788,2491.5,0.04191708683480238
CANO_natural_gas_fired_combined_cycle_2,2,6.893960506494735e6,8296.9,0.09511309415223157
CANO_natural_gas_fired_combustion_turbine_1,2,80705.48108028705,1945.4,0.0047487739157365495
CANO_natural_gas_fired_combustion_turbine_2,2,86431.4558192223,1004.4,0.009850368978511754
CANO_natural_gas_internal_combustion_engine_1,2,118499.58366525116,433.9,0.031261840936147735
CANO_natural_gas_steam_turbine_1,2,1769.4089082436597,2.9,0.06984214776129134
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,96579.88081904332,61.8,0.17888979430249438
CANO_petroleum_liquids_1,2,1028.038511323652,150.6,0.0007813970851359915
CANO_small_hydroelectric_1,2,1.706140800000016e6,195.3,1.0000000000000093
CANO_solar_photovoltaic_1,2,4.753566737596186e6,2501.9,0.21748886311587196
CASO_batteries_1,3,0.0,0.0,0.0
CASO_biomass_1,3,481353.5999999956,55.1,0.9999999999999908
CASO_biomass_2,3,27955.200000000477,3.2,1.000000000000017
CASO_conventional_hydroelectric_1,3,2.1667253108204687e6,919.0,0.2698831185479505
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,182320.2192217983,23.6,0.8843215450861731
CASO_hydroelectric_pumped_storage_1,3,3.8789274346773247e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,1.1219450746336721e6,1078.1,0.11912418021496322
CASO_natural_gas_fired_combined_cycle_2,3,1.0981912120448828e7,7458.1,0.16855325218549452
CASO_natural_gas_fired_combustion_turbine_1,3,79373.5189124068,1402.5,0.006478286330696003
CASO_natural_gas_fired_combustion_turbine_2,3,569519.2106634636,3954.6,0.016485160910800257
CASO_natural_gas_internal_combustion_engine_1,3,24803.55582457917,48.6,0.058420470576742115
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.3190959860748786e6,416.1,0.3628825274006931
CASO_petroleum_liquids_1,3,157.69029194356563,3.3,0.005469887471679904
CASO_small_hydroelectric_1,3,624623.9999999999,71.5,0.9999999999999998
CASO_solar_photovoltaic_1,3,1.4674829814274661e7,6500.5,0.2584125998175306
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,37564.800000000425,4.3,1.0000000000000115
FRCC_biomass_2,4,687523.1999999845,78.7,0.9999999999999774
FRCC_conventional_hydroelectric_1,4,105435.3335204754,43.5,0.277449721907697
FRCC_conventional_steam_coal_1,4,1060.1756762208563,453.0,0.000267896480782587
FRCC_conventional_steam_coal_2,4,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,3419.521961823106,2256.7,0.0001734518527036091
FRCC_natural_gas_fired_combined_cycle_2,4,1.992726080991431e7,28737.0,0.07937679357225165
FRCC_natural_gas_fired_combustion_turbine_1,4,1432.938970992154,6823.2,2.403958507190981e-5
FRCC_natural_gas_fired_combustion_turbine_2,4,949.6195371009586,133.4,0.0008148565973717798
FRCC_natural_gas_internal_combustion_engine_1,4,15223.171622349142,250.9,0.0069453135481265344
FRCC_natural_gas_steam_turbine_1,4,1498.6252137612373,335.0,0.0005120773924885317
FRCC_nuclear_1,4,3.0165992401851367e7,3737.0,0.9240211120728712
FRCC_petroleum_liquids_1,4,126.3359109901719,4.0,0.003615382068171128
FRCC_solar_photovoltaic_1,4,9.584980369837567e6,5877.7,0.1866685640457429
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,272563.2000000019,31.2,1.0000000000000069
ISNE_conventional_hydroelectric_1,5,1.5837377879399143e6,464.8,0.39003585671668084
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,3.4162327103353976e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.5635350214501177e6,2660.6,0.06726906654991228
ISNE_natural_gas_fired_combined_cycle_2,5,1.2424242983140498e7,10499.0,0.13545947101298697
ISNE_natural_gas_fired_combustion_turbine_1,5,69610.77663678085,373.5,0.021334047005108606
ISNE_natural_gas_fired_combustion_turbine_2,5,352469.4090102419,1315.9,0.030660971965509643
ISNE_natural_gas_internal_combustion_engine_1,5,33101.92446611352,52.4,0.07231182643836141
ISNE_natural_gas_steam_turbine_1,5,5834.023993272771,10.2,0.06547197076412199
ISNE_nuclear_1,5,2.4655905849758442e7,3348.1,0.842965725358586
ISNE_offshore_wind_turbine_1,5,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,5,46234.32042773253,39.8,0.13297462710683836
ISNE_petroleum_liquids_1,5,4296.1364874524725,392.4,0.001253246343837769
ISNE_small_hydroelectric_1,5,1.7314751999999792e6,198.2,0.9999999999999881
ISNE_solar_photovoltaic_1,5,1.3831570952721676e6,1159.8,0.1365135558526108
MISC_batteries_1,6,0.0,0.0,0.0
MISC_biomass_1,6,458640.0,52.5,1.0
MISC_biomass_2,6,10483.200000000146,1.2,1.000000000000014
MISC_conventional_hydroelectric_1,6,808759.0906706933,276.6,0.33469896868382376
MISC_conventional_steam_coal_1,6,1245.1023915959543,2502.4,5.6955505480121606e-5
MISC_conventional_steam_coal_2,6,1002.6629089555469,196.0,0.0005855800236387239
MISC_hydroelectric_pumped_storage_1,6,1.0845233009054787e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,362580.374081991,537.0,0.07728894543735866
