model,zone,planning_year,case,unit,value
GenX,BASN,2030,base-short-myopic-200-commit,tons,2.94223e+06
GenX,CANO,2030,base-short-myopic-200-commit,tons,7.75734e+06
GenX,CASO,2030,base-short-myopic-200-commit,tons,7.4632e+06
GenX,FRCC,2030,base-short-myopic-200-commit,tons,1.35742e+07
GenX,ISNE,2030,base-short-myopic-200-commit,tons,1.16666e+07
GenX,MISC,2030,base-short-myopic-200-commit,tons,3.13457e+06
GenX,MISE,2030,base-short-myopic-200-commit,tons,2.50352e+06
GenX,MISS,2030,base-short-myopic-200-commit,tons,1.33245e+07
GenX,MISW,2030,base-short-myopic-200-commit,tons,7.68758e+06
GenX,NWPP,2030,base-short-myopic-200-commit,tons,657803
GenX,NYCW,2030,base-short-myopic-200-commit,tons,3.36481e+06
GenX,NYUP,2030,base-short-myopic-200-commit,tons,3.35546e+06
GenX,PJMC,2030,base-short-myopic-200-commit,tons,4.57204e+06
GenX,PJMD,2030,base-short-myopic-200-commit,tons,4.05438e+06
GenX,PJME,2030,base-short-myopic-200-commit,tons,3.74884e+07
GenX,PJMW,2030,base-short-myopic-200-commit,tons,1.92997e+07
GenX,RMRG,2030,base-short-myopic-200-commit,tons,173189
GenX,SPPC,2030,base-short-myopic-200-commit,tons,273892
GenX,SPPN,2030,base-short-myopic-200-commit,tons,131846
GenX,SPPS,2030,base-short-myopic-200-commit,tons,4.72458e+06
GenX,SRCA,2030,base-short-myopic-200-commit,tons,6.14659e+06
GenX,SRCE,2030,base-short-myopic-200-commit,tons,6.27213e+06
GenX,SRSE,2030,base-short-myopic-200-commit,tons,1.24643e+07
GenX,SRSG,2030,base-short-myopic-200-commit,tons,1.31718e+06
GenX,TRE,2030,base-short-myopic-200-commit,tons,9.35372e+06
GenX,TRE_WEST,2030,base-short-myopic-200-commit,tons,2.30471e+06
GenX,BASN,2040,base-short-myopic-200-commit,tons,2.30995e+06
GenX,CANO,2040,base-short-myopic-200-commit,tons,5.46797e+06
GenX,CASO,2040,base-short-myopic-200-commit,tons,6.24869e+06
GenX,FRCC,2040,base-short-myopic-200-commit,tons,9.91298e+06
GenX,ISNE,2040,base-short-myopic-200-commit,tons,1.26795e+07
GenX,MISC,2040,base-short-myopic-200-commit,tons,1.7807e+06
GenX,MISE,2040,base-short-myopic-200-commit,tons,2.58916e+06
GenX,MISS,2040,base-short-myopic-200-commit,tons,1.05632e+07
GenX,MISW,2040,base-short-myopic-200-commit,tons,5.53436e+06
GenX,NWPP,2040,base-short-myopic-200-commit,tons,1.72979e+06
GenX,NYCW,2040,base-short-myopic-200-commit,tons,2.24393e+06
GenX,NYUP,2040,base-short-myopic-200-commit,tons,2.64282e+06
GenX,PJMC,2040,base-short-myopic-200-commit,tons,3.6268e+06
GenX,PJMD,2040,base-short-myopic-200-commit,tons,2.15965e+06
GenX,PJME,2040,base-short-myopic-200-commit,tons,2.57513e+07
GenX,PJMW,2040,base-short-myopic-200-commit,tons,1.22722e+07
GenX,RMRG,2040,base-short-myopic-200-commit,tons,380099
GenX,SPPC,2040,base-short-myopic-200-commit,tons,308851
GenX,SPPN,2040,base-short-myopic-200-commit,tons,237359
GenX,SPPS,2040,base-short-myopic-200-commit,tons,2.80116e+06
GenX,SRCA,2040,base-short-myopic-200-commit,tons,4.13811e+06
GenX,SRCE,2040,base-short-myopic-200-commit,tons,3.87652e+06
GenX,SRSE,2040,base-short-myopic-200-commit,tons,9.82924e+06
GenX,SRSG,2040,base-short-myopic-200-commit,tons,1.61197e+06
GenX,TRE,2040,base-short-myopic-200-commit,tons,5.90498e+06
GenX,TRE_WEST,2040,base-short-myopic-200-commit,tons,1.51649e+06
GenX,BASN,2050,base-short-myopic-200-commit,tons,2.07138e+06
GenX,CANO,2050,base-short-myopic-200-commit,tons,6.06047e+06
GenX,CASO,2050,base-short-myopic-200-commit,tons,7.17651e+06
GenX,FRCC,2050,base-short-myopic-200-commit,tons,1.08122e+07
GenX,ISNE,2050,base-short-myopic-200-commit,tons,1.26271e+07
GenX,MISC,2050,base-short-myopic-200-commit,tons,3.10746e+06
GenX,MISE,2050,base-short-myopic-200-commit,tons,2.33398e+06
GenX,MISS,2050,base-short-myopic-200-commit,tons,1.03355e+07
GenX,MISW,2050,base-short-myopic-200-commit,tons,4.88376e+06
GenX,NWPP,2050,base-short-myopic-200-commit,tons,2.05699e+06
GenX,NYCW,2050,base-short-myopic-200-commit,tons,2.35998e+06
GenX,NYUP,2050,base-short-myopic-200-commit,tons,2.81617e+06
GenX,PJMC,2050,base-short-myopic-200-commit,tons,3.02857e+06
GenX,PJMD,2050,base-short-myopic-200-commit,tons,2.19665e+06
GenX,PJME,2050,base-short-myopic-200-commit,tons,2.24427e+07
GenX,PJMW,2050,base-short-myopic-200-commit,tons,1.2443e+07
GenX,RMRG,2050,base-short-myopic-200-commit,tons,510709
GenX,SPPC,2050,base-short-myopic-200-commit,tons,422557
GenX,SPPN,2050,base-short-myopic-200-commit,tons,272812
GenX,SPPS,2050,base-short-myopic-200-commit,tons,2.04469e+06
GenX,SRCA,2050,base-short-myopic-200-commit,tons,4.63179e+06
GenX,SRCE,2050,base-short-myopic-200-commit,tons,3.90782e+06
GenX,SRSE,2050,base-short-myopic-200-commit,tons,1.0857e+07
GenX,SRSG,2050,base-short-myopic-200-commit,tons,1.97162e+06
GenX,TRE,2050,base-short-myopic-200-commit,tons,5.23953e+06
GenX,TRE_WEST,2050,base-short-myopic-200-commit,tons,751708
