model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2030,base-short-myopic-200-commit,MW,0.0603101
GenX,2,BASN_to_CASO,2030,base-short-myopic-200-commit,MW,0.0489796
GenX,3,BASN_to_NWPP,2030,base-short-myopic-200-commit,MW,0.0304037
GenX,4,BASN_to_RMRG,2030,base-short-myopic-200-commit,MW,808.815
GenX,5,BASN_to_SRSG,2030,base-short-myopic-200-commit,MW,0.0335036
GenX,6,CANO_to_CASO,2030,base-short-myopic-200-commit,MW,0.0747119
GenX,7,CANO_to_NWPP,2030,base-short-myopic-200-commit,MW,0.0202509
GenX,8,CASO_to_NWPP,2030,base-short-myopic-200-commit,MW,0.0746626
GenX,9,CASO_to_SRSG,2030,base-short-myopic-200-commit,MW,4969.6
GenX,10,FRCC_to_SRSE,2030,base-short-myopic-200-commit,MW,0.00676285
GenX,11,ISNE_to_NYCW,2030,base-short-myopic-200-commit,MW,124.543
GenX,12,ISNE_to_NYUP,2030,base-short-myopic-200-commit,MW,2539.52
GenX,13,MISC_to_MISE,2030,base-short-myopic-200-commit,MW,4154.05
GenX,14,MISC_to_MISS,2030,base-short-myopic-200-commit,MW,0.0557397
GenX,15,MISC_to_MISW,2030,base-short-myopic-200-commit,MW,0.0044617
GenX,16,MISC_to_PJMC,2030,base-short-myopic-200-commit,MW,0.0664635
GenX,17,MISC_to_PJMW,2030,base-short-myopic-200-commit,MW,8740.98
GenX,18,MISC_to_SPPC,2030,base-short-myopic-200-commit,MW,3139.49
GenX,19,MISC_to_SPPN,2030,base-short-myopic-200-commit,MW,9967.85
GenX,20,MISC_to_SPPS,2030,base-short-myopic-200-commit,MW,11697.1
GenX,21,MISC_to_SRCE,2030,base-short-myopic-200-commit,MW,0.0456547
GenX,22,MISE_to_MISW,2030,base-short-myopic-200-commit,MW,17.0586
GenX,23,MISE_to_PJMW,2030,base-short-myopic-200-commit,MW,0.139735
