Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.2835146921643402e11,3.1013993226382704e9,3.0375890693384566e9,2.9323578718470383e9,7.876394662973912e9,5.301268008524477e9,5.652622830277052e9,2.8235053618494987e9,5.894102741422347e9,5.908180055433351e9,3.8090270800841885e9,1.7304688523012507e9,4.154201239997946e9,3.9695211854595256e9,3.1105532542601223e9,1.0207881043895714e10,1.0385396204102112e10,2.6214416313086853e9,2.504245475367366e9,2.155341045900726e9,3.248624478856699e9,8.365628192287737e9,6.525792306242421e9,7.909368003362443e9,3.820470025839386e9,8.919669178702475e9,2.3864200941686745e9
cFix,9.244097348751004e10,2.15702306169e9,2.1101917772700002e9,1.9111560805700002e9,3.7000997487099996e9,4.0760044826800003e9,4.1669328799700007e9,1.86637146201e9,3.487400252049999e9,4.1638978939999995e9,3.438739926819999e9,1.1778594131699996e9,4.379510842399999e9,2.51181031273e9,2.95986636811e9,5.892494211320001e9,6.52772256203e9,2.6895351337400002e9,1.6876916332600002e9,1.8280585673999999e9,2.76574711947e9,5.87225820962e9,5.286710399610001e9,4.84438856895e9,2.7476699130600004e9,7.413086402489999e9,2.7787462643800006e9
cVar,-8.012066793819748e9,-3.727250128358766e8,-3.1436814109778553e8,-2.5902103568410075e8,-9.710965788640714e7,-2.2951040862471968e7,-5.574259142973721e8,-1.5835353511647078e8,-7.502635816375421e7,-2.739004905780639e8,-2.6370618478743052e8,7.490973426719382e7,-8.239964822480068e8,3.14102604615293e8,-3.049037332099031e8,4.2003041726416373e8,-6.330318620985731e8,-6.688244950823637e8,-6.3996584324951105e7,-2.462080821723601e8,-3.8900184256088066e8,8.2828271956422e6,-6.171687605563878e8,-1.6224623680605286e8,-2.261267138348846e8,-1.6438669250306423e9,-6.554332879291042e8
cFuel,4.287837170619265e10,1.3092088125486317e9,1.2343586131263704e9,1.248128896682366e9,4.2404288248518314e9,9.425722055325323e8,2.0217427176671937e9,1.1037327342542102e9,2.4591168856111264e9,1.9537464000736537e9,6.25201633073598e8,4.510075199602397e8,5.808514836630434e8,1.1309561860891788e9,4.447079548318077e8,3.868226130561178e9,4.458087072830384e9,5.766008049478191e8,8.597603779580265e8,5.601632562183678e8,8.404708108550502e8,2.462783410518712e9,1.8340463023098795e9,3.1847495228783226e9,1.2775370014268796e9,2.9649690098737264e9,2.452171378433975e8
cNSE,2.7117922023746383e8,4469.967563089959,4312.260694629827,5199.320473905609,5372.692034394138,2.6026546291207075e8,4992.495050367042,4603.620450651601,5078.1253131983,5234.861057757232,4944.292909159394,1.0797146406932993e7,4207.633685851028,4688.428875009837,4269.918681068588,5335.759702943779,5439.488400101838,4543.071516999692,4648.088809797612,4396.713508438791,4736.8343105314525,5280.2010359896085,5199.572634582859,5299.936337027564,4779.011650167445,5702.160028314312,3876.463732194189
cStart,7.730115963283974e8,7.887991267952443e6,7.40250777917713e6,3.2088730958299402e7,3.2970374606454454e7,4.5376898262346186e7,2.13681544421804e7,1.1750097081308605e7,2.260688379966288e7,6.443101707670318e7,8.786760685112987e6,1.5895038496884312e7,1.7831188549224045e7,1.2647393596178519e7,1.0878394609536361e7,2.712494899066702e7,3.2612991851900004e7,2.4125644631712794e7,2.0785400385479774e7,1.3322907741209736e7,3.1403654258219276e7,2.2298464752345204e7,2.2199165306293827e7,4.247084840383517e7,2.1385046175740227e7,1.854749892093622e8,1.7886103410649557e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
