model,zone,planning_year,case,unit,value
GenX,BASN,2030,base-short-myopic-current-policies,tons,3.14997e+07
GenX,CANO,2030,base-short-myopic-current-policies,tons,1.29318e+07
GenX,CASO,2030,base-short-myopic-current-policies,tons,1.39177e+07
GenX,FRCC,2030,base-short-myopic-current-policies,tons,7.0546e+07
GenX,ISNE,2030,base-short-myopic-current-policies,tons,1.26364e+07
GenX,MISC,2030,base-short-myopic-current-policies,tons,9.4161e+07
GenX,MISE,2030,base-short-myopic-current-policies,tons,3.21842e+07
GenX,MISS,2030,base-short-myopic-current-policies,tons,6.15512e+07
GenX,MISW,2030,base-short-myopic-current-policies,tons,7.35505e+07
GenX,NWPP,2030,base-short-myopic-current-policies,tons,1.48067e+07
GenX,NYCW,2030,base-short-myopic-current-policies,tons,5.89553e+06
GenX,NYUP,2030,base-short-myopic-current-policies,tons,8.5356e+06
GenX,PJMC,2030,base-short-myopic-current-policies,tons,9.96777e+06
GenX,PJMD,2030,base-short-myopic-current-policies,tons,5.5197e+06
GenX,PJME,2030,base-short-myopic-current-policies,tons,8.34434e+07
GenX,PJMW,2030,base-short-myopic-current-policies,tons,1.54393e+08
GenX,RMRG,2030,base-short-myopic-current-policies,tons,3.51677e+07
GenX,SPPC,2030,base-short-myopic-current-policies,tons,4.92093e+07
GenX,SPPN,2030,base-short-myopic-current-policies,tons,3.40428e+07
GenX,SPPS,2030,base-short-myopic-current-policies,tons,2.90564e+07
GenX,SRCA,2030,base-short-myopic-current-policies,tons,6.58907e+07
GenX,SRCE,2030,base-short-myopic-current-policies,tons,6.63814e+07
GenX,SRSE,2030,base-short-myopic-current-policies,tons,7.64069e+07
GenX,SRSG,2030,base-short-myopic-current-policies,tons,3.39878e+07
GenX,TRE,2030,base-short-myopic-current-policies,tons,8.43709e+07
GenX,TRE_WEST,2030,base-short-myopic-current-policies,tons,4.23628e+06
GenX,BASN,2040,base-short-myopic-current-policies,tons,2.34815e+07
GenX,CANO,2040,base-short-myopic-current-policies,tons,1.95195e+07
GenX,CASO,2040,base-short-myopic-current-policies,tons,2.10418e+07
GenX,FRCC,2040,base-short-myopic-current-policies,tons,7.1725e+07
GenX,ISNE,2040,base-short-myopic-current-policies,tons,2.03689e+07
GenX,MISC,2040,base-short-myopic-current-policies,tons,5.29692e+07
GenX,MISE,2040,base-short-myopic-current-policies,tons,1.91448e+07
GenX,MISS,2040,base-short-myopic-current-policies,tons,6.16556e+07
GenX,MISW,2040,base-short-myopic-current-policies,tons,5.92699e+07
GenX,NWPP,2040,base-short-myopic-current-policies,tons,1.78194e+07
GenX,NYCW,2040,base-short-myopic-current-policies,tons,7.27571e+06
GenX,NYUP,2040,base-short-myopic-current-policies,tons,7.395e+06
GenX,PJMC,2040,base-short-myopic-current-policies,tons,9.07657e+06
GenX,PJMD,2040,base-short-myopic-current-policies,tons,9.48721e+06
GenX,PJME,2040,base-short-myopic-current-policies,tons,6.45701e+07
GenX,PJMW,2040,base-short-myopic-current-policies,tons,6.6364e+07
GenX,RMRG,2040,base-short-myopic-current-policies,tons,2.16857e+07
GenX,SPPC,2040,base-short-myopic-current-policies,tons,3.14307e+07
GenX,SPPN,2040,base-short-myopic-current-policies,tons,2.34666e+07
GenX,SPPS,2040,base-short-myopic-current-policies,tons,2.40069e+07
GenX,SRCA,2040,base-short-myopic-current-policies,tons,3.85959e+07
GenX,SRCE,2040,base-short-myopic-current-policies,tons,3.59777e+07
GenX,SRSE,2040,base-short-myopic-current-policies,tons,6.12513e+07
GenX,SRSG,2040,base-short-myopic-current-policies,tons,1.66233e+07
GenX,TRE,2040,base-short-myopic-current-policies,tons,7.79804e+07
GenX,TRE_WEST,2040,base-short-myopic-current-policies,tons,3.5269e+06
GenX,BASN,2050,base-short-myopic-current-policies,tons,2.60602e+07
GenX,CANO,2050,base-short-myopic-current-policies,tons,2.70955e+07
GenX,CASO,2050,base-short-myopic-current-policies,tons,5.18702e+07
GenX,FRCC,2050,base-short-myopic-current-policies,tons,7.97272e+07
GenX,ISNE,2050,base-short-myopic-current-policies,tons,2.09302e+07
GenX,MISC,2050,base-short-myopic-current-policies,tons,7.19488e+07
GenX,MISE,2050,base-short-myopic-current-policies,tons,2.7282e+07
GenX,MISS,2050,base-short-myopic-current-policies,tons,4.86475e+07
GenX,MISW,2050,base-short-myopic-current-policies,tons,7.50597e+07
GenX,NWPP,2050,base-short-myopic-current-policies,tons,4.34319e+07
GenX,NYCW,2050,base-short-myopic-current-policies,tons,9.19102e+06
GenX,NYUP,2050,base-short-myopic-current-policies,tons,6.69935e+06
GenX,PJMC,2050,base-short-myopic-current-policies,tons,7.62408e+06
GenX,PJMD,2050,base-short-myopic-current-policies,tons,3.69607e+06
GenX,PJME,2050,base-short-myopic-current-policies,tons,7.58546e+07
GenX,PJMW,2050,base-short-myopic-current-policies,tons,8.42423e+07
GenX,RMRG,2050,base-short-myopic-current-policies,tons,1.8163e+07
GenX,SPPC,2050,base-short-myopic-current-policies,tons,1.33472e+07
GenX,SPPN,2050,base-short-myopic-current-policies,tons,1.66496e+07
GenX,SPPS,2050,base-short-myopic-current-policies,tons,2.1195e+07
GenX,SRCA,2050,base-short-myopic-current-policies,tons,4.58389e+07
GenX,SRCE,2050,base-short-myopic-current-policies,tons,3.91996e+07
GenX,SRSE,2050,base-short-myopic-current-policies,tons,6.82237e+07
GenX,SRSG,2050,base-short-myopic-current-policies,tons,2.92279e+07
GenX,TRE,2050,base-short-myopic-current-policies,tons,1.01257e+08
GenX,TRE_WEST,2050,base-short-myopic-current-policies,tons,3.3575e+06
