model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2030,base-short-myopic-current-policies,all,MWh,689311.1242690234
GenX,BASN,BASN_biomass_1,Other,2030,base-short-myopic-current-policies,all,MWh,162489.59999999913
GenX,BASN,BASN_biomass_2,Other,2030,base-short-myopic-current-policies,all,MWh,87360.0
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-current-policies,all,MWh,8514595.89733204
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2030,base-short-myopic-current-policies,all,MWh,342649.7045383439
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2030,base-short-myopic-current-policies,all,MWh,20939161.348737676
GenX,BASN,BASN_geothermal_1,Geothermal,2030,base-short-myopic-current-policies,all,MWh,3588127.68263128
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,19980.18278006948
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,25736280.7167314
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,1344.0397331286963
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,1250.247911318579
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,2213.3841591792807
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,769.4006329785193
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base-short-myopic-current-policies,all,MWh,3668750.580144053
GenX,BASN,BASN_petroleum_liquids_1,Other,2030,base-short-myopic-current-policies,all,MWh,55.744414264128906
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2030,base-short-myopic-current-policies,all,MWh,1547145.600000027
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2030,base-short-myopic-current-policies,all,MWh,16528593.401473796
GenX,CANO,CANO_batteries_1,Battery,2030,base-short-myopic-current-policies,all,MWh,2990250.707874794
GenX,CANO,CANO_biomass_1,Other,2030,base-short-myopic-current-policies,all,MWh,1172371.2000000067
GenX,CANO,CANO_biomass_2,Other,2030,base-short-myopic-current-policies,all,MWh,667430.399999993
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-current-policies,all,MWh,18290024.3672155
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-current-policies,all,MWh,3772729.215282144
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,257160.59393993905
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,32762165.85105796
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,1435.4689315077492
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,1482.8124260285922
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,2345.046703638346
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-current-policies,all,MWh,1939.0349642186836
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base-short-myopic-current-policies,all,MWh,2914727.7426847
GenX,CANO,CANO_petroleum_liquids_1,Other,2030,base-short-myopic-current-policies,all,MWh,163.02981024198522
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2030,base-short-myopic-current-policies,all,MWh,1882608.0
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2030,base-short-myopic-current-policies,all,MWh,13586871.513062028
GenX,CASO,CASO_batteries_1,Battery,2030,base-short-myopic-current-policies,all,MWh,11040189.29033965
