model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2030,base-short-myopic-current-policies,MW,100,100.019
GenX,2,BASN_to_CASO,2030,base-short-myopic-current-policies,MW,5920,5920.21
GenX,3,BASN_to_NWPP,2030,base-short-myopic-current-policies,MW,3350,3350.04
GenX,4,BASN_to_RMRG,2030,base-short-myopic-current-policies,MW,3750,3750.03
GenX,5,BASN_to_SRSG,2030,base-short-myopic-current-policies,MW,5385,5385
GenX,6,CANO_to_CASO,2030,base-short-myopic-current-policies,MW,3675,3675.05
GenX,7,CANO_to_NWPP,2030,base-short-myopic-current-policies,MW,3675,3675.02
GenX,8,CASO_to_NWPP,2030,base-short-myopic-current-policies,MW,2858,2858.01
GenX,9,CASO_to_SRSG,2030,base-short-myopic-current-policies,MW,4354,4354
GenX,10,FRCC_to_SRSE,2030,base-short-myopic-current-policies,MW,3600,3600.05
GenX,11,ISNE_to_NYCW,2030,base-short-myopic-current-policies,MW,760,760.744
GenX,12,ISNE_to_NYUP,2030,base-short-myopic-current-policies,MW,1400,7011.02
GenX,13,MISC_to_MISE,2030,base-short-myopic-current-policies,MW,0,3.09977
GenX,14,MISC_to_MISS,2030,base-short-myopic-current-policies,MW,1039,1039.01
GenX,15,MISC_to_MISW,2030,base-short-myopic-current-policies,MW,1655,1655.05
GenX,16,MISC_to_PJMC,2030,base-short-myopic-current-policies,MW,5244,5244.12
GenX,17,MISC_to_PJMW,2030,base-short-myopic-current-policies,MW,5441,5441.26
GenX,18,MISC_to_SPPC,2030,base-short-myopic-current-policies,MW,1430,1430.2
GenX,19,MISC_to_SPPN,2030,base-short-myopic-current-policies,MW,0,4.17943
GenX,20,MISC_to_SPPS,2030,base-short-myopic-current-policies,MW,1172,1172.14
GenX,21,MISC_to_SRCE,2030,base-short-myopic-current-policies,MW,3745,3745.1
GenX,22,MISE_to_MISW,2030,base-short-myopic-current-policies,MW,0,2.10657
GenX,23,MISE_to_PJMW,2030,base-short-myopic-current-policies,MW,2662,2662.09
GenX,24,MISS_to_SPPC,2030,base-short-myopic-current-policies,MW,305.5,310.787
GenX,25,MISS_to_SPPS,2030,base-short-myopic-current-policies,MW,1697,1698.05
GenX,26,MISS_to_SRCE,2030,base-short-myopic-current-policies,MW,4092,4092.41
GenX,27,MISS_to_SRSE,2030,base-short-myopic-current-policies,MW,891,891.04
GenX,28,MISW_to_NWPP,2030,base-short-myopic-current-policies,MW,200,200.007
GenX,29,MISW_to_PJMC,2030,base-short-myopic-current-policies,MW,3200,3200.13
GenX,30,MISW_to_SPPC,2030,base-short-myopic-current-policies,MW,0,2.60336
GenX,31,MISW_to_SPPN,2030,base-short-myopic-current-policies,MW,5512,5512.05
GenX,32,NWPP_to_RMRG,2030,base-short-myopic-current-policies,MW,400,400.089
GenX,33,NYCW_to_NYUP,2030,base-short-myopic-current-policies,MW,2489,3942.28
GenX,34,NYCW_to_PJME,2030,base-short-myopic-current-policies,MW,660,2494.04
GenX,35,NYUP_to_PJME,2030,base-short-myopic-current-policies,MW,1255,3549.05
GenX,36,PJMC_to_PJMW,2030,base-short-myopic-current-policies,MW,980,980.179
GenX,37,PJMD_to_PJME,2030,base-short-myopic-current-policies,MW,4056.8,4056.83
GenX,38,PJMD_to_PJMW,2030,base-short-myopic-current-policies,MW,6930,6930.45
GenX,39,PJMD_to_SRCA,2030,base-short-myopic-current-policies,MW,1000,1000.35
GenX,40,PJME_to_PJMW,2030,base-short-myopic-current-policies,MW,3885,3885.12
GenX,41,PJMW_to_SRCA,2030,base-short-myopic-current-policies,MW,1219,1219.01
GenX,42,PJMW_to_SRCE,2030,base-short-myopic-current-policies,MW,3333,3333.06
GenX,43,RMRG_to_SPPC,2030,base-short-myopic-current-policies,MW,236.1,461.248
GenX,44,RMRG_to_SPPN,2030,base-short-myopic-current-policies,MW,4736.3,5611.1
GenX,45,RMRG_to_SRSG,2030,base-short-myopic-current-policies,MW,614,614.137
GenX,46,SPPC_to_SPPN,2030,base-short-myopic-current-policies,MW,1433,1433.3
GenX,47,SPPC_to_SPPS,2030,base-short-myopic-current-policies,MW,3372,3372.24
GenX,48,SPPN_to_SPPS,2030,base-short-myopic-current-policies,MW,1492.6,2145.81
GenX,49,SPPS_to_SRSG,2030,base-short-myopic-current-policies,MW,3230.3,3686.77
GenX,50,SPPS_to_TRE,2030,base-short-myopic-current-policies,MW,600,1076.48
GenX,51,SPPS_to_TRE_WEST,2030,base-short-myopic-current-policies,MW,3576.9,8064.95
GenX,52,SRCA_to_SRCE,2030,base-short-myopic-current-policies,MW,216,216.032
GenX,53,SRCA_to_SRSE,2030,base-short-myopic-current-policies,MW,1400,1400.05
GenX,54,SRCE_to_SRSE,2030,base-short-myopic-current-policies,MW,3196,3196.05
GenX,55,TRE_to_TRE_WEST,2030,base-short-myopic-current-policies,MW,16529,16529
GenX,56,NWPP_to_SPPN,2030,base-short-myopic-current-policies,MW,0,2.50361
GenX,57,SRSG_to_TRE,2030,base-short-myopic-current-policies,MW,3018.5,5805.4
GenX,1,BASN_to_CANO,2040,base-short-myopic-current-policies,MW,100,100.002
GenX,2,BASN_to_CASO,2040,base-short-myopic-current-policies,MW,5920,5920.06
GenX,3,BASN_to_NWPP,2040,base-short-myopic-current-policies,MW,3350,3350.02
GenX,4,BASN_to_RMRG,2040,base-short-myopic-current-policies,MW,3750,3750.39
GenX,5,BASN_to_SRSG,2040,base-short-myopic-current-policies,MW,5385,5385
GenX,6,CANO_to_CASO,2040,base-short-myopic-current-policies,MW,3675,3675
GenX,7,CANO_to_NWPP,2040,base-short-myopic-current-policies,MW,3675,3675
GenX,8,CASO_to_NWPP,2040,base-short-myopic-current-policies,MW,2858,2858
GenX,9,CASO_to_SRSG,2040,base-short-myopic-current-policies,MW,4354,4354.1
GenX,10,FRCC_to_SRSE,2040,base-short-myopic-current-policies,MW,3600,3600.04
GenX,11,ISNE_to_NYCW,2040,base-short-myopic-current-policies,MW,760,760
GenX,12,ISNE_to_NYUP,2040,base-short-myopic-current-policies,MW,1400,5092.8
GenX,13,MISC_to_MISE,2040,base-short-myopic-current-policies,MW,0,599.106
GenX,14,MISC_to_MISS,2040,base-short-myopic-current-policies,MW,1039,1039.04
GenX,15,MISC_to_MISW,2040,base-short-myopic-current-policies,MW,1655,1655.02
GenX,16,MISC_to_PJMC,2040,base-short-myopic-current-policies,MW,5244,5244
GenX,17,MISC_to_PJMW,2040,base-short-myopic-current-policies,MW,5441,5441.21
GenX,18,MISC_to_SPPC,2040,base-short-myopic-current-policies,MW,1430,3737.2
GenX,19,MISC_to_SPPN,2040,base-short-myopic-current-policies,MW,0,314.907
GenX,20,MISC_to_SPPS,2040,base-short-myopic-current-policies,MW,1172,3378.45
GenX,21,MISC_to_SRCE,2040,base-short-myopic-current-policies,MW,3745,3745.01
GenX,22,MISE_to_MISW,2040,base-short-myopic-current-policies,MW,0,12.0457
GenX,23,MISE_to_PJMW,2040,base-short-myopic-current-policies,MW,2662,2662.02
GenX,24,MISS_to_SPPC,2040,base-short-myopic-current-policies,MW,305.5,576.727
GenX,25,MISS_to_SPPS,2040,base-short-myopic-current-policies,MW,1697,10939.7
GenX,26,MISS_to_SRCE,2040,base-short-myopic-current-policies,MW,4092,4092.07
GenX,27,MISS_to_SRSE,2040,base-short-myopic-current-policies,MW,891,3412.84
GenX,28,MISW_to_NWPP,2040,base-short-myopic-current-policies,MW,200,200.003
GenX,29,MISW_to_PJMC,2040,base-short-myopic-current-policies,MW,3200,3200.01
GenX,30,MISW_to_SPPC,2040,base-short-myopic-current-policies,MW,0,6.33737
