model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2030,base-short-myopic-current-policies,MW,0.0192412
GenX,2,BASN_to_CASO,2030,base-short-myopic-current-policies,MW,0.214827
GenX,3,BASN_to_NWPP,2030,base-short-myopic-current-policies,MW,0.0363974
GenX,4,BASN_to_RMRG,2030,base-short-myopic-current-policies,MW,0.0326534
GenX,5,BASN_to_SRSG,2030,base-short-myopic-current-policies,MW,0.00477241
GenX,6,CANO_to_CASO,2030,base-short-myopic-current-policies,MW,0.0538811
GenX,7,CANO_to_NWPP,2030,base-short-myopic-current-policies,MW,0.0210748
GenX,8,CASO_to_NWPP,2030,base-short-myopic-current-policies,MW,0.00573432
GenX,9,CASO_to_SRSG,2030,base-short-myopic-current-policies,MW,0.0032216
GenX,10,FRCC_to_SRSE,2030,base-short-myopic-current-policies,MW,0.0474743
GenX,11,ISNE_to_NYCW,2030,base-short-myopic-current-policies,MW,0.74395
GenX,12,ISNE_to_NYUP,2030,base-short-myopic-current-policies,MW,5611.02
GenX,13,MISC_to_MISE,2030,base-short-myopic-current-policies,MW,3.09977
GenX,14,MISC_to_MISS,2030,base-short-myopic-current-policies,MW,0.0139344
GenX,15,MISC_to_MISW,2030,base-short-myopic-current-policies,MW,0.0482599
GenX,16,MISC_to_PJMC,2030,base-short-myopic-current-policies,MW,0.115655
GenX,17,MISC_to_PJMW,2030,base-short-myopic-current-policies,MW,0.259431
GenX,18,MISC_to_SPPC,2030,base-short-myopic-current-policies,MW,0.204845
GenX,19,MISC_to_SPPN,2030,base-short-myopic-current-policies,MW,4.17943
GenX,20,MISC_to_SPPS,2030,base-short-myopic-current-policies,MW,0.141789
GenX,21,MISC_to_SRCE,2030,base-short-myopic-current-policies,MW,0.0977119
GenX,22,MISE_to_MISW,2030,base-short-myopic-current-policies,MW,2.10657
GenX,23,MISE_to_PJMW,2030,base-short-myopic-current-policies,MW,0.0930523
GenX,24,MISS_to_SPPC,2030,base-short-myopic-current-policies,MW,5.28708
GenX,25,MISS_to_SPPS,2030,base-short-myopic-current-policies,MW,1.04907
GenX,26,MISS_to_SRCE,2030,base-short-myopic-current-policies,MW,0.405078
GenX,27,MISS_to_SRSE,2030,base-short-myopic-current-policies,MW,0.0398416
GenX,28,MISW_to_NWPP,2030,base-short-myopic-current-policies,MW,0.00743725
GenX,29,MISW_to_PJMC,2030,base-short-myopic-current-policies,MW,0.133507
GenX,30,MISW_to_SPPC,2030,base-short-myopic-current-policies,MW,2.60336
GenX,31,MISW_to_SPPN,2030,base-short-myopic-current-policies,MW,0.0530758
GenX,32,NWPP_to_RMRG,2030,base-short-myopic-current-policies,MW,0.0889667
GenX,33,NYCW_to_NYUP,2030,base-short-myopic-current-policies,MW,1453.28
GenX,34,NYCW_to_PJME,2030,base-short-myopic-current-policies,MW,1834.04
GenX,35,NYUP_to_PJME,2030,base-short-myopic-current-policies,MW,2294.05
GenX,36,PJMC_to_PJMW,2030,base-short-myopic-current-policies,MW,0.179383
GenX,37,PJMD_to_PJME,2030,base-short-myopic-current-policies,MW,0.0336623
GenX,38,PJMD_to_PJMW,2030,base-short-myopic-current-policies,MW,0.454714
