Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.2862327205611719e11,3.1793915561526365e9,3.066025628522107e9,2.819102171172367e9,7.860210692553223e9,5.50561335240324e9,5.467452011082379e9,2.742324497666527e9,5.803721511629414e9,5.858528673458606e9,3.9540096088668275e9,1.7679575103825226e9,4.140278364158838e9,4.0481172524045715e9,3.111109748587049e9,1.0107551348519154e10,1.0345809939765942e10,2.5526322492551274e9,2.501387334549552e9,2.1136378189243696e9,3.229067061731146e9,8.353257045175227e9,6.425367741215514e9,7.897087041857068e9,4.341710587121542e9,9.368382710613619e9,2.0635072587433033e9
cFix,8.793577000201997e10,2.34122652021e9,2.0409675688899999e9,1.91548392098e9,3.5571773409999995e9,4.0994787875800004e9,3.3458308524700007e9,1.6854469437500002e9,3.06084186133e9,3.80694494234e9,3.5087736045800004e9,1.1771628012700002e9,4.46868895505e9,2.48207781494e9,2.9055042622400002e9,5.645817197260001e9,6.040772622869999e9,2.66803179484e9,1.55391480072e9,1.6889916311e9,2.6479270050799994e9,5.5880496562e9,4.93358093088e9,4.552425587030001e9,2.66412488861e9,7.040127334540001e9,2.51640037626e9
cVar,-6.830470396869461e9,-4.5978630250969136e8,-3.077309294699282e8,-3.1090738762209743e8,-8.467555227476658e7,-3.349573695473731e7,-2.609956517308351e8,-1.0767374419357489e8,5.975778145282577e7,-1.6672045627960014e8,-3.040660715548915e8,8.003900614583318e7,-8.794498621989925e8,3.331503518485223e8,-2.908059367575484e8,5.071198384066864e8,-4.46873000676729e8,-7.619343262782048e8,-1.6305215876682209e7,-2.0419555170584312e8,-3.723522367615159e8,1.0507570933816953e8,-5.037281456857377e8,-1.515057152177283e8,-1.6403509781163195e8,-1.463167944343038e9,-6.252082181576825e8
cFuel,4.644936184303849e10,1.2904507046583257e9,1.3179584983394592e9,1.1665346875988362e9,4.360443301057629e9,1.0736713271539315e9,2.373649346334022e9,1.1570487128660944e9,2.6685307891663294e9,2.174207853299564e9,7.40169128336118e8,4.8307473308243257e8,5.333360973927798e8,1.2237346024315393e9,4.850889129847065e8,3.93044976154072e9,4.732983781725099e9,6.262612284108449e8,9.474176797258931e8,6.204492992169695e8,9.26800240788124e8,2.6406004072730813e9,1.9725429883104959e9,3.4588574348363767e9,1.8048166503030267e9,3.578343103884563e9,1.6194057231917042e8
cNSE,3.367032950407926e8,7863.073446196715,8240.153009809068,8912.047871583956,9807.653608539933,3.2413498981103355e8,8799.219113579411,8433.18513684807,9055.832337872946,9149.084458639523,8657.45649518697,1.235848391150175e7,7871.573530957146,8866.725187031621,7681.555718860912,8718.189978547649,9210.219284482288,7640.5548033286905,7956.6301727493665,7636.493594059723,8177.3033893703905,9245.357298905647,9233.137699840976,9695.529213747906,8544.138533952428,11921.910495564833,8504.293878879515
cStart,7.318759732843975e8,7.492770720555552e6,1.4822250609566672e7,4.798203816775665e7,2.7255795116752215e7,4.182398481301233e7,8.958664790077576e6,7.494152058870238e6,1.4582023847920619e7,4.408718501418318e7,9.124290049105536e6,1.532248597275471e7,1.7695302341520336e7,9.145616459322603e6,1.1314828564171968e7,2.41558331217685e7,1.8917325628288068e7,2.0265911727683738e7,1.6352113350167997e7,8.384803819649129e6,2.6683875321148276e7,1.9522027006677307e7,2.2962734573055096e7,3.730003967920563e7,3.679560188161322e7,2.1306829462159875e8,1.0366024027936226e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,31339.622483305317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
