Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,71460.47999999781,8.18,0.9999999999999694
BASN_biomass_2,1,48921.59999999929,5.6,0.9999999999999857
BASN_conventional_hydroelectric_1,1,6.121433274118633e6,1773.8,0.3950352440017381
BASN_conventional_steam_coal_1,1,387348.5427528522,51.0,0.8693989773056547
BASN_conventional_steam_coal_2,1,1.5724994785345957e7,2040.2,0.8822773732268242
BASN_geothermal_1,1,2.6599682437758343e6,325.22,0.9362386827017385
BASN_natural_gas_fired_combined_cycle_1,1,490118.7739695113,433.0,0.12956891342069748
BASN_natural_gas_fired_combined_cycle_2,1,2.4747117116660368e7,7113.9,0.3982027291952532
BASN_natural_gas_fired_combustion_turbine_1,1,234548.48553168392,1902.9,0.014109253666353327
BASN_natural_gas_fired_combustion_turbine_2,1,38908.543082009244,236.2,0.01885612508355415
BASN_natural_gas_internal_combustion_engine_1,1,252328.2871223241,221.4,0.13045949638783216
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,2.631378184418631e6,1454.0,0.20716016008152882
BASN_petroleum_liquids_1,1,683.3973777649559,13.6,0.00575203836865839
BASN_small_hydroelectric_1,1,1.5414671999999762e6,176.45,0.9999999999999846
BASN_solar_photovoltaic_1,1,1.4142563911704531e7,7483.7,0.21632123570575512
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,75741.1199999951,8.67,0.9999999999999355
CANO_biomass_2,2,113131.19999999787,12.95,0.9999999999999812
CANO_conventional_hydroelectric_1,2,1.8700166192995075e7,6901.8,0.31014906104077117
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,5.055783016421335e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,7.6605331396817975e6,3112.8,0.281705387344346
CANO_natural_gas_fired_combined_cycle_2,2,4.744171447095097e7,8296.9,0.6545335226344603
CANO_natural_gas_fired_combustion_turbine_1,2,645632.9170947253,1994.9,0.03704690304454044
CANO_natural_gas_fired_combustion_turbine_2,2,986092.3642238816,1510.0,0.0747528961550501
CANO_natural_gas_internal_combustion_engine_1,2,607114.6570820687,431.6,0.1610188262247184
CANO_natural_gas_steam_turbine_1,2,12991.23160492648,2.9,0.5127901827130888
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,1.2007440115729482e6,698.0,0.19691662395780005
CANO_petroleum_liquids_1,2,5556.200766799765,167.4,0.0037993547941254664
CANO_small_hydroelectric_1,2,1.944983039999982e6,222.64,0.9999999999999908
CANO_solar_photovoltaic_1,2,1.2482517753038062e7,5750.0,0.24849732746134065
CASO_batteries_1,3,123687.36994305496,84.0,0.0
CASO_biomass_1,3,218050.55999999706,24.96,0.9999999999999865
CASO_biomass_2,3,32760.0,3.75,1.0
CASO_conventional_hydroelectric_1,3,2.2769604714153823e6,955.0,0.27292259644336037
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,3,3.736013399577178e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,2.931511017979196e6,1984.9,0.16905976996626704
CASO_natural_gas_fired_combined_cycle_2,3,2.622154323779823e7,6090.1,0.4928573059641049
CASO_natural_gas_fired_combustion_turbine_1,3,206247.94445073232,1454.7,0.016229441122095803
CASO_natural_gas_fired_combustion_turbine_2,3,2.884554042149161e6,3813.6,0.08658265830288638
CASO_natural_gas_internal_combustion_engine_1,3,102752.20872868512,50.2,0.23430136762630138
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.1464923412607938e7,3464.4,0.37881790909355995
CASO_petroleum_liquids_1,3,843.30807857062,7.8,0.01237596386556395
CASO_small_hydroelectric_1,3,584700.4800000141,66.93,1.000000000000024
CASO_solar_photovoltaic_1,3,2.832600926481911e7,12852.6,0.2522793921446539
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,76964.16000000142,8.81,1.0000000000000184
FRCC_biomass_2,4,218225.280000007,24.98,1.000000000000032
FRCC_conventional_hydroelectric_1,4,108377.0460732782,43.5,0.2851907447930566
FRCC_conventional_steam_coal_1,4,2.0284962176641595e7,2523.0,0.9203315838898251
FRCC_conventional_steam_coal_2,4,3.53309058987686e6,442.0,0.9149974386625219
FRCC_natural_gas_fired_combined_cycle_1,4,4.928828313514648e6,2312.7,0.24395614658624556
FRCC_natural_gas_fired_combined_cycle_2,4,1.3015219984565447e8,28737.0,0.5184387557663216
FRCC_natural_gas_fired_combustion_turbine_1,4,3.677091660284808e6,8326.4,0.05055155972577987
FRCC_natural_gas_fired_combustion_turbine_2,4,288088.4349070947,234.7,0.14050769497412657
FRCC_natural_gas_internal_combustion_engine_1,4,365249.3220769577,244.4,0.17107068390414032
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,3.0868292790614784e7,3737.0,0.9455334289093148
FRCC_petroleum_liquids_1,4,1262.3202448015422,148.3,0.0009743517533276571
FRCC_solar_photovoltaic_1,4,1.1198744527957918e7,7848.6,0.163329456156799
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,2446.08000000005,0.28,0.0
ISNE_biomass_2,5,254654.3999999956,29.15,0.9999999999999827
ISNE_conventional_hydroelectric_1,5,1.9124755043254108e6,516.1,0.42417922748430276
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,1.4262295962398774e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,55552.02979015846,3158.8,0.0020130992050842
ISNE_natural_gas_fired_combined_cycle_2,5,1.1544257128459476e7,10499.0,0.12586513045350514
ISNE_natural_gas_fired_combustion_turbine_1,5,8289.423988762483,409.5,0.002317169599742629
ISNE_natural_gas_fired_combustion_turbine_2,5,17395.84611430926,1315.9,0.0015132477780835088
ISNE_natural_gas_internal_combustion_engine_1,5,11890.635447756258,57.4,0.023712674869649595
ISNE_natural_gas_steam_turbine_1,5,17540.010339259425,17.2,0.11673168990157957
ISNE_nuclear_1,5,2.9028274472429797e7,3348.1,0.9924535158297437
ISNE_offshore_wind_turbine_1,5,255301.47801310368,29.3,0.9974085421632337
ISNE_onshore_wind_turbine_1,5,1.820885548046705e6,1165.2,0.1788831968869484
ISNE_petroleum_liquids_1,5,340.3847517651837,823.9,4.729148685165298e-5
ISNE_small_hydroelectric_1,5,2.0384582400000447e6,233.34,1.0000000000000218
ISNE_solar_photovoltaic_1,5,3.8890487054274348e6,2438.0,0.1825984369049983
MISC_batteries_1,6,0.0,0.0,0.0
MISC_biomass_1,6,257013.12000000224,29.42,1.0000000000000087
MISC_biomass_2,6,8211.839999999951,0.94,0.0
MISC_conventional_hydroelectric_1,6,885069.4581581851,276.6,0.3662794499329017
MISC_conventional_steam_coal_1,6,5.230981869809852e7,6248.7,0.9582546044686914
MISC_conventional_steam_coal_2,6,1.2508622523385212e7,1692.0,0.8462457543271674
MISC_hydroelectric_pumped_storage_1,6,791455.2540908646,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,1.8390163303396888e6,573.6,0.3669981015928911
MISC_natural_gas_fired_combined_cycle_2,6,1.6327269520086817e7,4067.5,0.45948715472438595
MISC_natural_gas_fired_combustion_turbine_1,6,906218.0451827991,457.6,0.22669088853424196
MISC_natural_gas_fired_combustion_turbine_2,6,2.68764709489575e6,8951.4,0.03436913902247234
MISC_natural_gas_internal_combustion_engine_1,6,76707.95772595619,34.8,0.2523181843855134
MISC_natural_gas_steam_turbine_1,6,26250.15233997443,125.9,0.023866760369273855
MISC_nuclear_1,6,2.063329577844386e7,2373.0,0.9953097083896686
MISC_onshore_wind_turbine_1,6,8.039103095746296e6,3811.7,0.24142167608106926
MISC_petroleum_liquids_1,6,1546.8946915214942,208.2,0.0008504864495263202
MISC_small_hydroelectric_1,6,0.0,0.0,0.0
MISC_solar_photovoltaic_1,6,6.541918159657537e6,3878.1,0.19309608911174078
MISE_batteries_1,7,0.0,0.0,0.0
MISE_biomass_1,7,66830.39999999986,7.65,0.9999999999999979
MISE_biomass_2,7,89718.72000000191,10.27,1.0000000000000213
MISE_conventional_hydroelectric_1,7,0.0,0.0,0.0
MISE_conventional_steam_coal_1,7,16988.60426182771,2.3,0.8455070603314476
MISE_conventional_steam_coal_2,7,0.0,0.0,0.0
MISE_hydroelectric_pumped_storage_1,7,1.725665050718476e6,2047.0000000000002,0.0
MISE_natural_gas_fired_combined_cycle_1,7,1.9859149560501218e7,6017.4,0.3777801541376547
MISE_natural_gas_fired_combined_cycle_2,7,906606.606472485,699.2,0.1484242402215046
MISE_natural_gas_fired_combustion_turbine_1,7,294043.4948178934,3971.5,0.008475091264323479
MISE_natural_gas_fired_combustion_turbine_2,7,7817.157592058871,418.1,0.0021402084499812053
MISE_natural_gas_internal_combustion_engine_1,7,41703.4918399981,82.9,0.05758445543197995
MISE_natural_gas_steam_turbine_1,7,28860.197463619737,8.2,0.4028773209765554
MISE_nuclear_1,7,1.0132487242095191e7,1161.0,0.9990131859154976
MISE_onshore_wind_turbine_1,7,6.61322944433597e6,3075.1,0.24617373905407888
MISE_petroleum_liquids_1,7,682.6231524284904,28.7,0.0027226166243430622
MISE_small_hydroelectric_1,7,105356.15999999829,12.06,0.9999999999999838
MISE_solar_photovoltaic_1,7,1.8410694394873045e6,1073.5,0.19631590884624175
MISS_batteries_1,8,0.0,0.0,0.0
MISS_biomass_1,8,6202.560000000196,0.71,0.0
MISS_biomass_2,8,93300.47999999649,10.68,0.9999999999999624
MISS_conventional_hydroelectric_1,8,1.1916202696444055e6,521.4,0.2616099331497453
MISS_conventional_steam_coal_1,8,4.1245560104618974e7,5094.1,0.926823664544872
MISS_conventional_steam_coal_2,8,7.862836107750875e6,1016.9999999999999,0.8850048385044531
MISS_natural_gas_fired_combined_cycle_1,8,8.652713128164686e7,16637.2,0.5953322953116197
MISS_natural_gas_fired_combined_cycle_2,8,920782.9132477222,2203.2,0.0478399484848401
MISS_natural_gas_fired_combustion_turbine_1,8,330055.81899773155,3394.9,0.011128785770423692
MISS_natural_gas_fired_combustion_turbine_2,8,1.4568263716787458e6,721.4,0.23116337745267804
MISS_natural_gas_internal_combustion_engine_1,8,149487.50148810292,82.8,0.20666261530955107
