model,zone,planning_year,case,unit,value
SWITCH,BASN,2030,base_short_current_policy,kg,40294383012.089066
SWITCH,CANO,2030,base_short_current_policy,kg,17191549590.378902
SWITCH,CASO,2030,base_short_current_policy,kg,17830505434.456177
SWITCH,FRCC,2030,base_short_current_policy,kg,96988800675.25716
SWITCH,ISNE,2030,base_short_current_policy,kg,17120.0
SWITCH,MISC,2030,base_short_current_policy,kg,127193769327.10046
SWITCH,MISE,2030,base_short_current_policy,kg,47429811003.56316
SWITCH,MISS,2030,base_short_current_policy,kg,92179864952.42987
SWITCH,MISW,2030,base_short_current_policy,kg,114353774431.39
SWITCH,NWPP,2030,base_short_current_policy,kg,14351738640.19768
SWITCH,NYCW,2030,base_short_current_policy,kg,11120.0
SWITCH,NYUP,2030,base_short_current_policy,kg,8050.000000000001
SWITCH,PJMC,2030,base_short_current_policy,kg,22656198091.11894
SWITCH,PJMD,2030,base_short_current_policy,kg,14510.0
SWITCH,PJME,2030,base_short_current_policy,kg,65580.0
SWITCH,PJMW,2030,base_short_current_policy,kg,277386306591.4619
SWITCH,RMRG,2030,base_short_current_policy,kg,57381497196.6055
SWITCH,SPPC,2030,base_short_current_policy,kg,67263049771.00268
SWITCH,SPPN,2030,base_short_current_policy,kg,45624065729.751274
SWITCH,SPPS,2030,base_short_current_policy,kg,54955013109.30625
SWITCH,SRCA,2030,base_short_current_policy,kg,104597986907.79405
SWITCH,SRCE,2030,base_short_current_policy,kg,70874200296.34627
SWITCH,SRSE,2030,base_short_current_policy,kg,110546784785.26134
SWITCH,SRSG,2030,base_short_current_policy,kg,46898661227.90409
SWITCH,TRE,2030,base_short_current_policy,kg,146069936153.59613
SWITCH,TRE_WEST,2030,base_short_current_policy,kg,8261559322.341542
SWITCH,BASN,2040,base_short_current_policy,kg,39648781278.446785
SWITCH,CANO,2040,base_short_current_policy,kg,17707825357.008892
SWITCH,CASO,2040,base_short_current_policy,kg,39564250933.28555
SWITCH,FRCC,2040,base_short_current_policy,kg,90794612839.67735
SWITCH,ISNE,2040,base_short_current_policy,kg,17120.0
SWITCH,MISC,2040,base_short_current_policy,kg,103788239432.55714
SWITCH,MISE,2040,base_short_current_policy,kg,33539556992.356823
SWITCH,MISS,2040,base_short_current_policy,kg,94432486906.06583
SWITCH,MISW,2040,base_short_current_policy,kg,131463095328.17879
SWITCH,NWPP,2040,base_short_current_policy,kg,31516023699.127758
SWITCH,NYCW,2040,base_short_current_policy,kg,11120.0
SWITCH,NYUP,2040,base_short_current_policy,kg,8050.000000000001
SWITCH,PJMC,2040,base_short_current_policy,kg,10759480231.640726
SWITCH,PJMD,2040,base_short_current_policy,kg,14510.0
SWITCH,PJME,2040,base_short_current_policy,kg,65580.0
SWITCH,PJMW,2040,base_short_current_policy,kg,245617090148.11566
SWITCH,RMRG,2040,base_short_current_policy,kg,32790304164.91734
SWITCH,SPPC,2040,base_short_current_policy,kg,49245817290.42406
SWITCH,SPPN,2040,base_short_current_policy,kg,35774626001.9442
SWITCH,SPPS,2040,base_short_current_policy,kg,36932001446.24758
SWITCH,SRCA,2040,base_short_current_policy,kg,54695393864.02236
SWITCH,SRCE,2040,base_short_current_policy,kg,55202499615.06163
SWITCH,SRSE,2040,base_short_current_policy,kg,86219059097.8801
SWITCH,SRSG,2040,base_short_current_policy,kg,39492491969.95579
SWITCH,TRE,2040,base_short_current_policy,kg,149004496218.71884
SWITCH,TRE_WEST,2040,base_short_current_policy,kg,6731389215.870049
SWITCH,BASN,2050,base_short_current_policy,kg,33167589875.39073
SWITCH,CANO,2050,base_short_current_policy,kg,24394853661.22117
SWITCH,CASO,2050,base_short_current_policy,kg,48575104402.28963
SWITCH,FRCC,2050,base_short_current_policy,kg,87722170648.49399
SWITCH,ISNE,2050,base_short_current_policy,kg,17120.0
SWITCH,MISC,2050,base_short_current_policy,kg,94410649837.18478
SWITCH,MISE,2050,base_short_current_policy,kg,37262663442.46125
SWITCH,MISS,2050,base_short_current_policy,kg,55898205583.54377
SWITCH,MISW,2050,base_short_current_policy,kg,108943103882.72224
SWITCH,NWPP,2050,base_short_current_policy,kg,41184127989.100266
SWITCH,NYCW,2050,base_short_current_policy,kg,11120.0
SWITCH,NYUP,2050,base_short_current_policy,kg,8050.000000000001
SWITCH,PJMC,2050,base_short_current_policy,kg,12928914905.73821
SWITCH,PJMD,2050,base_short_current_policy,kg,14510.0
SWITCH,PJME,2050,base_short_current_policy,kg,65580.0
SWITCH,PJMW,2050,base_short_current_policy,kg,249562907343.29572
SWITCH,RMRG,2050,base_short_current_policy,kg,15334665577.48632
SWITCH,SPPC,2050,base_short_current_policy,kg,3474484802.1337266
SWITCH,SPPN,2050,base_short_current_policy,kg,12304891830.0097
SWITCH,SPPS,2050,base_short_current_policy,kg,17822364452.02477
SWITCH,SRCA,2050,base_short_current_policy,kg,49860280445.80828
SWITCH,SRCE,2050,base_short_current_policy,kg,46950679963.32375
SWITCH,SRSE,2050,base_short_current_policy,kg,69746417365.23851
SWITCH,SRSG,2050,base_short_current_policy,kg,39839529328.06284
SWITCH,TRE,2050,base_short_current_policy,kg,128879194875.99426
SWITCH,TRE_WEST,2050,base_short_current_policy,kg,3669382155.5855494
