period,value,model,zone,resource_name,tech_type,case,timestep,unit,planning_year
2030,772727.9288840761,SWITCH,BASN,BASN_batteries_1,Battery,base_short_current_policies,all,MWh,2030
2030,6.8449779620525565e-09,SWITCH,BASN,BASN_battery_moderate_0,Battery,base_short_current_policies,all,MWh,2030
2030,91450.5361559954,SWITCH,BASN,BASN_biomass_1,Other,base_short_current_policies,all,MWh,2030
2030,43150.10862239757,SWITCH,BASN,BASN_biomass_2,Other,base_short_current_policies,all,MWh,2030
2030,8636820.657025948,SWITCH,BASN,BASN_conventional_hydroelectric_1,Hydro,base_short_current_policies,all,MWh,2030
2030,360314.9999999839,SWITCH,BASN,BASN_conventional_steam_coal_1,Coal,base_short_current_policies,all,MWh,2030
2030,21667772.590733986,SWITCH,BASN,BASN_conventional_steam_coal_2,Coal,base_short_current_policies,all,MWh,2030
2030,3590000.7106427588,SWITCH,BASN,BASN_distributed_generation_1,Distributed Solar,base_short_current_policies,all,MWh,2030
2030,3608101.2265055473,SWITCH,BASN,BASN_geothermal_1,Geothermal,base_short_current_policies,all,MWh,2030
2030,2.4537426449699755e-10,SWITCH,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydro,base_short_current_policies,all,MWh,2030
2030,1.534774178281842e-10,SWITCH,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydro,base_short_current_policies,all,MWh,2030
2030,10076731.71311548,SWITCH,BASN,BASN_landbasedwind_class3_moderate_0,Wind,base_short_current_policies,all,MWh,2030
2030,6.268913959145476e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_1,Wind,base_short_current_policies,all,MWh,2030
2030,2.136272525903201e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_10,Wind,base_short_current_policies,all,MWh,2030
2030,1.7654352782820879e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_11,Wind,base_short_current_policies,all,MWh,2030
2030,1.7433172778784306e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_12,Wind,base_short_current_policies,all,MWh,2030
2030,3.5092528314437483e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_13,Wind,base_short_current_policies,all,MWh,2030
2030,1.6669642187512203e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_14,Wind,base_short_current_policies,all,MWh,2030
2030,1.5657484804178635e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_15,Wind,base_short_current_policies,all,MWh,2030
2030,1.3911894696469868e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_16,Wind,base_short_current_policies,all,MWh,2030
2030,1.5772013344469803e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_17,Wind,base_short_current_policies,all,MWh,2030
2030,1.2982413177667827e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_18,Wind,base_short_current_policies,all,MWh,2030
2030,5.527547290417201e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_19,Wind,base_short_current_policies,all,MWh,2030
2030,3471729.784317418,SWITCH,BASN,BASN_landbasedwind_class3_moderate_2,Wind,base_short_current_policies,all,MWh,2030
