Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,2.4036341890137845e11,8.59766892846114e9,6.700219236682991e9,9.050817416019377e9,1.4234168054830439e10,1.2204515754910528e10,1.1665902586088778e10,5.332993127846752e9,7.291686472075732e9,1.3909182816229494e10,1.1959532032855667e10,3.8336743136601706e9,6.903908378045239e9,4.599238072047113e9,6.101212339204107e9,1.6261501687472027e10,1.723153575744611e10,5.920470183130511e9,3.937213469983945e9,2.1428115605439038e9,8.645911211670444e9,1.307194362453729e10,1.0295898486294916e10,1.2073332232442812e10,6.394431494563632e9,1.7756678717831406e10,4.2469427966758475e9
cFix,1.653660100659801e11,5.9590385182e9,4.05233379679e9,5.27832475847e9,7.06986742227e9,9.86407633804e9,7.276977240740002e9,3.27412993974e9,3.749900848700001e9,1.002016497477e10,8.600973259039999e9,3.30879574418e9,6.365763136599998e9,3.0924745909400005e9,5.524176361680001e9,1.0389450460990002e10,1.1492150710229998e10,5.092907162969999e9,3.56696319607e9,1.85339545047e9,7.891638348040001e9,9.29149394972e9,7.253121777070001e9,6.28421818651e9,4.445120551579999e9,1.0879136563650002e10,3.48941677852e9
cVar,8.425199512238341e9,2.0454473110889173e8,2.383746486490297e8,2.985856596599125e8,7.360338216896105e8,2.1316294470457837e8,4.678976806948147e8,2.1809501557503036e8,3.931178359871079e8,4.1840436127033883e8,2.6467021261757094e8,6.570730683405722e7,1.0317139425376226e8,3.0975536324557346e8,1.1013730810196654e8,8.672864477279327e8,7.096036566312553e8,6.816408172878745e7,5.8202254827916086e7,3.6959856758882694e7,8.041417030157325e7,5.0079685084078354e8,4.210085395196467e8,6.55137820522288e8,2.2997043147768348e8,6.891842834728112e8,6.681283403666087e7
cFuel,6.381164934313524e10,2.3988172408848147e9,2.1606595936098833e9,3.255104048012608e9,6.27193785572966e9,1.3912004635150104e9,3.897616551272244e9,1.8307390716817296e9,3.046958706761277e9,3.43218373519523e9,3.053617132986092e9,3.7030979592481047e8,4.235597246340897e8,1.185464025344748e9,4.4630452420727074e8,4.94890719375626e9,4.998987230647482e9,7.120287688923901e8,2.956734261555644e8,2.4130988941374654e8,6.213937813090111e8,3.241038659353453e9,2.5832556557290306e9,5.0703119505773115e9,1.657253734241891e9,5.613578994292969e9,6.63437589007147e8
cNSE,1.5267756789273942e9,17283.2848441315,1.9462609046374953e8,1.820383380529818e8,9.325746371984478e6,7.104751024759792e8,17730.50239549666,17220.110289617925,18086.817399715306,20113.61704626746,5.542199281633219e6,7.868376149018265e7,12894.22581971647,17527.38903835519,15110.761724099122,19419.244447666748,18284.181059129398,18471.552718765273,18020.901000596492,17023.303071987073,17377.7359550102,18290.399797068345,18484.542378522463,19451.227581899162,17363.24132479214,3.4575065398679423e8,15633.766185417377
cStart,1.2337561512687821e9,3.52511549825909e7,5.422510717032853e7,3.676461182387483e7,1.4700320876918566e8,2.560090617496002e7,2.3393382879323576e7,1.001188073970363e7,1.0169099380994785e8,3.8409631376873e7,3.4729228930371694e7,1.017770523111976e7,1.1401228331568621e7,1.1526565127754372e7,2.0579034453147292e7,5.583816575338411e7,3.0775875756312378e7,4.735169798661535e7,1.6356572029463816e7,1.1129340598202726e7,5.244753428390509e7,3.859587422325752e7,3.8494029433859706e7,6.3644823605631314e7,6.2069414022733785e7,2.290282224288262e8,2.7259961345853403e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,28149.828083471337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
