model,zone,planning_year,case,unit,value
USENSYS,BASN,2030,26z-short-current-policies_w10_h168_1680w,tons,34575357
USENSYS,BASN,2040,26z-short-current-policies_w10_h168_1680w,tons,29930999
USENSYS,BASN,2050,26z-short-current-policies_w10_h168_1680w,tons,27268965
USENSYS,CANO,2030,26z-short-current-policies_w10_h168_1680w,tons,17159224
USENSYS,CANO,2040,26z-short-current-policies_w10_h168_1680w,tons,21845695
USENSYS,CANO,2050,26z-short-current-policies_w10_h168_1680w,tons,28821713
USENSYS,CASO,2030,26z-short-current-policies_w10_h168_1680w,tons,23146520
USENSYS,CASO,2040,26z-short-current-policies_w10_h168_1680w,tons,43146145
USENSYS,CASO,2050,26z-short-current-policies_w10_h168_1680w,tons,56885772
USENSYS,FRCC,2030,26z-short-current-policies_w10_h168_1680w,tons,71221826
USENSYS,FRCC,2040,26z-short-current-policies_w10_h168_1680w,tons,80340795
USENSYS,FRCC,2050,26z-short-current-policies_w10_h168_1680w,tons,74642145
USENSYS,ISNE,2030,26z-short-current-policies_w10_h168_1680w,tons,17120000
USENSYS,ISNE,2040,26z-short-current-policies_w10_h168_1680w,tons,17120000
USENSYS,ISNE,2050,26z-short-current-policies_w10_h168_1680w,tons,17120000
USENSYS,MISC,2030,26z-short-current-policies_w10_h168_1680w,tons,108277453
USENSYS,MISC,2040,26z-short-current-policies_w10_h168_1680w,tons,91858696
USENSYS,MISC,2050,26z-short-current-policies_w10_h168_1680w,tons,72002345
USENSYS,MISE,2030,26z-short-current-policies_w10_h168_1680w,tons,39798323
USENSYS,MISE,2040,26z-short-current-policies_w10_h168_1680w,tons,29025283
USENSYS,MISE,2050,26z-short-current-policies_w10_h168_1680w,tons,33720717
USENSYS,MISS,2030,26z-short-current-policies_w10_h168_1680w,tons,71212805
USENSYS,MISS,2040,26z-short-current-policies_w10_h168_1680w,tons,88388986
USENSYS,MISS,2050,26z-short-current-policies_w10_h168_1680w,tons,55134003
USENSYS,MISW,2030,26z-short-current-policies_w10_h168_1680w,tons,105514543
USENSYS,MISW,2040,26z-short-current-policies_w10_h168_1680w,tons,98175480
USENSYS,MISW,2050,26z-short-current-policies_w10_h168_1680w,tons,69467627
USENSYS,NWPP,2030,26z-short-current-policies_w10_h168_1680w,tons,20781610
USENSYS,NWPP,2040,26z-short-current-policies_w10_h168_1680w,tons,27240214
USENSYS,NWPP,2050,26z-short-current-policies_w10_h168_1680w,tons,31730550
USENSYS,NYCW,2030,26z-short-current-policies_w10_h168_1680w,tons,11120000
USENSYS,NYCW,2040,26z-short-current-policies_w10_h168_1680w,tons,11120000
USENSYS,NYCW,2050,26z-short-current-policies_w10_h168_1680w,tons,11120000
USENSYS,NYUP,2030,26z-short-current-policies_w10_h168_1680w,tons,2984707
USENSYS,NYUP,2040,26z-short-current-policies_w10_h168_1680w,tons,8050000
USENSYS,NYUP,2050,26z-short-current-policies_w10_h168_1680w,tons,8050000
USENSYS,PJMC,2030,26z-short-current-policies_w10_h168_1680w,tons,13206890
USENSYS,PJMC,2040,26z-short-current-policies_w10_h168_1680w,tons,13852535
USENSYS,PJMC,2050,26z-short-current-policies_w10_h168_1680w,tons,16521339
USENSYS,PJMD,2030,26z-short-current-policies_w10_h168_1680w,tons,13502532
USENSYS,PJMD,2040,26z-short-current-policies_w10_h168_1680w,tons,14510000
USENSYS,PJMD,2050,26z-short-current-policies_w10_h168_1680w,tons,14510000
USENSYS,PJME,2030,26z-short-current-policies_w10_h168_1680w,tons,65580000
USENSYS,PJME,2040,26z-short-current-policies_w10_h168_1680w,tons,65580000
USENSYS,PJME,2050,26z-short-current-policies_w10_h168_1680w,tons,65580000
USENSYS,PJMW,2030,26z-short-current-policies_w10_h168_1680w,tons,163853806
USENSYS,PJMW,2040,26z-short-current-policies_w10_h168_1680w,tons,109386960
USENSYS,PJMW,2050,26z-short-current-policies_w10_h168_1680w,tons,105585563
USENSYS,RMRG,2030,26z-short-current-policies_w10_h168_1680w,tons,45116158
USENSYS,RMRG,2040,26z-short-current-policies_w10_h168_1680w,tons,31072066
USENSYS,RMRG,2050,26z-short-current-policies_w10_h168_1680w,tons,18425405
USENSYS,SPPC,2030,26z-short-current-policies_w10_h168_1680w,tons,50847738
USENSYS,SPPC,2040,26z-short-current-policies_w10_h168_1680w,tons,40823649
USENSYS,SPPC,2050,26z-short-current-policies_w10_h168_1680w,tons,17482508
USENSYS,SPPN,2030,26z-short-current-policies_w10_h168_1680w,tons,29328784
USENSYS,SPPN,2040,26z-short-current-policies_w10_h168_1680w,tons,28915339
USENSYS,SPPN,2050,26z-short-current-policies_w10_h168_1680w,tons,14936138
USENSYS,SPPS,2030,26z-short-current-policies_w10_h168_1680w,tons,36991794
USENSYS,SPPS,2040,26z-short-current-policies_w10_h168_1680w,tons,33448013
USENSYS,SPPS,2050,26z-short-current-policies_w10_h168_1680w,tons,22822335
USENSYS,SRCA,2030,26z-short-current-policies_w10_h168_1680w,tons,86489309
USENSYS,SRCA,2040,26z-short-current-policies_w10_h168_1680w,tons,59031918
USENSYS,SRCA,2050,26z-short-current-policies_w10_h168_1680w,tons,54212283
USENSYS,SRCE,2030,26z-short-current-policies_w10_h168_1680w,tons,74250878
USENSYS,SRCE,2040,26z-short-current-policies_w10_h168_1680w,tons,55114255
USENSYS,SRCE,2050,26z-short-current-policies_w10_h168_1680w,tons,48780520
USENSYS,SRSE,2030,26z-short-current-policies_w10_h168_1680w,tons,98484826
USENSYS,SRSE,2040,26z-short-current-policies_w10_h168_1680w,tons,90090371
USENSYS,SRSE,2050,26z-short-current-policies_w10_h168_1680w,tons,68351677
USENSYS,SRSG,2030,26z-short-current-policies_w10_h168_1680w,tons,46499387
USENSYS,SRSG,2040,26z-short-current-policies_w10_h168_1680w,tons,30965304
USENSYS,SRSG,2050,26z-short-current-policies_w10_h168_1680w,tons,33981893
USENSYS,TRE,2030,26z-short-current-policies_w10_h168_1680w,tons,110703529
USENSYS,TRE,2040,26z-short-current-policies_w10_h168_1680w,tons,118508793
USENSYS,TRE,2050,26z-short-current-policies_w10_h168_1680w,tons,89459749
USENSYS,TRE_WEST,2030,26z-short-current-policies_w10_h168_1680w,tons,2229419
