Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.6520062355183755e11,4.251691102936106e9,3.2644850732139177e9,7.72567887563973e9,9.867124836094862e9,8.35296245755521e9,7.42780415308133e9,3.89728359517156e9,6.797862560359483e9,9.504664735661333e9,6.218280814515999e9,5.09631384626029e9,3.857668842570837e9,4.456078282181408e9,3.1528034496360745e9,1.2313881944911444e10,1.1430819603482567e10,3.2618119199696264e9,2.710225267189882e9,1.8771762720811038e9,3.510354257882327e9,9.156453844841387e9,7.559648655240309e9,9.689326216987982e9,5.895292796098719e9,1.2451484736441322e10,1.4734454034935195e9
cFix,1.165822492178e11,3.8361398275e9,2.0291170476e9,3.9640715094e9,4.7278325263e9,7.5725955102e9,4.914349439700001e9,2.5062627434e9,3.3316118611e9,6.459935453e9,5.6154398565e9,4.175053761e9,4.4002819602e9,3.0704216826000004e9,3.3147983231e9,7.5768904599e9,7.3089285454e9,3.2692096856000004e9,2.1304682078999999e9,1.3514789893e9,2.9648098899999995e9,5.8422071991e9,5.8299343739e9,5.250904732e9,4.1773275191000004e9,9.903564398e9,1.0586137160000001e9
cVar,-1.4612156064315365e10,-9.554705783368274e8,-3.5140621605049646e8,-1.949305030514641e8,-4.001224881286603e8,-9.97400246093316e8,-6.596499987213688e8,-2.5882156514583817e8,-2.8528097886494067e7,-7.127283726919562e8,-9.343155094522034e8,1.308246881957471e8,-9.65809235206853e8,6.3079892086001426e7,-6.848552573312864e8,-2.0050689969042516e8,-8.886628939052408e8,-9.159979638385967e8,-3.0911652380849844e8,-9.713271259164116e7,-6.69151669294624e8,-1.8576543303883278e8,-9.238498101311738e8,-3.0838631529231995e8,-5.877594831858789e8,-2.6259622737072473e9,5.026940198393011e7
cFuel,6.1813161437430214e10,1.3366337769718347e9,1.552090898942424e9,3.9176524259078126e9,5.453705062112773e9,1.4529551782486281e9,3.1522524042289243e9,1.6298070540116546e9,3.4728874783815827e9,3.715675752069196e9,1.5155452029078138e9,7.747671173366168e8,4.0698760851654696e8,1.3033342200599463e9,5.0124341938446695e8,4.889354338424924e9,4.985466787756658e9,8.841511860036653e8,8.704519085304959e8,6.13578516320926e8,1.1598067696726458e9,3.422662309371841e9,2.618560464314431e9,4.679665729680999e9,2.239694919308268e9,4.913474746701499e9,3.50756162257738e8
cNSE,2.862286135760505e8,17109.100364748505,17101.00391281475,17836.230549189066,17742.245403401586,2.811662676435322e8,17298.234161787088,17185.397839012712,17454.62205307491,17540.478330832077,17383.94446662329,17491.36005792228,17166.5321707467,17220.254828336845,17290.60946492413,17801.804900085783,17571.857470033294,16917.46152379401,16833.128037810653,16685.687250233877,17076.28204556072,4.646413021960835e6,17553.0552850139,17672.81191636067,17207.52167611652,18086.597671034426,16706.68917871088
cStart,1.1311403390135155e9,3.437096770073453e7,3.466624171807684e7,3.886760715283333e7,8.569199356534591e7,4.364574755636454e7,2.08350096396135e7,2.0018177507904008e7,2.187386414234069e7,4.176436280576229e7,2.159388061592139e7,1.5650788367867664e7,1.619134252897226e7,1.9225267180631883e7,2.1599673873429213e7,4.812624447204355e7,2.506959237368257e7,2.44320947430337e7,1.8404841439846635e7,9.23479336456891e6,5.4872191222260036e7,7.270335638641559e7,3.498607410176552e7,6.71243977873855e7,6.601263335465301e7,2.6038977884939918e8,1.3789416562672712e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,8.299112206635478,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
