Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,750045.1531255274,936.0,0.0
BASN_biomass_1,1,87360.0,10.0,1.0
BASN_biomass_2,1,61152.0,7.0,1.0
BASN_conventional_hydroelectric_1,1,5.168433179524289e6,1478.0,0.4002873323026713
BASN_conventional_steam_coal_1,1,394366.2940779692,51.0,0.8851502327039099
BASN_conventional_steam_coal_2,1,5.315690299635705e6,677.0,0.8987902990656677
BASN_geothermal_1,1,444076.55897588184,56.0,0.9077310614858913
BASN_natural_gas_fired_combined_cycle_1,1,48945.23833808508,433.0,0.012939274488957346
BASN_natural_gas_fired_combined_cycle_2,1,5.493439069406047e6,7114.0,0.08839299020295274
BASN_natural_gas_fired_combustion_turbine_1,1,30017.661349299342,1461.0,0.0023518737910097317
BASN_natural_gas_fired_combustion_turbine_2,1,4899.782165668523,236.0,0.002376578392579955
BASN_natural_gas_internal_combustion_engine_1,1,106773.45992246081,204.0,0.05991292506243087
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,981461.893850526,520.0,0.21605159328563636
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.2492479999999998e6,143.0,0.9999999999999998
BASN_solar_photovoltaic_1,1,8.728753302157136e6,4274.0,0.23377877368431876
CANO_batteries_1,2,3.5967478445005766e6,2679.0,0.0
CANO_biomass_1,2,262080.0,30.0,1.0
CANO_biomass_2,2,235872.0,27.0,1.0
CANO_conventional_hydroelectric_1,2,1.531122167152224e7,5620.0,0.31186088227228104
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,4.695186633264434e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,724166.0976829123,2492.0,0.033264233903937304
CANO_natural_gas_fired_combined_cycle_2,2,1.5861135050248709e7,8297.0,0.2188268191381554
CANO_natural_gas_fired_combustion_turbine_1,2,14756.377830966901,1945.0,0.0008684554313543992
CANO_natural_gas_fired_combustion_turbine_2,2,22762.718934195,1004.0,0.0025952416221326916
CANO_natural_gas_internal_combustion_engine_1,2,230250.85428818702,434.0,0.06072938671279895
CANO_natural_gas_steam_turbine_1,2,9726.934925689715,3.0,0.37114373190208005
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,105205.45471885116,62.0,0.19423788609028117
