model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2030,base-short-multiperiod,MW,771.651
GenX,2,BASN_to_CASO,2030,base-short-multiperiod,MW,125.136
GenX,3,BASN_to_NWPP,2030,base-short-multiperiod,MW,40.6837
GenX,4,BASN_to_RMRG,2030,base-short-multiperiod,MW,792.521
GenX,5,BASN_to_SRSG,2030,base-short-multiperiod,MW,0.0134892
GenX,6,CANO_to_CASO,2030,base-short-multiperiod,MW,111.218
GenX,7,CANO_to_NWPP,2030,base-short-multiperiod,MW,1075.01
GenX,8,CASO_to_NWPP,2030,base-short-multiperiod,MW,7.78975
GenX,9,CASO_to_SRSG,2030,base-short-multiperiod,MW,7291.74
GenX,10,FRCC_to_SRSE,2030,base-short-multiperiod,MW,6227.16
GenX,11,ISNE_to_NYCW,2030,base-short-multiperiod,MW,1166.78
GenX,12,ISNE_to_NYUP,2030,base-short-multiperiod,MW,4082.7
GenX,13,MISC_to_MISE,2030,base-short-multiperiod,MW,3797.96
GenX,14,MISC_to_MISS,2030,base-short-multiperiod,MW,20.5599
GenX,15,MISC_to_MISW,2030,base-short-multiperiod,MW,13.9543
GenX,16,MISC_to_PJMC,2030,base-short-multiperiod,MW,5.5977
GenX,17,MISC_to_PJMW,2030,base-short-multiperiod,MW,22023.2
GenX,18,MISC_to_SPPC,2030,base-short-multiperiod,MW,14274
GenX,19,MISC_to_SPPN,2030,base-short-multiperiod,MW,9973.4
GenX,20,MISC_to_SPPS,2030,base-short-multiperiod,MW,11699.2
GenX,21,MISC_to_SRCE,2030,base-short-multiperiod,MW,0.222971
GenX,22,MISE_to_MISW,2030,base-short-multiperiod,MW,5859.47
GenX,23,MISE_to_PJMW,2030,base-short-multiperiod,MW,18.9419
GenX,24,MISS_to_SPPC,2030,base-short-multiperiod,MW,9969.74
GenX,25,MISS_to_SPPS,2030,base-short-multiperiod,MW,16961.5
GenX,26,MISS_to_SRCE,2030,base-short-multiperiod,MW,6.55396
GenX,27,MISS_to_SRSE,2030,base-short-multiperiod,MW,9980.73
GenX,28,MISW_to_NWPP,2030,base-short-multiperiod,MW,128.029
GenX,29,MISW_to_PJMC,2030,base-short-multiperiod,MW,11128.7
GenX,30,MISW_to_SPPC,2030,base-short-multiperiod,MW,6930.16
GenX,31,MISW_to_SPPN,2030,base-short-multiperiod,MW,1666.86
GenX,32,NWPP_to_RMRG,2030,base-short-multiperiod,MW,3442.75
GenX,33,NYCW_to_NYUP,2030,base-short-multiperiod,MW,11.5887
