model,line_name,planning_year,case,unit,value
SWITCH,BASN_to_NWPP,2030,base_short,MW,0.0
SWITCH,BASN_to_NWPP,2040,base_short,MW,0.0
SWITCH,BASN_to_NWPP,2050,base_short,MW,0.0
SWITCH,BASN_to_CANO,2030,base_short,MW,0.0
SWITCH,BASN_to_CANO,2040,base_short,MW,0.0
SWITCH,BASN_to_CANO,2050,base_short,MW,0.0
SWITCH,BASN_to_SRSG,2030,base_short,MW,0.0
SWITCH,BASN_to_SRSG,2040,base_short,MW,0.0
SWITCH,BASN_to_SRSG,2050,base_short,MW,0.0
SWITCH,BASN_to_CASO,2030,base_short,MW,0.0
SWITCH,BASN_to_CASO,2040,base_short,MW,0.0
SWITCH,BASN_to_CASO,2050,base_short,MW,0.0
SWITCH,NWPP_to_SPPN,2030,base_short,MW,71.72761024527182
SWITCH,NWPP_to_SPPN,2040,base_short,MW,0.0
SWITCH,NWPP_to_SPPN,2050,base_short,MW,0.0
SWITCH,NWPP_to_CANO,2030,base_short,MW,1411.8648924252948
SWITCH,NWPP_to_CANO,2040,base_short,MW,856.1068109468697
SWITCH,NWPP_to_CANO,2050,base_short,MW,0.0
SWITCH,NWPP_to_CASO,2030,base_short,MW,3244.7321362161547
SWITCH,NWPP_to_CASO,2040,base_short,MW,0.0
SWITCH,NWPP_to_CASO,2050,base_short,MW,0.0
SWITCH,NWPP_to_MISW,2030,base_short,MW,0.0
SWITCH,NWPP_to_MISW,2040,base_short,MW,0.0
SWITCH,NWPP_to_MISW,2050,base_short,MW,0.0
SWITCH,NYCW_to_ISNE,2030,base_short,MW,0.0
SWITCH,NYCW_to_ISNE,2040,base_short,MW,0.0
SWITCH,NYCW_to_ISNE,2050,base_short,MW,0.0
SWITCH,NYUP_to_NYCW,2030,base_short,MW,0.0
SWITCH,NYUP_to_NYCW,2040,base_short,MW,990.3398376846189
SWITCH,NYUP_to_NYCW,2050,base_short,MW,399.12245029117094
SWITCH,NYUP_to_ISNE,2030,base_short,MW,627.7607148286163
SWITCH,NYUP_to_ISNE,2040,base_short,MW,4971.416445636315
SWITCH,NYUP_to_ISNE,2050,base_short,MW,0.0
SWITCH,PJMC_to_PJMW,2030,base_short,MW,2393.190995654365
SWITCH,PJMC_to_PJMW,2040,base_short,MW,4066.314693256426
SWITCH,PJMC_to_PJMW,2050,base_short,MW,95.00530778118627
SWITCH,PJMC_to_MISC,2030,base_short,MW,0.0
SWITCH,PJMC_to_MISC,2040,base_short,MW,0.0
SWITCH,PJMC_to_MISC,2050,base_short,MW,51.3032963642645
SWITCH,PJMD_to_PJME,2030,base_short,MW,3999.1707376489812
SWITCH,PJMD_to_PJME,2040,base_short,MW,5847.548300302935
SWITCH,PJMD_to_PJME,2050,base_short,MW,5116.410784081716
SWITCH,PJMD_to_PJMW,2030,base_short,MW,0.0
SWITCH,PJMD_to_PJMW,2040,base_short,MW,0.0
SWITCH,PJMD_to_PJMW,2050,base_short,MW,0.0
SWITCH,PJME_to_NYCW,2030,base_short,MW,6975.287752655887
SWITCH,PJME_to_NYCW,2040,base_short,MW,4405.062577485364
SWITCH,PJME_to_NYCW,2050,base_short,MW,1601.7851386402508
SWITCH,PJME_to_NYUP,2030,base_short,MW,385.3610493536803
SWITCH,PJME_to_NYUP,2040,base_short,MW,5712.692002558564
SWITCH,PJME_to_NYUP,2050,base_short,MW,68.987180319672
SWITCH,PJMW_to_PJME,2030,base_short,MW,2385.0991345562743
SWITCH,PJMW_to_PJME,2040,base_short,MW,13747.501509303713
SWITCH,PJMW_to_PJME,2050,base_short,MW,5352.1240448478275
SWITCH,PJMW_to_SRCE,2030,base_short,MW,0.0
SWITCH,PJMW_to_SRCE,2040,base_short,MW,0.0
SWITCH,PJMW_to_SRCE,2050,base_short,MW,47.651993067067906
SWITCH,RMRG_to_BASN,2030,base_short,MW,0.0
SWITCH,RMRG_to_BASN,2040,base_short,MW,194.73222869718302
SWITCH,RMRG_to_BASN,2050,base_short,MW,0.0
SWITCH,RMRG_to_NWPP,2030,base_short,MW,5355.794360168917
SWITCH,RMRG_to_NWPP,2040,base_short,MW,104.34240768798463
SWITCH,RMRG_to_NWPP,2050,base_short,MW,480.5828101183124
SWITCH,RMRG_to_SPPC,2030,base_short,MW,8472.479190717757
SWITCH,RMRG_to_SPPC,2040,base_short,MW,2174.2735972202536
SWITCH,RMRG_to_SPPC,2050,base_short,MW,0.0
SWITCH,RMRG_to_SPPN,2030,base_short,MW,2933.1636611126473
SWITCH,RMRG_to_SPPN,2040,base_short,MW,757.4746030041783
SWITCH,RMRG_to_SPPN,2050,base_short,MW,0.0
SWITCH,RMRG_to_SRSG,2030,base_short,MW,3501.7200375308967
SWITCH,RMRG_to_SRSG,2040,base_short,MW,3447.9773488568153
SWITCH,RMRG_to_SRSG,2050,base_short,MW,1451.8316794960065
SWITCH,SPPC_to_SPPS,2030,base_short,MW,560.9848099834189
SWITCH,SPPC_to_SPPS,2040,base_short,MW,2846.2860420180887
SWITCH,SPPC_to_SPPS,2050,base_short,MW,1351.5676455914836
SWITCH,SPPC_to_MISS,2030,base_short,MW,140.13735321890556
SWITCH,SPPC_to_MISS,2040,base_short,MW,0.0
SWITCH,SPPC_to_MISS,2050,base_short,MW,321.14699971344464
SWITCH,SPPN_to_SPPC,2030,base_short,MW,782.7096728494935
SWITCH,SPPN_to_SPPC,2040,base_short,MW,0.0
SWITCH,SPPN_to_SPPC,2050,base_short,MW,0.0
SWITCH,SPPN_to_SPPS,2030,base_short,MW,5810.299744599216
SWITCH,SPPN_to_SPPS,2040,base_short,MW,0.0
SWITCH,SPPN_to_SPPS,2050,base_short,MW,100.85716309959298
SWITCH,CANO_to_CASO,2030,base_short,MW,0.0
SWITCH,CANO_to_CASO,2040,base_short,MW,0.0
SWITCH,CANO_to_CASO,2050,base_short,MW,0.0
SWITCH,SPPS_to_SRSG,2030,base_short,MW,1654.6499131733244
SWITCH,SPPS_to_SRSG,2040,base_short,MW,2513.7877075542656
SWITCH,SPPS_to_SRSG,2050,base_short,MW,223.22563452783834
SWITCH,SPPS_to_MISS,2030,base_short,MW,20356.244241334218
SWITCH,SPPS_to_MISS,2040,base_short,MW,17987.99735855166
SWITCH,SPPS_to_MISS,2050,base_short,MW,2358.8849185567597
SWITCH,SRCA_to_PJMD,2030,base_short,MW,0.0
SWITCH,SRCA_to_PJMD,2040,base_short,MW,0.0
SWITCH,SRCA_to_PJMD,2050,base_short,MW,865.1927019758452
SWITCH,SRCA_to_PJMW,2030,base_short,MW,0.0
SWITCH,SRCA_to_PJMW,2040,base_short,MW,0.0
SWITCH,SRCA_to_PJMW,2050,base_short,MW,0.0
SWITCH,SRCA_to_SRCE,2030,base_short,MW,0.0
SWITCH,SRCA_to_SRCE,2040,base_short,MW,0.0
SWITCH,SRCA_to_SRCE,2050,base_short,MW,1037.7135702903624
SWITCH,SRSE_to_SRCA,2030,base_short,MW,0.0
SWITCH,SRSE_to_SRCA,2040,base_short,MW,0.0
SWITCH,SRSE_to_SRCA,2050,base_short,MW,0.0
SWITCH,SRSE_to_SRCE,2030,base_short,MW,0.0
SWITCH,SRSE_to_SRCE,2040,base_short,MW,0.0
SWITCH,SRSE_to_SRCE,2050,base_short,MW,0.0
SWITCH,SRSG_to_TRE,2030,base_short,MW,8314.472278165218
SWITCH,SRSG_to_TRE,2040,base_short,MW,774.361364364182
SWITCH,SRSG_to_TRE,2050,base_short,MW,966.2782640754685
SWITCH,TRE_to_SPPS,2030,base_short,MW,9742.126453342897
SWITCH,TRE_to_SPPS,2040,base_short,MW,8108.002089401003
SWITCH,TRE_to_SPPS,2050,base_short,MW,4325.810988254481
SWITCH,TRE_to_TRE_WEST,2030,base_short,MW,0.0
SWITCH,TRE_to_TRE_WEST,2040,base_short,MW,0.0
SWITCH,TRE_to_TRE_WEST,2050,base_short,MW,0.0
SWITCH,TRE_WEST_to_SPPS,2030,base_short,MW,11569.522006848874
SWITCH,TRE_WEST_to_SPPS,2040,base_short,MW,1058.9756231012743
SWITCH,TRE_WEST_to_SPPS,2050,base_short,MW,475.4366222497065
SWITCH,CASO_to_SRSG,2030,base_short,MW,1598.2611394347805
SWITCH,CASO_to_SRSG,2040,base_short,MW,3564.4492774015816
SWITCH,CASO_to_SRSG,2050,base_short,MW,208.56100203704773
SWITCH,FRCC_to_SRSE,2030,base_short,MW,0.0
SWITCH,FRCC_to_SRSE,2040,base_short,MW,497.8215456598218
SWITCH,FRCC_to_SRSE,2050,base_short,MW,1477.02897770021
SWITCH,MISC_to_PJMW,2030,base_short,MW,0.0
SWITCH,MISC_to_PJMW,2040,base_short,MW,7704.628976328509
SWITCH,MISC_to_PJMW,2050,base_short,MW,1060.4749442368338
SWITCH,MISC_to_SPPC,2030,base_short,MW,4697.563231615705
SWITCH,MISC_to_SPPC,2040,base_short,MW,6904.985864410898
SWITCH,MISC_to_SPPC,2050,base_short,MW,0.0
SWITCH,MISC_to_SPPN,2030,base_short,MW,1203.8173822658405
SWITCH,MISC_to_SPPN,2040,base_short,MW,0.0
SWITCH,MISC_to_SPPN,2050,base_short,MW,0.0
SWITCH,MISC_to_SPPS,2030,base_short,MW,3609.5726311889002
SWITCH,MISC_to_SPPS,2040,base_short,MW,10715.984445765396
SWITCH,MISC_to_SPPS,2050,base_short,MW,1219.0795534748777
SWITCH,MISC_to_SRCE,2030,base_short,MW,0.0
