Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.8336619654002432e11,4.558500505426366e9,2.8079802857471623e9,2.5498067099980297e9,1.3150954204211302e10,5.787219898114883e9,5.933570291905563e9,4.1891345360847282e9,4.872048395534868e9,8.78609243023504e9,5.393697955328722e9,4.165530098607058e8,3.828588277086139e9,3.8284349557646403e9,4.683584603569302e9,1.0029620230115206e10,2.179030204623003e10,7.693215586217071e9,4.0315113967583833e9,3.6304615701517506e9,7.71382012452532e9,1.0760743535848835e10,9.163519320744751e9,1.0104536140984503e10,3.2701887873829327e9,1.3104045473831532e10,4.277953369889894e9
cFix,1.3515306813654001e11,4.314549961750001e9,2.17285244548e9,1.8565189258299997e9,7.80729101575e9,4.38833613509e9,5.43329337924e9,3.11999402284e9,3.1536271216399994e9,7.15572087507e9,5.20460846651e9,9.042919900000001e7,3.25845178603e9,2.50344466008e9,3.77192321423e9,6.17603245274e9,1.386871218977e10,7.67667471366e9,3.8879718673999996e9,3.55835234462e9,7.21333509314e9,7.566644728669998e9,6.926153968750001e9,6.11327029086e9,2.73826952169e9,1.1158420441e10,4.0381893156999993e9
cVar,8.205974468896138e9,2.358180411096925e7,6.974410995087631e7,7.018390574626862e7,1.1399063020487354e9,1.8026368372905603e8,9.015265778647025e7,2.4000341535731646e8,2.6570248683456987e8,3.088420760623005e8,3.8023119498067655e7,4.0085397035656154e7,1.119232229298208e8,2.919709153262192e8,1.439375817477983e8,6.319954389613819e8,2.0852016941051483e9,1.3522871623025187e6,3.0688070328942146e7,1.6849049155791316e7,5.7887956582954824e7,7.210239518461766e8,4.772939632737132e8,7.706165234187385e8,1.029285894353965e8,2.6696566066344076e8,2.8850605798129447e7
cFuel,2.8907341023642273e10,1.8725630677905896e8,4.954041915802863e8,5.514573784283506e8,3.6385401401096587e9,9.180174199607575e8,3.7729981511567396e8,7.24174571457277e8,1.2990355280103617e9,1.1149875174679189e9,1.3937262563816229e8,2.3530151341993383e8,3.966954877654995e8,9.674902481937752e8,6.64809316642921e8,2.739492062335216e9,5.146603557871333e9,1.0987159135901064e7,1.0273711849538955e8,5.0456950780285835e7,3.8677388387629426e8,2.2440902031986976e9,1.5958248226792529e9,2.851128976809016e9,3.926390972180039e8,1.489167823119728e9,1.8759730755413002e8
cNSE,1.1672226985558474e8,26547.852409826963,26719.004417930537,27041.268662051734,27387.957026397828,1.160494589484689e8,27011.50706004759,27029.94570610698,26856.84849032786,26935.576323123394,27097.66500522941,27056.636283202726,26887.289290068784,26921.85481276631,27008.404441910745,27471.61533804559,27088.83203020437,26434.381633753786,26616.38106045696,26551.486688317364,26785.995529269378,27192.70562110078,27040.329143469953,27120.383908663305,26283.661416269537,27440.1399955245,26283.184821340525
cStart,3.972977742612791e9,3.3085884933927383e7,6.995281973158158e7,7.161945872474901e7,5.651893583458796e8,1.8455320038660017e8,3.279742825636041e7,1.0493549648442787e8,1.536564022014464e8,2.065150260584992e8,1.1666646017486045e7,5.070984376883262e7,6.149089307152804e7,6.550221030983407e7,1.0288748254413968e8,4.820728044632707e8,6.897575156515188e8,4.174991877233315e6,1.0087724152991358e7,4.776674108985578e6,5.5796404930541836e7,2.28957459428341e8,1.6421952571264246e8,3.6949322951283795e8,3.632529537811614e7,1.8946410890836683e8,2.3289857652813043e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,7.010112898452367e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
