Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,151919.0399999998,17.39,0.9999999999999988
BASN_biomass_2,1,0.0,0.0,0.0
BASN_conventional_hydroelectric_1,1,5.30779082860917e6,1756.06,0.3459886273755709
BASN_conventional_steam_coal_1,1,224.967720875882,51.0,0.0005049372460943268
BASN_conventional_steam_coal_2,1,289.0616053947045,2019.8,1.6382094133616602e-5
BASN_geothermal_1,1,2.7250655158956572e6,344.77,0.9047630455313288
BASN_natural_gas_fired_combined_cycle_1,1,64980.15910111821,428.67,0.01735182080694042
BASN_natural_gas_fired_combined_cycle_2,1,6.568321190245501e6,7042.77,0.10675746447976901
BASN_natural_gas_fired_combustion_turbine_1,1,66291.64152354404,1883.88,0.004028032002557015
BASN_natural_gas_fired_combustion_turbine_2,1,8546.293661058506,233.84,0.004183563679433893
BASN_natural_gas_internal_combustion_engine_1,1,40225.42425794712,219.17,0.021009073493569022
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,2.4986452942166403e6,1454.0,0.19671051550168542
BASN_petroleum_liquids_1,1,61.075250853817415,25.8,0.00027097731055765597
BASN_small_hydroelectric_1,1,1.5544838399999721e6,177.94,0.9999999999999821
BASN_solar_photovoltaic_1,1,1.5341945842575995e7,7922.67,0.22166455492182435
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,650220.4799999982,74.43,0.9999999999999973
CANO_biomass_2,2,0.0,0.0,0.0
CANO_conventional_hydroelectric_1,2,1.693763215052765e7,6835.44,0.2836439964453248
CANO_hydroelectric_pumped_storage_1,2,5.742107808993234e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,1.2939479329010486e6,3081.67,0.048063793514885586
CANO_natural_gas_fired_combined_cycle_2,2,1.9767154008886747e7,8213.93,0.2754739416063234
CANO_natural_gas_fired_combustion_turbine_1,2,59698.458049316345,1974.96,0.0034601281562398143
CANO_natural_gas_fired_combustion_turbine_2,2,49174.5180559614,1494.88,0.0037654870241554997
CANO_natural_gas_internal_combustion_engine_1,2,79438.60431424061,439.94,0.020669288609452566
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,1.2538353547186223e6,698.0,0.20562336573861975
CANO_petroleum_liquids_1,2,120.97147808965519,167.91,8.246958328892233e-5
CANO_small_hydroelectric_1,2,1.94428416000004e6,222.56,1.0000000000000207
CANO_solar_photovoltaic_1,2,1.1930550531133227e7,6284.94,0.21729349393744862
CASO_batteries_1,3,0.0,0.0,0.0
CASO_biomass_1,3,864864.0,99.0,1.0
CASO_biomass_2,3,118809.60000000184,13.6,1.0000000000000153
CASO_conventional_hydroelectric_1,3,2.1091508136816e6,945.46,0.2553594003296959
CASO_geothermal_1,3,177548.8080733416,23.73,0.8564606172758437
CASO_hydroelectric_pumped_storage_1,3,4.639856024610656e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,498797.1302482996,1965.06,0.029055978494219592
CASO_natural_gas_fired_combined_cycle_2,3,1.6029204196070042e7,7383.52,0.24850542866596084
CASO_natural_gas_fired_combustion_turbine_1,3,60703.38041549364,1440.16,0.004824913221852477
CASO_natural_gas_fired_combustion_turbine_2,3,610471.4178211462,3915.05,0.017849061950341458
CASO_natural_gas_internal_combustion_engine_1,3,45687.976178457895,50.2,0.10418029388503197
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.1025934359952882e7,3464.4,0.36431306601202007
CASO_petroleum_liquids_1,3,112.56464855630088,14.1,0.0009138402481969196
CASO_small_hydroelectric_1,3,584525.7600000111,66.91,1.0000000000000189
CASO_solar_photovoltaic_1,3,2.9934101788179807e7,13760.2,0.24901692130843647
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,474714.2399999994,54.34,0.9999999999999988
FRCC_biomass_2,4,0.0,0.0,0.0
FRCC_conventional_hydroelectric_1,4,111677.37933421247,43.5,0.2938754666493318
FRCC_conventional_steam_coal_1,4,299.918544616861,2497.77,1.3744794450828759e-5
FRCC_conventional_steam_coal_2,4,238.1592310664731,437.58,6.230133174038367e-5
FRCC_natural_gas_fired_combined_cycle_1,4,1289.5386196662234,2289.57,6.447150402998794e-5
FRCC_natural_gas_fired_combined_cycle_2,4,2.9181376322712548e7,28449.6,0.11741321534571711
FRCC_natural_gas_fired_combustion_turbine_1,4,416.124950142543,8363.94,5.69508515364526e-6
FRCC_natural_gas_fired_combustion_turbine_2,4,409.58292085140334,232.35,0.00020178391158037846
FRCC_natural_gas_internal_combustion_engine_1,4,71522.26514842387,260.27,0.03145607436808361
FRCC_natural_gas_steam_turbine_1,4,415.0958606013249,331.65,0.00014327016978368679
FRCC_nuclear_1,4,2.9807755988090802e7,3737.0,0.9130478941187448
FRCC_petroleum_liquids_1,4,104.3189115854856,148.2,8.057535325113636e-5
FRCC_solar_photovoltaic_1,4,1.543636582748023e7,9413.74,0.18770257812491586
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,680971.1999999889,77.95,0.9999999999999836
ISNE_biomass_2,5,0.0,0.0,0.0
ISNE_conventional_hydroelectric_1,5,1.6866626286728482e6,516.11,0.37408760893269055
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.268131263086634e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.8810551052021408e6,3158.8,0.06816583572744378
ISNE_natural_gas_fired_combined_cycle_2,5,1.6127911880247513e7,10499.0,0.17583996182358716
ISNE_natural_gas_fired_combustion_turbine_1,5,118826.0931895621,409.51,0.03321503249415312
ISNE_natural_gas_fired_combustion_turbine_2,5,406725.4749829397,1315.9,0.035380654511632074
ISNE_natural_gas_internal_combustion_engine_1,5,30921.349626015577,57.39,0.06167506150086687
ISNE_natural_gas_steam_turbine_1,5,12548.653737044013,21.3,0.06743803492452587
ISNE_nuclear_1,5,2.580539952239468e7,3348.1,0.8822659957868333
