Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.040505019070399e11,9.657604556485077e9,7.770236326081993e9,6.360661459295089e9,1.6768543011280287e10,1.1007459774397575e10,1.097957570747005e10,5.852461974348524e9,4.891754009409427e9,1.5170228144852295e10,1.0862711565030098e10,4.988892736881082e8,5.235815762994682e9,5.140484023362306e9,7.976809784588442e9,1.0531364608341753e10,2.8294000043046062e10,1.1748459106053522e10,4.067274197393192e9,4.3326192410077505e9,1.521373170024682e10,1.4626967953966185e10,1.3113123055014837e10,1.2946671675449697e10,7.359175426997826e9,2.2384195304272144e10,12472.002304361591
cFix,2.1899425273880978e11,9.069937370449999e9,5.805287513389999e9,5.20522256568e9,1.195242034571e10,9.48982655193e9,8.605780041349998e9,4.614224427919999e9,3.54353037196e9,1.2808657015529999e10,9.738983005210001e9,3.3120480147e8,4.81814107106e9,4.046189877180001e9,7.410438268440001e9,7.72400874488e9,1.955418341193e10,1.163290781728e10,3.93273955858e9,4.2482130008699994e9,1.4901257268460001e10,1.110044706378e10,1.0970241394100002e10,9.65976381119e9,6.626689496500001e9,2.120395794396e10,0.0
cVar,1.0388901512432314e10,5.216159052138903e7,3.559783657232629e8,1.8618972776650405e8,1.0555236998061626e9,1.949474725549196e8,7.469516730216262e8,3.7676894325754344e8,2.2772552907171327e8,6.953206392236406e8,2.044499120080487e8,2.5969781356940985e7,8.511098926374884e7,2.5574048297209427e8,1.1792282546878326e8,5.527392581716064e8,2.7604140197873836e9,7.327703746660792e6,2.8316903973981872e7,1.8960801382218875e7,3.9704025899388544e7,8.810094491653421e8,5.22622745936122e8,6.78453475427308e8,1.2764784882734327e8,1.909436480979237e8,0.0
cFuel,3.267263406044017e10,3.9649631479313374e8,1.6089527549282084e9,9.630117133948493e8,3.7605718951194496e9,1.1143624145050125e9,1.6268213576469812e9,8.614530630035619e8,1.1204741400743911e9,1.5908297144003134e9,6.601652399382621e8,1.3909158319050214e8,3.3254977321863157e8,8.38537855005607e8,4.484328818787665e8,2.254571948673549e9,5.97937321630407e9,6.4339930679112114e7,1.0620127059504679e8,6.543113835936947e7,2.727539702831821e8,2.6454857591689034e9,1.6202341645989368e9,2.6084226047515326e9,6.048153919282761e8,9.892539639965634e8,0.0
cNSE,7.350418453981847e8,1.3900928072055396e8,17692.040521924144,6.237452453734476e6,27070.644675316966,2.0832333540764403e8,22635.45144465913,15540.16741948713,23968.30332198408,7.542077569834116e7,2.5911340787378877e8,2.623107670665137e6,13929.452302057301,15808.204603753182,15808.800892653164,44656.61659677927,29395.024613699454,4.3883654347747594e7,16464.244163261224,14300.396162282586,16435.604248823845,25681.85193811314,24750.379777998576,31784.08085655828,22689.742206167663,39748.21766485642,12472.002304361591
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,4.125967174992096e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
