model,zone,planning_year,case,unit,value
TEMOA,BASN,2030,base_short_200_foresight,tons,3.17113e+06
TEMOA,BASN,2040,base_short_200_foresight,tons,1.05707e+06
TEMOA,BASN,2050,base_short_200_foresight,tons,1.49506e+06
TEMOA,CANO,2030,base_short_200_foresight,tons,3.40273e+06
TEMOA,CANO,2040,base_short_200_foresight,tons,4.55508e+06
TEMOA,CANO,2050,base_short_200_foresight,tons,4.97875e+06
TEMOA,CASO,2030,base_short_200_foresight,tons,401035
TEMOA,CASO,2040,base_short_200_foresight,tons,1.22734e+06
TEMOA,CASO,2050,base_short_200_foresight,tons,1.99059e+06
TEMOA,FRCC,2030,base_short_200_foresight,tons,1.41489e+07
TEMOA,FRCC,2040,base_short_200_foresight,tons,5.91137e+06
TEMOA,FRCC,2050,base_short_200_foresight,tons,9.88143e+06
TEMOA,ISNE,2030,base_short_200_foresight,tons,7.59937e+06
TEMOA,ISNE,2040,base_short_200_foresight,tons,5.71134e+06
TEMOA,ISNE,2050,base_short_200_foresight,tons,1.09632e+07
TEMOA,MISC,2030,base_short_200_foresight,tons,2.64399e+06
TEMOA,MISC,2040,base_short_200_foresight,tons,2.17503e+06
TEMOA,MISC,2050,base_short_200_foresight,tons,4.24639e+06
TEMOA,MISE,2030,base_short_200_foresight,tons,2.31486e+06
TEMOA,MISE,2040,base_short_200_foresight,tons,2.11753e+06
TEMOA,MISE,2050,base_short_200_foresight,tons,2.22912e+06
TEMOA,MISS,2030,base_short_200_foresight,tons,1.66819e+07
TEMOA,MISS,2040,base_short_200_foresight,tons,6.67583e+06
TEMOA,MISS,2050,base_short_200_foresight,tons,7.30683e+06
TEMOA,MISW,2030,base_short_200_foresight,tons,8.81064e+06
TEMOA,MISW,2040,base_short_200_foresight,tons,5.71771e+06
TEMOA,MISW,2050,base_short_200_foresight,tons,6.93568e+06
TEMOA,NWPP,2030,base_short_200_foresight,tons,526335
TEMOA,NWPP,2040,base_short_200_foresight,tons,1.21507e+06
TEMOA,NWPP,2050,base_short_200_foresight,tons,1.54198e+06
TEMOA,NYCW,2030,base_short_200_foresight,tons,1.15647e+06
TEMOA,NYCW,2040,base_short_200_foresight,tons,1.14565e+06
TEMOA,NYCW,2050,base_short_200_foresight,tons,1.3013e+06
TEMOA,NYUP,2030,base_short_200_foresight,tons,1.00829e+07
TEMOA,NYUP,2040,base_short_200_foresight,tons,6.36934e+06
TEMOA,NYUP,2050,base_short_200_foresight,tons,4.9427e+06
TEMOA,PJMC,2030,base_short_200_foresight,tons,7.60603e+06
TEMOA,PJMC,2040,base_short_200_foresight,tons,5.05089e+06
TEMOA,PJMC,2050,base_short_200_foresight,tons,4.62022e+06
TEMOA,PJMD,2030,base_short_200_foresight,tons,3.39997e+06
TEMOA,PJMD,2040,base_short_200_foresight,tons,2.03772e+06
TEMOA,PJMD,2050,base_short_200_foresight,tons,2.62919e+06
TEMOA,PJME,2030,base_short_200_foresight,tons,2.68442e+07
TEMOA,PJME,2040,base_short_200_foresight,tons,2.18947e+07
TEMOA,PJME,2050,base_short_200_foresight,tons,1.81113e+07
TEMOA,PJMW,2030,base_short_200_foresight,tons,3.15412e+07
TEMOA,PJMW,2040,base_short_200_foresight,tons,2.30388e+07
TEMOA,PJMW,2050,base_short_200_foresight,tons,2.25726e+07
TEMOA,RMRG,2030,base_short_200_foresight,tons,99736.6
TEMOA,RMRG,2040,base_short_200_foresight,tons,253692
TEMOA,RMRG,2050,base_short_200_foresight,tons,456863
TEMOA,SPPC,2030,base_short_200_foresight,tons,412733
TEMOA,SPPC,2040,base_short_200_foresight,tons,255884
TEMOA,SPPC,2050,base_short_200_foresight,tons,399719
TEMOA,SPPN,2030,base_short_200_foresight,tons,36736.1
TEMOA,SPPN,2040,base_short_200_foresight,tons,112862
TEMOA,SPPN,2050,base_short_200_foresight,tons,279742
TEMOA,SPPS,2030,base_short_200_foresight,tons,7.45286e+06
TEMOA,SPPS,2040,base_short_200_foresight,tons,3.91219e+06
TEMOA,SPPS,2050,base_short_200_foresight,tons,3.88782e+06
TEMOA,SRCA,2030,base_short_200_foresight,tons,5.26642e+06
TEMOA,SRCA,2040,base_short_200_foresight,tons,3.3579e+06
TEMOA,SRCA,2050,base_short_200_foresight,tons,4.46267e+06
TEMOA,SRCE,2030,base_short_200_foresight,tons,7.37425e+06
TEMOA,SRCE,2040,base_short_200_foresight,tons,3.8322e+06
TEMOA,SRCE,2050,base_short_200_foresight,tons,5.1958e+06
TEMOA,SRSE,2030,base_short_200_foresight,tons,1.21228e+07
TEMOA,SRSE,2040,base_short_200_foresight,tons,6.86855e+06
TEMOA,SRSE,2050,base_short_200_foresight,tons,8.29979e+06
TEMOA,SRSG,2030,base_short_200_foresight,tons,375283
TEMOA,SRSG,2040,base_short_200_foresight,tons,1.04309e+06
TEMOA,SRSG,2050,base_short_200_foresight,tons,1.61504e+06
TEMOA,TRE,2030,base_short_200_foresight,tons,8.89323e+06
TEMOA,TRE,2040,base_short_200_foresight,tons,3.83716e+06
TEMOA,TRE,2050,base_short_200_foresight,tons,5.80322e+06
TEMOA,TRE_WEST,2030,base_short_200_foresight,tons,3.63318e+06
TEMOA,TRE_WEST,2040,base_short_200_foresight,tons,1.83881e+06
TEMOA,TRE_WEST,2050,base_short_200_foresight,tons,1.7321e+06
