model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
TEMOA,BASN,BASN_batteries_1,Battery,2030,base_short_200_foresight,all,MWh,771085
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_short_200_foresight,all,MWh,8.10031e+06
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_short_200_foresight,all,MWh,3.33144e+06
TEMOA,BASN,BASN_geothermal_1,Geothermal,2030,base_short_200_foresight,all,MWh,4.25911e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,base_short_200_foresight,all,MWh,9.35356e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base_short_200_foresight,all,MWh,2.69113e+07
TEMOA,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2030,base_short_200_foresight,all,MWh,105.605
TEMOA,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,base_short_200_foresight,all,MWh,1.17018e+07
TEMOA,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2030,base_short_200_foresight,all,MWh,2.5201e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,base_short_200_foresight,all,MWh,3.86984e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2030,base_short_200_foresight,all,MWh,3.69287e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2030,base_short_200_foresight,all,MWh,2.24334e+06
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_200_foresight,all,MWh,26744.4
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_200_foresight,all,MWh,8.04019e+06
TEMOA,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_200_foresight,all,MWh,5272.09
TEMOA,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base_short_200_foresight,all,MWh,3.55565e+06
TEMOA,BASN,BASN_small_hydroelectric_1,Hydro,2030,base_short_200_foresight,all,MWh,1.63372e+06
TEMOA,BASN,BASN_solar_photovoltaic_1,Solar,2030,base_short_200_foresight,all,MWh,1.61947e+07
TEMOA,BASN,BASN_utilitypv_class1_moderate_0,Solar,2030,base_short_200_foresight,all,MWh,6.15152e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,base_short_200_foresight,all,MWh,8.53255e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_3,Solar,2030,base_short_200_foresight,all,MWh,2.88567e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_5,Solar,2030,base_short_200_foresight,all,MWh,7.77978e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_7,Solar,2030,base_short_200_foresight,all,MWh,414.472
TEMOA,CANO,CANO_batteries_1,Battery,2030,base_short_200_foresight,all,MWh,3.26499e+06
TEMOA,CANO,CANO_biomass_2,Other,2030,base_short_200_foresight,all,MWh,1.11126e+06
TEMOA,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base_short_200_foresight,all,MWh,1.84625e+07
TEMOA,CANO,CANO_distributed_generation_1,Distributed Solar,2030,base_short_200_foresight,all,MWh,1.14173e+07
TEMOA,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base_short_200_foresight,all,MWh,5.67013e+06
TEMOA,CANO,CANO_landbasedwind_class3_moderate_2,Wind,2030,base_short_200_foresight,all,MWh,1.67095e+06
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_200_foresight,all,MWh,161167
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_200_foresight,all,MWh,8.58266e+06
TEMOA,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_200_foresight,all,MWh,6349.77
