model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
TEMOA,FRCC,FRCC_landbasedwind_class3_moderate_2,Wind,2050,base_short_200_foresight,MW,0,802.492
TEMOA,NWPP,NWPP_landbasedwind_class3_moderate_10,Wind,2050,base_short_200_foresight,MW,0,640.964
TEMOA,NWPP,NWPP_natural_gas_internal_combustion_engine_1,Natural Gas,2040,base_short_200_foresight,MW,289.743,289.743
TEMOA,PJME,PJME_solar_photovoltaic_1,Solar,2050,base_short_200_foresight,MW,0,786.06
TEMOA,ISNE,ISNE_landbasedwind_class3_moderate_11,Wind,2050,base_short_200_foresight,MW,0,118.811
TEMOA,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_200_foresight,MW,249.754,265.914
TEMOA,PJMW,PJMW_conventional_hydroelectric_1,Hydro,2030,base_short_200_foresight,MW,594.7,791.164
TEMOA,PJMC,PJMC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_200_foresight,MW,105.838,105.838
TEMOA,PJME,PJME_landbasedwind_class3_moderate_2,Wind,2030,base_short_200_foresight,MW,1167.19,1157.19
TEMOA,RMRG,RMRG_landbasedwind_class3_moderate_7,Wind,2040,base_short_200_foresight,MW,7675.3,7665.31
TEMOA,MISE,MISE_utilitypv_class1_moderate_1,Solar,2050,base_short_200_foresight,MW,0,10655.4
TEMOA,SPPS,SPPS_hydroelectric_pumped_storage_1,Hydro,2040,base_short_200_foresight,MW,474.006,474.006
TEMOA,SRSG,SRSG_natural_gas_fired_combined_cycle_2,Natural Gas,2050,base_short_200_foresight,MW,0,817.756
TEMOA,PJME,PJME_landbasedwind_class3_moderate_1,Wind,2030,base_short_200_foresight,MW,283.814,273.814
TEMOA,PJMC,PJMC_onshore_wind_turbine_1,Wind,2050,base_short_200_foresight,MW,0,461.1
TEMOA,SPPS,SPPS_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_200_foresight,MW,0,497.895
TEMOA,BASN,BASN_battery_moderate_0_4hour,Battery,2050,base_short_200_foresight,MW,0,14815.7
TEMOA,NYUP,NYUP_landbasedwind_class3_moderate_8,Wind,2040,base_short_200_foresight,MW,1425.99,1415.99
TEMOA,SRCE,SRCE_landbasedwind_class3_moderate_1,Wind,2030,base_short_200_foresight,MW,2255.18,2245.18
TEMOA,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_200_foresight,MW,210.312,210.312
TEMOA,PJMC,PJMC_nuclear_1,Nuclear,2030,base_short_200_foresight,MW,10667,10667
TEMOA,NYUP,NYUP_utilitypv_class1_moderate_2,Solar,2040,base_short_200_foresight,MW,11455.6,9657.72
TEMOA,MISC,MISC_utilitypv_class1_moderate_0,Solar,2030,base_short_200_foresight,MW,25012.8,14325
TEMOA,NWPP,NWPP_landbasedwind_class3_moderate_1,Wind,2050,base_short_200_foresight,MW,0,5144.73
TEMOA,PJMW,PJMW_landbasedwind_class3_moderate_0,Wind,2050,base_short_200_foresight,MW,0,1256.03
