model,line,line_name,planning_year,case,unit,value
TEMOA,4,BASN_to_RMRG,2030,base_short_200_foresight,MW,799.381
TEMOA,9,CASO_to_SRSG,2030,base_short_200_foresight,MW,5811.04
TEMOA,10,FRCC_to_SRSE,2030,base_short_200_foresight,MW,96.182
TEMOA,12,ISNE_to_NYUP,2030,base_short_200_foresight,MW,5449.62
TEMOA,13,MISC_to_MISE,2030,base_short_200_foresight,MW,3342.02
TEMOA,17,MISC_to_PJMW,2030,base_short_200_foresight,MW,8434.23
TEMOA,18,MISC_to_SPPC,2030,base_short_200_foresight,MW,6624.16
TEMOA,19,MISC_to_SPPN,2030,base_short_200_foresight,MW,8752.18
TEMOA,20,MISC_to_SPPS,2030,base_short_200_foresight,MW,11720
TEMOA,24,MISS_to_SPPC,2030,base_short_200_foresight,MW,6446.27
TEMOA,25,MISS_to_SPPS,2030,base_short_200_foresight,MW,16970
TEMOA,27,MISS_to_SRSE,2030,base_short_200_foresight,MW,10000
TEMOA,29,MISW_to_PJMC,2030,base_short_200_foresight,MW,2512.56
TEMOA,30,MISW_to_SPPC,2030,base_short_200_foresight,MW,229.735
TEMOA,32,NWPP_to_RMRG,2030,base_short_200_foresight,MW,4043.51
TEMOA,34,NYCW_to_PJME,2030,base_short_200_foresight,MW,6717.6
TEMOA,35,NYUP_to_PJME,2030,base_short_200_foresight,MW,2220.99
TEMOA,36,PJMC_to_PJMW,2030,base_short_200_foresight,MW,4854.03
TEMOA,37,PJMD_to_PJME,2030,base_short_200_foresight,MW,3613.62
TEMOA,39,PJMD_to_SRCA,2030,base_short_200_foresight,MW,269.753
TEMOA,40,PJME_to_PJMW,2030,base_short_200_foresight,MW,13176.9
TEMOA,43,RMRG_to_SPPC,2030,base_short_200_foresight,MW,10000
TEMOA,44,RMRG_to_SPPN,2030,base_short_200_foresight,MW,5850.27
TEMOA,45,RMRG_to_SRSG,2030,base_short_200_foresight,MW,7664.77
TEMOA,46,SPPC_to_SPPN,2030,base_short_200_foresight,MW,1029.68
TEMOA,48,SPPN_to_SPPS,2030,base_short_200_foresight,MW,5372.57
TEMOA,49,SPPS_to_SRSG,2030,base_short_200_foresight,MW,4939.35
TEMOA,50,SPPS_to_TRE,2030,base_short_200_foresight,MW,10000
TEMOA,51,SPPS_to_TRE_WEST,2030,base_short_200_foresight,MW,10000
TEMOA,52,SRCA_to_SRCE,2030,base_short_200_foresight,MW,86.998
TEMOA,57,SRSG_to_TRE,2030,base_short_200_foresight,MW,10000
TEMOA,4,BASN_to_RMRG,2040,base_short_200_foresight,MW,185.734
TEMOA,9,CASO_to_SRSG,2040,base_short_200_foresight,MW,3695.27
TEMOA,10,FRCC_to_SRSE,2040,base_short_200_foresight,MW,5589.17
TEMOA,12,ISNE_to_NYUP,2040,base_short_200_foresight,MW,6899.19
TEMOA,13,MISC_to_MISE,2040,base_short_200_foresight,MW,1699.92
TEMOA,16,MISC_to_PJMC,2040,base_short_200_foresight,MW,281.674
TEMOA,17,MISC_to_PJMW,2040,base_short_200_foresight,MW,14724.7
TEMOA,18,MISC_to_SPPC,2040,base_short_200_foresight,MW,5780.51
TEMOA,20,MISC_to_SPPS,2040,base_short_200_foresight,MW,11720
TEMOA,25,MISS_to_SPPS,2040,base_short_200_foresight,MW,16970
TEMOA,27,MISS_to_SRSE,2040,base_short_200_foresight,MW,10000
TEMOA,29,MISW_to_PJMC,2040,base_short_200_foresight,MW,649.148
TEMOA,30,MISW_to_SPPC,2040,base_short_200_foresight,MW,1563.05
TEMOA,32,NWPP_to_RMRG,2040,base_short_200_foresight,MW,165.854
TEMOA,34,NYCW_to_PJME,2040,base_short_200_foresight,MW,4797.29
TEMOA,35,NYUP_to_PJME,2040,base_short_200_foresight,MW,7304.03
TEMOA,36,PJMC_to_PJMW,2040,base_short_200_foresight,MW,86.1277
TEMOA,37,PJMD_to_PJME,2040,base_short_200_foresight,MW,4695.61
TEMOA,39,PJMD_to_SRCA,2040,base_short_200_foresight,MW,1217.74
TEMOA,40,PJME_to_PJMW,2040,base_short_200_foresight,MW,14429.7
TEMOA,43,RMRG_to_SPPC,2040,base_short_200_foresight,MW,6259.52
TEMOA,45,RMRG_to_SRSG,2040,base_short_200_foresight,MW,560.308
TEMOA,47,SPPC_to_SPPS,2040,base_short_200_foresight,MW,2421.5
TEMOA,50,SPPS_to_TRE,2040,base_short_200_foresight,MW,10000
TEMOA,51,SPPS_to_TRE_WEST,2040,base_short_200_foresight,MW,10000
TEMOA,52,SRCA_to_SRCE,2040,base_short_200_foresight,MW,1290.01
TEMOA,56,NWPP_to_SPPN,2040,base_short_200_foresight,MW,67.8594
TEMOA,57,SRSG_to_TRE,2040,base_short_200_foresight,MW,3542.56
TEMOA,4,BASN_to_RMRG,2050,base_short_200_foresight,MW,172.407
TEMOA,6,CANO_to_CASO,2050,base_short_200_foresight,MW,738.546
TEMOA,7,CANO_to_NWPP,2050,base_short_200_foresight,MW,1044.05
TEMOA,9,CASO_to_SRSG,2050,base_short_200_foresight,MW,7227.19
TEMOA,10,FRCC_to_SRSE,2050,base_short_200_foresight,MW,6050.81
TEMOA,16,MISC_to_PJMC,2050,base_short_200_foresight,MW,217.592
TEMOA,17,MISC_to_PJMW,2050,base_short_200_foresight,MW,638.779
TEMOA,20,MISC_to_SPPS,2050,base_short_200_foresight,MW,6173.45
TEMOA,25,MISS_to_SPPS,2050,base_short_200_foresight,MW,16970
TEMOA,27,MISS_to_SRSE,2050,base_short_200_foresight,MW,10000
TEMOA,29,MISW_to_PJMC,2050,base_short_200_foresight,MW,1847.47
TEMOA,32,NWPP_to_RMRG,2050,base_short_200_foresight,MW,5501.12
TEMOA,34,NYCW_to_PJME,2050,base_short_200_foresight,MW,2080.59
TEMOA,35,NYUP_to_PJME,2050,base_short_200_foresight,MW,406.105
TEMOA,36,PJMC_to_PJMW,2050,base_short_200_foresight,MW,2317.91
TEMOA,37,PJMD_to_PJME,2050,base_short_200_foresight,MW,4913.56
TEMOA,39,PJMD_to_SRCA,2050,base_short_200_foresight,MW,1379.26
TEMOA,40,PJME_to_PJMW,2050,base_short_200_foresight,MW,6600.76
TEMOA,43,RMRG_to_SPPC,2050,base_short_200_foresight,MW,2879.59
TEMOA,45,RMRG_to_SRSG,2050,base_short_200_foresight,MW,3663.28
TEMOA,47,SPPC_to_SPPS,2050,base_short_200_foresight,MW,1739.5
TEMOA,48,SPPN_to_SPPS,2050,base_short_200_foresight,MW,34.2238
TEMOA,49,SPPS_to_SRSG,2050,base_short_200_foresight,MW,2433.86
TEMOA,50,SPPS_to_TRE,2050,base_short_200_foresight,MW,4097.45
TEMOA,51,SPPS_to_TRE_WEST,2050,base_short_200_foresight,MW,9999.99
TEMOA,52,SRCA_to_SRCE,2050,base_short_200_foresight,MW,1174.66
TEMOA,53,SRCA_to_SRSE,2050,base_short_200_foresight,MW,431.793
TEMOA,56,NWPP_to_SPPN,2050,base_short_200_foresight,MW,146.39
TEMOA,57,SRSG_to_TRE,2050,base_short_200_foresight,MW,5110.47
