Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,838545.276790698,936.0,0.0
BASN_biomass_1,1,131040.0,15.0,1.0
BASN_biomass_2,1,87360.0,10.0,1.0
BASN_conventional_hydroelectric_1,1,6.0151637372244485e6,1774.0,0.38813357530686227
BASN_conventional_steam_coal_1,1,813.7609470404007,51.0,0.0018264763050357337
BASN_conventional_steam_coal_2,1,1427.5415853490379,2040.0,8.010248247891516e-5
BASN_geothermal_1,1,2.326594555260555e6,287.0,0.9279534383976252
BASN_natural_gas_fired_combined_cycle_1,1,42460.85032585818,433.0,0.01122504693113949
BASN_natural_gas_fired_combined_cycle_2,1,5.840879725576148e6,7114.0,0.09398353523839112
BASN_natural_gas_fired_combustion_turbine_1,1,42860.90482286937,1903.0,0.0025781603285244003
BASN_natural_gas_fired_combustion_turbine_2,1,7218.159466470264,236.0,0.0035010784647543885
BASN_natural_gas_internal_combustion_engine_1,1,44299.71147241162,221.0,0.02294541931468455
BASN_natural_gas_steam_turbine_1,1,1206.1804011440927,5.0,0.027614020172712743
BASN_onshore_wind_turbine_1,1,2.8004514798278306e6,1454.0,0.2204707709051189
BASN_petroleum_liquids_1,1,121.74235459039528,14.0,0.0009954077919805998
BASN_small_hydroelectric_1,1,1.44144e6,165.0,1.0
BASN_solar_photovoltaic_1,1,1.638911842484135e7,7923.0,0.23678452300105188
CANO_batteries_1,2,3.7692119901666488e6,2679.0,0.0
CANO_biomass_1,2,358176.0,41.0,1.0
CANO_biomass_2,2,235872.0,27.0,1.0
CANO_conventional_hydroelectric_1,2,1.86419809638725e7,6904.0,0.30908551454007427
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,5.967196458365517e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,236365.2836956277,3113.0,0.008691444145358017
CANO_natural_gas_fired_combined_cycle_2,2,4.122940421442089e6,8297.0,0.05688180165303814
CANO_natural_gas_fired_combustion_turbine_1,2,1962.4249675812102,1995.0,0.00011259977826785428
CANO_natural_gas_fired_combustion_turbine_2,2,23662.027768098043,1510.0,0.0017937519534072335
CANO_natural_gas_internal_combustion_engine_1,2,58809.628236697135,444.0,0.015161872441645921
CANO_natural_gas_steam_turbine_1,2,991.8371743610146,3.0,0.03784482502903749
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,1.2409599202215627e6,698.0,0.20351185231967756
CANO_petroleum_liquids_1,2,479.8863998136317,170.0,0.0003231297132983407
CANO_small_hydroelectric_1,2,1.860768e6,213.0,1.0
CANO_solar_photovoltaic_1,2,1.444102171709313e7,6285.0,0.263014694944449
CASO_batteries_1,3,128222.52154282892,84.0,0.0
CASO_biomass_1,3,655200.0,75.0,1.0
CASO_biomass_2,3,96096.0,11.0,1.0
CASO_conventional_hydroelectric_1,3,2.2680928169387034e6,955.0,0.2718596955654047
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,190505.67951463477,24.0,0.9086237003712357
CASO_hydroelectric_pumped_storage_1,3,4.356644200992761e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,188272.57319836918,1985.0,0.010857102098059691
CASO_natural_gas_fired_combined_cycle_2,3,5.627519834204039e6,7458.0,0.08637380064324869
CASO_natural_gas_fired_combustion_turbine_1,3,1927.6894577223077,1455.0,0.00015165664829833243
CASO_natural_gas_fired_combustion_turbine_2,3,111157.24905597648,3955.0,0.0032172045706499075
CASO_natural_gas_internal_combustion_engine_1,3,19652.378140182485,50.0,0.04499170819638847
CASO_natural_gas_steam_turbine_1,3,688.6252841656382,2.0,0.03941307716149486
CASO_onshore_wind_turbine_1,3,1.1816517880943758e7,3464.0,0.39048019163038816
CASO_petroleum_liquids_1,3,261.73602525650665,8.0,0.003745078200213293
CASO_small_hydroelectric_1,3,637728.0,73.0,1.0
CASO_solar_photovoltaic_1,3,3.1812881829233345e7,13760.0,0.2646500333193687
FRCC_batteries_1,4,548235.6875029705,555.0,0.0
FRCC_biomass_1,4,279552.0,32.0,1.0
FRCC_biomass_2,4,803712.0,92.0,1.0
FRCC_conventional_hydroelectric_1,4,109744.2176978085,44.0,0.2855067268611818
FRCC_conventional_steam_coal_1,4,1484.8870072939778,2523.0,6.736953214011578e-5
FRCC_conventional_steam_coal_2,4,1285.303037311794,442.0,0.0003328669212205059
FRCC_natural_gas_fired_combined_cycle_1,4,6624.028546936859,2313.0,0.0003278188612093405
FRCC_natural_gas_fired_combined_cycle_2,4,2.6851095824881952e7,28737.0,0.1069566916803739
FRCC_natural_gas_fired_combustion_turbine_1,4,2337.5475972899776,8448.0,3.1673345064359166e-5
FRCC_natural_gas_fired_combustion_turbine_2,4,1560.590777482923,235.0,0.0007601661880810745
FRCC_natural_gas_internal_combustion_engine_1,4,161723.02584356244,263.0,0.07038878755430196
FRCC_natural_gas_steam_turbine_1,4,1729.4961664369582,335.0,0.000590965559030725
FRCC_nuclear_1,4,3.081730530186202e7,3737.0,0.9439716199878144
FRCC_petroleum_liquids_1,4,468.06018287209565,150.0,0.00035718878424305226
FRCC_solar_photovoltaic_1,4,1.5670980747371767e7,9414.0,0.19055017752975179
ISNE_batteries_1,5,334608.4589903807,366.0,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,497952.0,57.0,1.0
ISNE_conventional_hydroelectric_1,5,1.7065750949003731e6,516.0,0.37858471558932233
ISNE_conventional_steam_coal_1,5,10518.986024596976,330.0,0.003648776926059002
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.093618881967973e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,406806.33641640027,3159.0,0.01474094947398677
ISNE_natural_gas_fired_combined_cycle_2,5,4.415187227589715e6,10499.0,0.04813805775403644
ISNE_natural_gas_fired_combustion_turbine_1,5,14250.497710326825,410.0,0.0039786299780908896
ISNE_natural_gas_fired_combustion_turbine_2,5,48992.744025192704,1316.0,0.0042615074284023955
ISNE_natural_gas_internal_combustion_engine_1,5,15475.301450081244,57.0,0.031077897970248625
ISNE_natural_gas_steam_turbine_1,5,2381.098735772228,17.0,0.01603303932188798
ISNE_nuclear_1,5,2.3995944909160305e7,3348.0,0.8204266922368606
ISNE_offshore_wind_turbine_1,5,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,5,1.505027677588987e6,1238.0,0.139158973544284
ISNE_petroleum_liquids_1,5,8779.89002006605,824.0,0.00121968936985252
ISNE_small_hydroelectric_1,5,1.983072e6,227.0,1.0
ISNE_solar_photovoltaic_1,5,3.6004950399890537e6,2681.0,0.15372792941190813
MISC_batteries_1,6,36867.931495598714,36.0,0.0
MISC_biomass_1,6,655200.0,75.0,1.0
MISC_biomass_2,6,17472.0,2.0,1.0
MISC_conventional_hydroelectric_1,6,801180.7731800298,277.0,0.3310839470765519
MISC_conventional_steam_coal_1,6,1548.7797376395133,6249.0,2.837046853576267e-5
MISC_conventional_steam_coal_2,6,1121.2356746638159,1692.0,7.585494945670695e-5
MISC_hydroelectric_pumped_storage_1,6,1.260998544826171e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,575733.4160590894,571.0,0.11541777648522637
MISC_natural_gas_fired_combined_cycle_2,6,5.510010847372522e6,4067.9999999999995,0.155045399437035
MISC_natural_gas_fired_combustion_turbine_1,6,47652.979402549296,458.0,0.011910005329187786
MISC_natural_gas_fired_combustion_turbine_2,6,74478.24914164019,8951.0,0.0009524567765470598
MISC_natural_gas_internal_combustion_engine_1,6,19721.99702266684,36.0,0.06270985011786108
MISC_natural_gas_steam_turbine_1,6,1146.780937265641,98.0,0.001339497057993245
MISC_nuclear_1,6,1.7657511609306023e7,2373.0,0.8517637181892339
MISC_onshore_wind_turbine_1,6,1.1091684056454204e7,5587.0,0.2272512044012388
MISC_petroleum_liquids_1,6,573.4162129563564,208.0,0.00031556876329399367
MISC_small_hydroelectric_1,6,122304.0,14.0,1.0
MISC_solar_photovoltaic_1,6,6.135798923116829e6,3922.0,0.17908157453810936
MISE_batteries_1,7,1643.8096719628334,1.0,0.0
MISE_biomass_1,7,235872.0,27.0,1.0
MISE_biomass_2,7,445535.99999999994,51.0,0.9999999999999998
MISE_conventional_hydroelectric_1,7,81061.48204201089,32.0,0.28996924379725736
MISE_conventional_steam_coal_1,7,633.6444776991473,2.0,0.03626628191959405
MISE_conventional_steam_coal_2,7,0.0,0.0,0.0
MISE_hydroelectric_pumped_storage_1,7,5.167177815583545e6,2047.0000000000002,0.0
MISE_natural_gas_fired_combined_cycle_1,7,3.664383979529003e6,6017.0,0.06971212782359709
MISE_natural_gas_fired_combined_cycle_2,7,142050.89660017725,699.0,0.023262381731911832
MISE_natural_gas_fired_combustion_turbine_1,7,51434.48607207167,3812.0,0.0015445034667391575
MISE_natural_gas_fired_combustion_turbine_2,7,1388.1945258213134,578.0,0.00027492223362051815
MISE_natural_gas_internal_combustion_engine_1,7,31333.19363273848,91.0,0.039414012036512396
MISE_natural_gas_steam_turbine_1,7,1495.9329780352691,8.0,0.021404718664653002
MISE_nuclear_1,7,9.409949827480827e6,1161.0,0.9277745662883009
MISE_onshore_wind_turbine_1,7,7.386452421162596e6,3524.0,0.2399315610396643
MISE_petroleum_liquids_1,7,437.33631237707357,29.0,0.0017262548644415244
MISE_small_hydroelectric_1,7,96096.0,11.0,1.0
MISE_solar_photovoltaic_1,7,1.8305444401406127e6,1182.0,0.1772760942662345
MISS_batteries_1,8,17296.03969901554,10.0,0.0
MISS_biomass_1,8,26208.0,3.0,1.0
MISS_biomass_2,8,349440.0,40.0,1.0
MISS_conventional_hydroelectric_1,8,1.0354046167562383e6,521.0,0.22748865786162456
MISS_conventional_steam_coal_1,8,1291.8614432323564,5094.0,2.902982184097296e-5
MISS_conventional_steam_coal_2,8,886.1260538755183,1016.9999999999999,9.973829219607316e-5
MISS_natural_gas_fired_combined_cycle_1,8,2.257975328260563e7,17637.0,0.146548660103588
MISS_natural_gas_fired_combined_cycle_2,8,1676.6050991784234,2203.0,8.711715018867999e-5
MISS_natural_gas_fired_combustion_turbine_1,8,1674.4087633928996,3157.0,6.071196382714627e-5
MISS_natural_gas_fired_combustion_turbine_2,8,106485.73990601426,1520.0,0.008019277453400196
MISS_natural_gas_internal_combustion_engine_1,8,31074.279617990454,108.0,0.032935532426475435
MISS_natural_gas_steam_turbine_1,8,2037.135047288779,3307.0,7.051361827422832e-5
MISS_natural_gas_steam_turbine_2,8,923.8247585139474,30.0,0.0035249723691771497
MISS_nuclear_1,8,4.027339843013299e7,5426.0,0.8496222238480414
MISS_onshore_wind_turbine_1,8,0.0,0.0,0.0
MISS_petroleum_liquids_1,8,331.399651386249,39.0,0.0009726908148605506
MISS_small_hydroelectric_1,8,26208.0,3.0,1.0
MISS_solar_photovoltaic_1,8,3.2944937535879663e6,2208.0,0.17079572417254596
MISW_batteries_1,9,36320.225531148186,31.0,0.0
MISW_biomass_1,9,384384.0,44.0,1.0
MISW_biomass_2,9,122304.0,14.0,1.0
MISW_conventional_hydroelectric_1,9,211018.04354533026,82.0,0.2945731198423823
MISW_conventional_steam_coal_1,9,1461.3643610627496,9228.0,1.8127516145006568e-5
MISW_conventional_steam_coal_2,9,374.64819679625225,260.0,0.0001649444371637487
MISW_natural_gas_fired_combined_cycle_1,9,422812.4155630139,1111.0,0.043563327716323895
MISW_natural_gas_fired_combined_cycle_2,9,9.590391808923393e6,7005.0,0.15671681087494074
MISW_natural_gas_fired_combustion_turbine_1,9,15576.380968875716,706.0,0.002525510824421578
MISW_natural_gas_fired_combustion_turbine_2,9,304944.72608245595,5582.0,0.0062534354210726706
MISW_natural_gas_fired_combustion_turbine_3,9,510.71870230290983,100.0,0.0005846138991562613
MISW_natural_gas_internal_combustion_engine_1,9,387105.50932864496,683.0,0.06487778635796693
MISW_natural_gas_steam_turbine_1,9,864.4194484653012,157.0,0.0006302491254179946
MISW_nuclear_1,9,2.1963974210320625e7,2943.0,0.8542953404956936
MISW_onshore_wind_turbine_1,9,3.13917549632795e7,16192.0,0.22192308203627992
MISW_petroleum_liquids_1,9,756.0540217383362,698.0,0.00012398946324570993
MISW_small_hydroelectric_1,9,3.310944e6,379.0,1.0
MISW_solar_photovoltaic_1,9,4.860105441538825e6,3132.0,0.17762795373304546
NWPP_batteries_1,10,133393.80986228967,135.0,0.0
NWPP_biomass_1,10,253344.0,29.0,1.0
NWPP_biomass_2,10,340704.0,39.0,1.0
NWPP_conventional_hydroelectric_1,10,1.4294043890065673e8,31007.0,0.5276947053129706
NWPP_conventional_steam_coal_1,10,40929.968168893865,1482.0,0.0031614082179757417
NWPP_conventional_steam_coal_2,10,4506.405802683425,148.0,0.0034854267234396847
NWPP_geothermal_1,10,173334.52084419882,22.0,0.9018820806495527
NWPP_hydroelectric_pumped_storage_1,10,842453.762743858,314.0,0.0
NWPP_natural_gas_fired_combined_cycle_1,10,1.6934195561345606e6,2405.0,0.08060033832020443
NWPP_natural_gas_fired_combined_cycle_2,10,1.6713700161922968e6,4016.0,0.047639399367739005
NWPP_natural_gas_fired_combustion_turbine_1,10,16157.395812106433,724.0,0.0025545839107538808
NWPP_natural_gas_fired_combustion_turbine_2,10,1482.395329385336,324.0,0.000523728734718172
NWPP_natural_gas_internal_combustion_engine_1,10,64408.47698386581,305.0,0.024173000729547908
NWPP_natural_gas_steam_turbine_1,10,1202.0390385719766,3.0,0.04586534793085991
NWPP_nuclear_1,10,8.622380883191168e6,1172.0,0.8421451780861244
NWPP_onshore_wind_turbine_1,10,1.0230548896720694e7,4088.0,0.2864675428328796
NWPP_petroleum_liquids_1,10,410.17687502573716,15.0,0.0031301654077055645
NWPP_small_hydroelectric_1,10,3.58176e6,410.0,1.0
NWPP_solar_photovoltaic_1,10,2.845657227663848e6,1628.0,0.20008547390558823
NYCW_batteries_1,11,47403.56978001259,24.0,0.0
NYCW_biomass_1,11,0.0,0.0,0.0
NYCW_biomass_2,11,8736.0,1.0,1.0
NYCW_natural_gas_fired_combined_cycle_1,11,863883.2086447597,1428.0,0.06924911059333667
NYCW_natural_gas_fired_combined_cycle_2,11,748320.0795623673,2816.0,0.030418803184216792
NYCW_natural_gas_fired_combustion_turbine_1,11,0.0,0.0,0.0
NYCW_natural_gas_fired_combustion_turbine_2,11,34329.02906426345,1057.0,0.0037176962869488
NYCW_natural_gas_fired_combustion_turbine_3,11,47176.46437354163,1020.0,0.005294349320093285
NYCW_natural_gas_internal_combustion_engine_1,11,28065.13665959507,37.0,0.08682660336722563
NYCW_natural_gas_steam_turbine_1,11,1240.8621878063539,15.0,0.009469339040036278
NYCW_petroleum_liquids_1,11,1318.200794809317,340.0,0.00044380278859934444
NYCW_solar_photovoltaic_1,11,209164.7693251414,158.0,0.15153704830089185
NYUP_batteries_1,12,164078.05510195132,170.0,0.0
NYUP_biomass_1,12,515424.0,59.0,1.0
NYUP_biomass_2,12,419328.0,48.0,1.0
NYUP_conventional_hydroelectric_1,12,1.7731701257108368e7,3443.0,0.5895230055191204
NYUP_hydroelectric_pumped_storage_1,12,2.982527759030833e6,1405.0,0.0
NYUP_natural_gas_fired_combined_cycle_1,12,244978.7044286764,2282.0,0.012288533792727506
