Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.298708826390283e11,8.814457460158596e9,8.474847722119999e9,1.4823563357972256e10,1.9452411688780888e10,1.2317327264095152e10,1.4581216022083765e10,7.399978134936617e9,1.2574625596305971e10,1.7723761279218487e10,1.3358191956503588e10,8.77354473060103e9,3.6504661307371607e9,6.335742595454526e9,6.489145916070925e9,1.92081110498274e10,2.184522564816306e10,6.548264646652172e9,4.84537836067764e9,3.086840678592752e9,6.915083900633861e9,1.5959180048333614e10,1.3857439426346907e10,1.820699173224318e10,9.656128266524994e9,2.4834550716383175e10,1.0441771911582105e9
cFix,2.405519544782999e11,8.232864030700001e9,6.658382961399999e9,9.946538176900002e9,1.25007505203e10,1.09695207918e10,1.0926516425400002e10,5.2823695962e9,8.8820554761e9,1.40957966084e10,1.13982875564e10,7.846612403999999e9,3.2989185922999997e9,5.024498860000001e9,5.8763339345e9,1.6684141857399998e10,1.47418224312e10,6.3741304916e9,4.2916825559999995e9,2.8086848907999997e9,6.5639654484e9,1.1438294736199999e10,1.12226978978e10,1.39761917199e10,9.048241747400002e9,2.15669657162e10,8.956890510000001e8
cVar,1.4395068432777195e10,3.849702083273347e7,3.531548360888937e8,1.2544981152682762e9,1.5352843076615756e9,1.594624693678454e8,1.0907657761058128e9,6.265451346649565e8,8.505918783000451e8,1.0109971773005614e9,4.468597773320645e8,2.1174525580467397e8,7.131870702754587e7,3.327989911733864e8,1.4565242562857255e8,4.888323015209316e8,2.042943942776658e9,1.3482218181934543e7,1.4154339683749464e8,3.1409293299326584e7,3.4836332002075434e7,1.0712518209229461e9,6.265995669369993e8,9.245119799244548e8,1.1218486577436915e8,7.645535976958886e8,1.4747244348159326e7
cFuel,3.970651715843877e10,4.2454635006752825e8,1.2556253189658923e9,3.200219343434683e9,4.619270712636703e9,1.032745570705822e9,2.25217955995597e9,1.295622584169534e9,2.4337042980799704e9,2.2291575932426324e9,1.3102671284543674e9,6.754362012197301e8,2.47416859451304e8,8.908413761630548e8,4.444826817808378e8,1.7357728179263237e9,4.383810538785924e9,1.2286467735767892e8,3.703880324258753e8,1.9527704480814457e8,2.265772950428972e8,3.071306833032619e9,1.7646465354234362e9,2.8278799034210033e9,4.441868124216651e8,2.155313403672576e9,9.697768579675451e7
cNSE,275037.0961829142,10617.426330394634,10579.66658700443,11082.825660608389,10289.399297759472,10262.326682303763,10717.602512269861,10449.408635191297,10457.382610601617,10863.71068136148,11336.286307687327,10337.790938139922,9990.00920303641,10338.15149906538,10676.216849431656,11224.059539092017,11003.251845655457,10528.9387202672,10233.961097181367,9952.496461631068,10395.905649024191,10997.991665763097,11067.669715410344,10659.836652375228,10804.024090732439,10956.199769238763,9214.557181688051
cStart,6.122836413958717e9,1.1853944113200168e8,2.0767402599862665e8,4.222966395436347e8,7.970958587833077e8,1.5558816989480332e8,3.117435430194692e8,1.954303704934909e8,4.082634864433463e8,3.8779903656461364e8,2.027661580308493e8,3.974053178568583e7,3.280198194910826e7,8.759302996658625e7,2.2666197944664773e7,2.9935284892060333e8,6.766377321486342e8,3.777673057383902e7,4.17541414531717e7,5.1459497188819066e7,8.969442928323975e7,3.783156601863839e8,2.4348435851675633e8,4.783974691610676e8,5.150403690486896e7,3.4770704261494035e8,3.675399545611483e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,4.030574040755765e7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,2.9053925378041454e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
