model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2030,base_short_no_ccs,MW,426.8654390110205
GenX,2,BASN_to_CASO,2030,base_short_no_ccs,MW,3.0295730601965994e-05
GenX,3,BASN_to_NWPP,2030,base_short_no_ccs,MW,9.408486835101878e-06
GenX,4,BASN_to_RMRG,2030,base_short_no_ccs,MW,1.169622928644936e-06
GenX,5,BASN_to_SRSG,2030,base_short_no_ccs,MW,8.455800927807845e-06
GenX,6,CANO_to_CASO,2030,base_short_no_ccs,MW,4.071891368595677e-06
GenX,7,CANO_to_NWPP,2030,base_short_no_ccs,MW,442.1255200436967
GenX,8,CASO_to_NWPP,2030,base_short_no_ccs,MW,8.247802118572494e-07
GenX,9,CASO_to_SRSG,2030,base_short_no_ccs,MW,9013.16242634836
GenX,10,FRCC_to_SRSE,2030,base_short_no_ccs,MW,6528.296166403406
GenX,11,ISNE_to_NYCW,2030,base_short_no_ccs,MW,934.1412551952056
GenX,12,ISNE_to_NYUP,2030,base_short_no_ccs,MW,2921.294277235764
GenX,13,MISC_to_MISE,2030,base_short_no_ccs,MW,4957.63027681853
GenX,14,MISC_to_MISS,2030,base_short_no_ccs,MW,8.694928698884776e-05
GenX,15,MISC_to_MISW,2030,base_short_no_ccs,MW,5.505546611117691e-06
GenX,16,MISC_to_PJMC,2030,base_short_no_ccs,MW,5.306536746219284e-05
GenX,17,MISC_to_PJMW,2030,base_short_no_ccs,MW,9966.181289337042
GenX,18,MISC_to_SPPC,2030,base_short_no_ccs,MW,4298.80690597306
GenX,19,MISC_to_SPPN,2030,base_short_no_ccs,MW,5959.44117245912
GenX,20,MISC_to_SPPS,2030,base_short_no_ccs,MW,6451.424207033605
GenX,21,MISC_to_SRCE,2030,base_short_no_ccs,MW,7.580346551298895e-06
GenX,22,MISE_to_MISW,2030,base_short_no_ccs,MW,1056.930522957174
GenX,23,MISE_to_PJMW,2030,base_short_no_ccs,MW,1.0022664130242228e-06
GenX,24,MISS_to_SPPC,2030,base_short_no_ccs,MW,3255.9639609877127
GenX,25,MISS_to_SPPS,2030,base_short_no_ccs,MW,11461.151048962778
