Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.1837819951425836e11,1.0444389918920528e10,7.82661211589159e9,8.026189059892363e9,1.6991130467812948e10,1.1714197463171257e10,9.508984532681988e9,5.352800009585348e9,5.79447104560111e9,1.4277277796113813e10,1.1400492080560345e10,5.140196677724662e8,5.690260343843397e9,5.599588809984129e9,8.776437556525276e9,1.4610575254888092e10,1.6777721252563936e10,1.139499190128995e10,4.616351631383733e9,5.195006940346949e9,1.5334184818355074e10,1.3464499514859205e10,1.3545842091627579e10,1.2344323130360332e10,8.554374481017278e9,2.0989316820885677e10,6.587334700962417e9
cFix,2.3851939142863983e11,1.018413867668e10,7.33880611721e9,6.91281200765e9,1.399318313814e10,1.0108688062310001e10,9.11403449078e9,4.669274255029999e9,4.461680174719999e9,1.329381070202e10,1.095220625389e10,3.6611313235e8,5.332610484440001e9,4.580420816739999e9,8.18726680483e9,1.007988039173e10,1.4915583940050003e10,1.1319830670489998e10,4.493154048009999e9,5.116631062950001e9,1.5011492165560001e10,1.1228887626069998e10,1.229614928931e10,1.0361963790830002e10,7.992003220879999e9,1.9776597694789997e10,6.432172411179999e9
cVar,4.260461037978573e9,3.2736766110101998e7,6.074756568926569e7,1.1025816493652566e8,4.8401113329285747e8,1.80081043491241e8,7.753220968516052e7,9.88256008612243e7,2.1253218817917535e8,1.375733129002003e8,5.082333790530584e7,2.3181293769898813e7,7.116957540036304e7,2.290999345365902e8,1.1734427509386924e8,7.15647676187728e8,3.4467470845903e8,8.618003252736963e6,2.4011906447850823e7,1.6761275889547888e7,4.0631018150396235e7,3.800917246821342e8,2.3434217280134642e8,3.1350647755338484e8,9.767424233386557e7,1.78787317302077e8,1.9798113065962154e7
cFuel,2.21314061188694e10,2.2690520817839587e8,4.264222712569259e8,1.0024818412567855e9,2.513183178584468e9,1.2504495381995192e9,3.166893182448626e8,5.840618148614687e8,1.1195511132796254e9,7.389523736117421e8,2.864433165794035e8,1.2411738117747281e8,2.858849380371993e8,7.894006561001307e8,4.711757681685239e8,3.814145554712615e9,1.5166693594683568e9,6.593372958982643e7,9.847534688888685e7,6.090929786872465e7,2.8140288568109983e8,1.8548310928403962e9,1.0145975846121391e9,1.6681325293561277e9,4.640361774710203e8,1.0217155412103201e9,1.3483830163793576e8
cNSE,4.0447547121980023e8,76665.60198275735,75378.58130136876,109523.11168252166,100286.81713592669,1.743237675577344e8,86383.12853063078,75467.47738223444,85370.26989423855,1.0625996463306439e8,1.1043023366135372e8,76849.06800569242,70777.98649072464,76139.39073862227,77190.01580759269,185535.28796545314,110706.8042685568,75926.37811769049,70936.339314041,66730.42080918702,78267.26785747976,95148.78938794369,89664.51665552595,99875.68867523348,82734.38390609849,1.1524478652206115e7,71469.3895288146
cStart,1.5639350185181247e7,532602.350046861,560783.1540968438,527522.9373692006,652730.978490762,655051.6127634525,642130.8434353999,562871.3552728604,622199.1524156753,681442.9488063839,588938.5242832705,531011.407088854,524567.9793433682,591263.2166694768,573518.4170753435,716096.9697856924,682537.782278948,533571.5792694183,639393.6976812058,638573.2178668212,580481.695719451,593922.477289843,663380.3874347842,620456.9321453426,578105.9484852519,691788.931076638,454405.68899000535
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,5.304682610734573e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
