model,zone,planning_year,case,unit,value
GenX,BASN,2030,base-short-myopic-no-ccs,tons,2.41216e+06
GenX,CANO,2030,base-short-myopic-no-ccs,tons,7.23669e+06
GenX,CASO,2030,base-short-myopic-no-ccs,tons,6.51234e+06
GenX,FRCC,2030,base-short-myopic-no-ccs,tons,1.91789e+07
GenX,ISNE,2030,base-short-myopic-no-ccs,tons,1.0922e+07
GenX,MISC,2030,base-short-myopic-no-ccs,tons,2.28337e+06
GenX,MISE,2030,base-short-myopic-no-ccs,tons,5.06018e+06
GenX,MISS,2030,base-short-myopic-no-ccs,tons,1.12348e+07
GenX,MISW,2030,base-short-myopic-no-ccs,tons,7.16778e+06
GenX,NWPP,2030,base-short-myopic-no-ccs,tons,602348
GenX,NYCW,2030,base-short-myopic-no-ccs,tons,2.81116e+06
GenX,NYUP,2030,base-short-myopic-no-ccs,tons,3.84159e+06
GenX,PJMC,2030,base-short-myopic-no-ccs,tons,4.4851e+06
GenX,PJMD,2030,base-short-myopic-no-ccs,tons,6.53639e+06
GenX,PJME,2030,base-short-myopic-no-ccs,tons,3.48379e+07
GenX,PJMW,2030,base-short-myopic-no-ccs,tons,2.13857e+07
GenX,RMRG,2030,base-short-myopic-no-ccs,tons,312251
GenX,SPPC,2030,base-short-myopic-no-ccs,tons,406623
GenX,SPPN,2030,base-short-myopic-no-ccs,tons,160197
GenX,SPPS,2030,base-short-myopic-no-ccs,tons,3.14784e+06
GenX,SRCA,2030,base-short-myopic-no-ccs,tons,1.05044e+07
GenX,SRCE,2030,base-short-myopic-no-ccs,tons,7.02432e+06
GenX,SRSE,2030,base-short-myopic-no-ccs,tons,1.77191e+07
GenX,SRSG,2030,base-short-myopic-no-ccs,tons,2.24278e+06
GenX,TRE,2030,base-short-myopic-no-ccs,tons,8.03834e+06
GenX,TRE_WEST,2030,base-short-myopic-no-ccs,tons,1.80854e+06
GenX,BASN,2040,base-short-myopic-no-ccs,tons,3.53872e+06
GenX,CANO,2040,base-short-myopic-no-ccs,tons,8.91997e+06
GenX,CASO,2040,base-short-myopic-no-ccs,tons,7.43724e+06
GenX,FRCC,2040,base-short-myopic-no-ccs,tons,2.14389e+07
GenX,ISNE,2040,base-short-myopic-no-ccs,tons,1.57519e+07
GenX,MISC,2040,base-short-myopic-no-ccs,tons,3.13089e+06
GenX,MISE,2040,base-short-myopic-no-ccs,tons,4.64976e+06
GenX,MISS,2040,base-short-myopic-no-ccs,tons,1.02506e+07
GenX,MISW,2040,base-short-myopic-no-ccs,tons,7.08952e+06
GenX,NWPP,2040,base-short-myopic-no-ccs,tons,2.2892e+06
GenX,NYCW,2040,base-short-myopic-no-ccs,tons,2.44863e+06
GenX,NYUP,2040,base-short-myopic-no-ccs,tons,3.49414e+06
GenX,PJMC,2040,base-short-myopic-no-ccs,tons,4.98497e+06
GenX,PJMD,2040,base-short-myopic-no-ccs,tons,3.953e+06
GenX,PJME,2040,base-short-myopic-no-ccs,tons,4.04952e+07
GenX,PJMW,2040,base-short-myopic-no-ccs,tons,1.82331e+07
GenX,RMRG,2040,base-short-myopic-no-ccs,tons,714162
GenX,SPPC,2040,base-short-myopic-no-ccs,tons,598063
GenX,SPPN,2040,base-short-myopic-no-ccs,tons,427523
GenX,SPPS,2040,base-short-myopic-no-ccs,tons,3.20735e+06
GenX,SRCA,2040,base-short-myopic-no-ccs,tons,1.03509e+07
GenX,SRCE,2040,base-short-myopic-no-ccs,tons,6.75948e+06
GenX,SRSE,2040,base-short-myopic-no-ccs,tons,1.50618e+07
GenX,SRSG,2040,base-short-myopic-no-ccs,tons,3.47865e+06
