model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2030,base-short-myopic-no-ccs,all,MWh,765114.4247931646
GenX,BASN,BASN_biomass_1,Other,2030,base-short-myopic-no-ccs,all,MWh,162489.59999999913
GenX,BASN,BASN_biomass_2,Other,2030,base-short-myopic-no-ccs,all,MWh,87360.0
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-no-ccs,all,MWh,7996814.878806914
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2030,base-short-myopic-no-ccs,all,MWh,233.58610524702607
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2030,base-short-myopic-no-ccs,all,MWh,311.00871156835706
GenX,BASN,BASN_geothermal_1,Geothermal,2030,base-short-myopic-no-ccs,all,MWh,3181492.0442672805
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,40388.469678771085
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,6040498.286410193
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,466.42594124591307
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,503.028236817928
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,6340.363465830288
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,298.84667729244114
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base-short-myopic-no-ccs,all,MWh,3277182.135107313
GenX,BASN,BASN_petroleum_liquids_1,Other,2030,base-short-myopic-no-ccs,all,MWh,65.32185966978804
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2030,base-short-myopic-no-ccs,all,MWh,1547145.600000027
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2030,base-short-myopic-no-ccs,all,MWh,16481584.262017416
GenX,CANO,CANO_batteries_1,Battery,2030,base-short-myopic-no-ccs,all,MWh,3307570.2767604277
GenX,CANO,CANO_biomass_1,Other,2030,base-short-myopic-no-ccs,all,MWh,1172371.2000000067
GenX,CANO,CANO_biomass_2,Other,2030,base-short-myopic-no-ccs,all,MWh,667430.399999993
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-no-ccs,all,MWh,17724536.027508892
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-no-ccs,all,MWh,5117531.017584143
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,90690.58201179354
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,18389960.25462053
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,543.638331770739
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,559.8703205605906
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,939.1228472287024
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,467.9268624423532
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base-short-myopic-no-ccs,all,MWh,2711941.704592566
GenX,CANO,CANO_petroleum_liquids_1,Other,2030,base-short-myopic-no-ccs,all,MWh,158.2338384958016
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2030,base-short-myopic-no-ccs,all,MWh,1882608.0
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2030,base-short-myopic-no-ccs,all,MWh,13084859.598221954
GenX,CASO,CASO_batteries_1,Battery,2030,base-short-myopic-no-ccs,all,MWh,10774235.364510484
GenX,CASO,CASO_biomass_1,Other,2030,base-short-myopic-no-ccs,all,MWh,995030.4000000084
GenX,CASO,CASO_biomass_2,Other,2030,base-short-myopic-no-ccs,all,MWh,137155.20000000123
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-no-ccs,all,MWh,2283245.2874109824
GenX,CASO,CASO_geothermal_1,Geothermal,2030,base-short-myopic-no-ccs,all,MWh,147712.80572018417
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-no-ccs,all,MWh,3845263.3771040062
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,73172.4191227439
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,16129255.06658134
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,559.525128344076
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,764.4467367937197
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,7291.601560730432
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,540.1257684278029
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2030,base-short-myopic-no-ccs,all,MWh,12683487.680315394
GenX,CASO,CASO_petroleum_liquids_1,Other,2030,base-short-myopic-no-ccs,all,MWh,101.58492782217267
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2030,base-short-myopic-no-ccs,all,MWh,635980.8000000127
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2030,base-short-myopic-no-ccs,all,MWh,30067972.539335582
GenX,FRCC,FRCC_batteries_1,Battery,2030,base-short-myopic-no-ccs,all,MWh,411747.2510872617
GenX,FRCC,FRCC_biomass_1,Other,2030,base-short-myopic-no-ccs,all,MWh,470870.40000000654
GenX,FRCC,FRCC_biomass_2,Other,2030,base-short-myopic-no-ccs,all,MWh,996777.5999999916
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-no-ccs,all,MWh,116496.48978413056
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2030,base-short-myopic-no-ccs,all,MWh,356.32215698257625
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2030,base-short-myopic-no-ccs,all,MWh,304.0303468426382
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-no-ccs,all,MWh,1973.4491707920024
