model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2030,base-short-myopic-no-ccs,MW,0.465121
GenX,2,BASN_to_CASO,2030,base-short-myopic-no-ccs,MW,0.049698
GenX,3,BASN_to_NWPP,2030,base-short-myopic-no-ccs,MW,0.0455641
GenX,4,BASN_to_RMRG,2030,base-short-myopic-no-ccs,MW,0.720987
GenX,5,BASN_to_SRSG,2030,base-short-myopic-no-ccs,MW,0.0117294
GenX,6,CANO_to_CASO,2030,base-short-myopic-no-ccs,MW,0.196062
GenX,7,CANO_to_NWPP,2030,base-short-myopic-no-ccs,MW,423.849
GenX,8,CASO_to_NWPP,2030,base-short-myopic-no-ccs,MW,0.0145428
GenX,9,CASO_to_SRSG,2030,base-short-myopic-no-ccs,MW,5441.92
GenX,10,FRCC_to_SRSE,2030,base-short-myopic-no-ccs,MW,0.138796
GenX,11,ISNE_to_NYCW,2030,base-short-myopic-no-ccs,MW,211.584
GenX,12,ISNE_to_NYUP,2030,base-short-myopic-no-ccs,MW,2972.54
GenX,13,MISC_to_MISE,2030,base-short-myopic-no-ccs,MW,6588.94
GenX,14,MISC_to_MISS,2030,base-short-myopic-no-ccs,MW,0.102474
GenX,15,MISC_to_MISW,2030,base-short-myopic-no-ccs,MW,0.0291309
GenX,16,MISC_to_PJMC,2030,base-short-myopic-no-ccs,MW,0.0907184
GenX,17,MISC_to_PJMW,2030,base-short-myopic-no-ccs,MW,19190.9
GenX,18,MISC_to_SPPC,2030,base-short-myopic-no-ccs,MW,13346.6
GenX,19,MISC_to_SPPN,2030,base-short-myopic-no-ccs,MW,9995.92
GenX,20,MISC_to_SPPS,2030,base-short-myopic-no-ccs,MW,11717.5
GenX,21,MISC_to_SRCE,2030,base-short-myopic-no-ccs,MW,0.020492
GenX,22,MISE_to_MISW,2030,base-short-myopic-no-ccs,MW,20.1661
GenX,23,MISE_to_PJMW,2030,base-short-myopic-no-ccs,MW,0.0480543
GenX,24,MISS_to_SPPC,2030,base-short-myopic-no-ccs,MW,8021.83
GenX,25,MISS_to_SPPS,2030,base-short-myopic-no-ccs,MW,16969.7
GenX,26,MISS_to_SRCE,2030,base-short-myopic-no-ccs,MW,0.13225
GenX,27,MISS_to_SRSE,2030,base-short-myopic-no-ccs,MW,9999.85
GenX,28,MISW_to_NWPP,2030,base-short-myopic-no-ccs,MW,0.127611
