Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,2.6180395293727206e11,7.584665131927125e9,5.536236269021072e9,6.61857236574703e9,1.599058837121984e10,1.1487006816269714e10,8.424381470347038e9,5.607795154087335e9,5.567985920237769e9,1.2737294999224161e10,6.757196506526464e9,6.29108189197867e8,5.24384612065341e9,5.416953453002611e9,8.574998957242022e9,1.3342714075582035e10,1.5672468456552216e10,8.024112453136255e9,4.844568944848621e9,3.4096546900573974e9,1.3293618791646282e10,1.2496009919530056e10,1.156132153960631e10,1.0837506389181776e10,6.823908254558919e9,1.917804446965593e10,4.805201216400758e9
cFix,2.0479794182951987e11,7.24426355906e9,4.78613111869e9,5.997222329550001e9,1.357570457056e10,9.76449419338e9,7.981497901700001e9,5.12494818278e9,4.04392830443e9,1.199900207208e10,6.389197725639999e9,4.2519494664e8,4.7920828124e9,4.2932320888e9,7.95226440513e9,9.49467280884e9,1.3724329156550001e10,7.94967683966e9,4.71258324302e9,3.3318794030099998e9,1.2899891888689999e10,1.069777248019e10,1.021721646142e10,8.712881564429998e9,6.18265074271e9,1.7890416711800003e10,4.61480631836e9
cVar,4.106270137017919e9,3.730809105393946e7,8.494488652442299e7,7.384802054457742e7,3.632538037155758e8,1.7002400181997508e8,8.069761719863568e7,7.714748458287232e7,2.332894316649776e8,1.2970089887314871e8,5.540282970184229e7,2.7492419771056466e7,9.488177597284365e7,2.4815296820246905e8,1.1914166237148336e8,6.404643579987426e8,3.430648664422212e8,7.66408715546082e6,2.6262961987235527e7,1.5444426333407354e7,4.863467389327891e7,3.4347015565194684e8,2.4124102192701393e8,3.2489982615746325e8,1.0705885580601014e8,1.8895721087679744e8,2.3821800790555034e7
cFuel,2.1181674839865723e10,3.029332586066391e8,6.649985942962936e8,5.473539627111214e8,2.0514403634964118e9,1.176970611084383e9,3.619945431707059e8,4.0553219938238347e8,1.2905810521450963e9,6.083788427931372e8,3.1243957559885347e8,1.7625776079964423e8,3.567427078592766e8,8.754094401926526e8,5.0341657689022505e8,3.2073451165490646e9,1.6048815512822556e9,6.661117555918716e7,1.0552141716252404e8,6.2155319601142935e7,3.4492699050034875e8,1.45458851560169e9,1.1026806179680946e9,1.7995464262876673e9,5.3405264909912765e8,1.098462346209306e9,1.6645322501634368e8
cNSE,3.7575899900791043e8,16226.835943543661,16099.22041132303,17345.494437852314,16990.912540928137,3.753419732834749e8,16135.636142410898,15422.875398183942,15948.830111766565,17657.1542282278,16936.03531837735,18884.83969169891,14195.753685039364,15175.161757401967,15385.69567973599,19761.21845839245,17695.577812327054,17981.304025286026,17229.044304285726,16065.044597276854,18703.72883713664,17141.313341366647,16826.01202337373,16884.838285986563,15568.93434815882,18094.772229773476,12669.490823004562
cStart,4.1131200505653196e6,143996.3706028588,145570.28994494394,130707.44689344222,172642.5353080021,176036.70188227433,175272.64155452413,151864.46668069833,171183.1675837251,195528.3236452642,139439.5504502379,144177.14747450012,124628.66760519284,143780.6457321273,160927.15463327727,212030.9757675762,175186.69992489932,142369.4575821776,184093.63455745418,159476.06824991002,146534.8338175322,161626.77307671658,166612.27917752624,161687.46835992753,130438.009432734,190105.99759174895,107202.7430359239
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,3.1338194011790432e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
