model,zone,planning_year,case,unit,value
SWITCH,BASN,2030,base_short_no_ccs,kg,1380901390.0925457
SWITCH,CANO,2030,base_short_no_ccs,kg,1561198450.1580985
SWITCH,CASO,2030,base_short_no_ccs,kg,3972695012.653366
SWITCH,FRCC,2030,base_short_no_ccs,kg,24753215701.53834
SWITCH,ISNE,2030,base_short_no_ccs,kg,11238860323.789827
SWITCH,MISC,2030,base_short_no_ccs,kg,2415340475.370441
SWITCH,MISE,2030,base_short_no_ccs,kg,4536760545.471053
SWITCH,MISS,2030,base_short_no_ccs,kg,10486728790.280579
SWITCH,MISW,2030,base_short_no_ccs,kg,6655459913.106925
SWITCH,NWPP,2030,base_short_no_ccs,kg,322178793.7130537
SWITCH,NYCW,2030,base_short_no_ccs,kg,2827117751.6160765
SWITCH,NYUP,2030,base_short_no_ccs,kg,3426120945.2577524
SWITCH,PJMC,2030,base_short_no_ccs,kg,4628967448.687745
SWITCH,PJMD,2030,base_short_no_ccs,kg,4591100841.56601
SWITCH,PJME,2030,base_short_no_ccs,kg,37032891892.12064
SWITCH,PJMW,2030,base_short_no_ccs,kg,19520985864.554638
SWITCH,RMRG,2030,base_short_no_ccs,kg,226800210.44361523
SWITCH,SPPC,2030,base_short_no_ccs,kg,464943646.3668685
SWITCH,SPPN,2030,base_short_no_ccs,kg,147579902.12361768
SWITCH,SPPS,2030,base_short_no_ccs,kg,3090922887.182556
SWITCH,SRCA,2030,base_short_no_ccs,kg,9483211895.50485
SWITCH,SRCE,2030,base_short_no_ccs,kg,6044893294.20102
SWITCH,SRSE,2030,base_short_no_ccs,kg,16231406431.899885
SWITCH,SRSG,2030,base_short_no_ccs,kg,1955309087.6066701
SWITCH,TRE,2030,base_short_no_ccs,kg,7191740683.905408
SWITCH,TRE_WEST,2030,base_short_no_ccs,kg,1812667820.779352
SWITCH,BASN,2040,base_short_no_ccs,kg,2060896833.5642624
SWITCH,CANO,2040,base_short_no_ccs,kg,2874427310.1174026
SWITCH,CASO,2040,base_short_no_ccs,kg,4436020583.876261
SWITCH,FRCC,2040,base_short_no_ccs,kg,17132470152.241577
SWITCH,ISNE,2040,base_short_no_ccs,kg,15657508776.151817
SWITCH,MISC,2040,base_short_no_ccs,kg,2664053686.4887247
SWITCH,MISE,2040,base_short_no_ccs,kg,2743130175.749962
SWITCH,MISS,2040,base_short_no_ccs,kg,8494837714.97811
SWITCH,MISW,2040,base_short_no_ccs,kg,6533343782.733493
SWITCH,NWPP,2040,base_short_no_ccs,kg,1218138829.1658797
SWITCH,NYCW,2040,base_short_no_ccs,kg,2926031893.7841077
SWITCH,NYUP,2040,base_short_no_ccs,kg,2734450044.827454
SWITCH,PJMC,2040,base_short_no_ccs,kg,4325731088.36792
SWITCH,PJMD,2040,base_short_no_ccs,kg,3178670732.821556
SWITCH,PJME,2040,base_short_no_ccs,kg,38983180494.41669
SWITCH,PJMW,2040,base_short_no_ccs,kg,16113116573.075918
SWITCH,RMRG,2040,base_short_no_ccs,kg,542866849.6608588
SWITCH,SPPC,2040,base_short_no_ccs,kg,460532118.5962941
SWITCH,SPPN,2040,base_short_no_ccs,kg,298830130.71287465
SWITCH,SPPS,2040,base_short_no_ccs,kg,2555289605.365564
SWITCH,SRCA,2040,base_short_no_ccs,kg,7514875478.666087
SWITCH,SRCE,2040,base_short_no_ccs,kg,5419690659.7951
SWITCH,SRSE,2040,base_short_no_ccs,kg,12840786341.606321
SWITCH,SRSG,2040,base_short_no_ccs,kg,2210953056.219646
SWITCH,TRE,2040,base_short_no_ccs,kg,7307151200.226662
SWITCH,TRE_WEST,2040,base_short_no_ccs,kg,1252771281.7827077
SWITCH,BASN,2050,base_short_no_ccs,kg,2820231281.4574656
SWITCH,CANO,2050,base_short_no_ccs,kg,5157145451.560596
SWITCH,CASO,2050,base_short_no_ccs,kg,7563075917.507448
SWITCH,FRCC,2050,base_short_no_ccs,kg,22079659612.442234
SWITCH,ISNE,2050,base_short_no_ccs,kg,15174099454.260921
SWITCH,MISC,2050,base_short_no_ccs,kg,3276369427.7112207
SWITCH,MISE,2050,base_short_no_ccs,kg,5355416492.694569
SWITCH,MISS,2050,base_short_no_ccs,kg,9116261294.083479
SWITCH,MISW,2050,base_short_no_ccs,kg,7359668503.924977
SWITCH,NWPP,2050,base_short_no_ccs,kg,1660093015.3476293
SWITCH,NYCW,2050,base_short_no_ccs,kg,3356012631.5048385
SWITCH,NYUP,2050,base_short_no_ccs,kg,2957565835.7208257
SWITCH,PJMC,2050,base_short_no_ccs,kg,5081602402.42167
SWITCH,PJMD,2050,base_short_no_ccs,kg,3328856559.863778
SWITCH,PJME,2050,base_short_no_ccs,kg,40682927829.352066
SWITCH,PJMW,2050,base_short_no_ccs,kg,15625874605.030333
SWITCH,RMRG,2050,base_short_no_ccs,kg,736692676.2227201
SWITCH,SPPC,2050,base_short_no_ccs,kg,620101392.9503938
SWITCH,SPPN,2050,base_short_no_ccs,kg,470454128.9176249
SWITCH,SPPS,2050,base_short_no_ccs,kg,2847596907.3367305
SWITCH,SRCA,2050,base_short_no_ccs,kg,10794039346.996347
SWITCH,SRCE,2050,base_short_no_ccs,kg,5993695175.222618
SWITCH,SRSE,2050,base_short_no_ccs,kg,13748645515.54694
SWITCH,SRSG,2050,base_short_no_ccs,kg,2844001307.0352488
SWITCH,TRE,2050,base_short_no_ccs,kg,8259466325.680951
SWITCH,TRE_WEST,2050,base_short_no_ccs,kg,1255307637.9835181
