Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.7943988750835544e11,5.159251890491174e9,2.7491944832058616e9,3.054875918883316e9,9.577176636218431e9,7.338610477854058e9,7.421563860573021e9,3.221337037782162e9,5.305722740991993e9,9.460753510541553e9,5.376870877657283e9,7.827301399304982e8,4.73422966907813e9,4.2260406724054956e9,4.631013216623105e9,1.046393803910933e10,1.0568807748647345e10,6.086427942664704e9,4.700915547411472e9,2.935660003150351e9,9.34367441850905e9,9.152922290848148e9,9.821513733029385e9,1.0188433157210278e10,4.754882317297957e9,1.2683945830105608e10,3.6866343186052456e9
cFix,1.4185117156719995e11,4.7081079408e9,2.0100626831e9,2.3381816441e9,6.471380311200001e9,6.4124155694e9,6.9964372535e9,2.7110650297000003e9,3.8055509829e9,8.6380882425e9,5.1162504341e9,5.74216811e8,4.162348524e9,3.125190918e9,3.768730784200001e9,7.179403656999999e9,8.3272907498e9,6.045006402999999e9,4.5846118728e9,2.8746040333e9,8.956782417999998e9,7.2937477872e9,8.6352323693e9,8.1685623963e9,4.1244989268999996e9,1.13565517671e10,3.4668520580000005e9
cVar,4.240398124368142e9,5.0121463045240544e7,8.677721912430997e7,7.987988620454435e7,4.049220753697359e8,1.519790762424653e8,7.850099433161883e7,7.88814534533156e7,2.4478671331304285e8,1.36635422247337e8,4.8376700415945984e7,3.065525607187594e7,1.1752714447540025e8,2.4814109067204475e8,1.4404289301179415e8,6.064964748623412e8,3.717826872822677e8,4.686485052095321e6,2.5572498671439674e7,1.4659967103823207e7,5.043505009021559e7,3.6172185739934045e8,2.3439173249797973e8,3.3072021800384605e8,1.069768726307163e8,2.0249795726708525e8,2.922893552799672e7
cFuel,2.1335164504687016e10,4.0100767519711477e8,6.523396125404083e8,6.36798271358696e8,2.7008590969343305e9,7.742002862633555e8,3.4661053761254907e8,4.3137555484066236e8,1.2553702024860437e9,6.860145780652176e8,2.122274908475952e8,1.77841239073642e8,4.543394427450032e8,8.526937741599216e8,7.182244037353789e8,2.6780222590338736e9,1.8697188836014783e9,3.672057112508473e7,9.071675304839547e7,4.638192180638706e7,3.364423018956357e8,1.4974375251367874e9,9.518743788654629e8,1.6891354834561107e9,5.2339148095811063e8,1.1248806609221766e9,1.9054011897959352e8
cNSE,392282.5681287782,14811.448817973767,14968.441143621492,16117.220075823114,15152.71436500975,15545.94823734193,15075.128853057231,14999.788184161253,14842.29290680593,15267.728999742765,16252.293741685524,16833.784980188288,14557.85772684294,14889.573529839952,15135.675931663727,15648.213116526387,15427.963598760347,14483.48752519447,14422.891637019124,14080.940140518871,14648.523199920171,15121.112021620362,15252.36594149249,15059.450322985376,15036.809131415908,15444.81634481225,13206.097654747107
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.144438693708171e7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,1.2001316642612616e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
