model,line_name,planning_year,case,unit,value
USENSYS,BASN_to_CANO,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_CASO,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_NWPP,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_RMRG,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_SRSG,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_CASO,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_NWPP,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,1271.001
USENSYS,CASO_to_NWPP,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,CASO_to_SRSG,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,6126
USENSYS,FRCC_to_SRSE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,5792
USENSYS,ISNE_to_NYCW,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,383
USENSYS,ISNE_to_NYUP,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,4841
USENSYS,MISC_to_MISS,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISW,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMC,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMW,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,16067
USENSYS,MISC_to_SPPC,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,12080
USENSYS,MISC_to_SPPS,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,11720
USENSYS,MISC_to_SRCE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISE_to_PJMW,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SPPS,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,16970
USENSYS,MISS_to_SRCE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SRSE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,10000
USENSYS,MISW_to_NWPP,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISW_to_PJMC,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,6993
USENSYS,MISW_to_SPPN,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,NWPP_to_RMRG,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,4344
USENSYS,NYCW_to_NYUP,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,1684
USENSYS,NYCW_to_PJME,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,4754
USENSYS,NYUP_to_PJME,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,6223
USENSYS,PJMC_to_PJMW,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,8631
USENSYS,PJMD_to_PJME,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,4544
USENSYS,PJMD_to_PJMW,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,PJMD_to_SRCA,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,PJME_to_PJMW,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,6469
USENSYS,PJMW_to_SRCA,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,PJMW_to_SRCE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,1652
USENSYS,RMRG_to_SPPC,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,10000
USENSYS,RMRG_to_SPPN,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,4947
USENSYS,RMRG_to_SRSG,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,3734
USENSYS,SPPC_to_SPPN,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,11
USENSYS,SPPC_to_SPPS,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,2804
USENSYS,SPPS_to_SRSG,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,5540
USENSYS,SPPS_to_TRE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,10000
USENSYS,SPPS_to_TRE_WEST,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,10000
USENSYS,SRCA_to_SRCE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,3478
USENSYS,SRCA_to_SRSE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,SRCE_to_SRSE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,2230
USENSYS,TRE_to_TRE_WEST,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,7281
USENSYS,MISC_to_SPPN,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,8234
USENSYS,MISE_to_MISW,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,17
USENSYS,MISS_to_SPPC,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,7134
USENSYS,MISW_to_SPPC,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,772
USENSYS,NWPP_to_SPPN,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,745
USENSYS,SPPN_to_SPPS,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,6997
USENSYS,SRSG_to_TRE,2030,26z-short-no-ccs_w10_h168_1680w_myopic,MW,5818
USENSYS,BASN_to_CANO,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_CASO,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_NWPP,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_RMRG,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,1239
USENSYS,BASN_to_SRSG,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_CASO,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_NWPP,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,1153
USENSYS,CASO_to_NWPP,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,CASO_to_SRSG,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,4337
USENSYS,FRCC_to_SRSE,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,3170
USENSYS,ISNE_to_NYCW,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,863
USENSYS,ISNE_to_NYUP,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,5551
USENSYS,MISC_to_MISE,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,2654
USENSYS,MISC_to_MISS,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISW,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMC,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMW,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,15419
USENSYS,MISC_to_SPPC,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,10982
USENSYS,MISC_to_SPPN,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,6401
USENSYS,MISC_to_SPPS,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,11720
USENSYS,MISC_to_SRCE,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISE_to_MISW,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,131
USENSYS,MISE_to_PJMW,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SPPC,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,2055
USENSYS,MISS_to_SPPS,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,16970
USENSYS,MISS_to_SRCE,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SRSE,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,10000
USENSYS,MISW_to_NWPP,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,MISW_to_PJMC,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,9606
USENSYS,MISW_to_SPPC,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,578
USENSYS,MISW_to_SPPN,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,NWPP_to_RMRG,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,NYCW_to_NYUP,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,0
USENSYS,NYCW_to_PJME,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,3108
USENSYS,NYUP_to_PJME,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,4272
USENSYS,PJMC_to_PJMW,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,6888
USENSYS,PJMD_to_PJME,2040,26z-short-no-ccs_w10_h168_1680w_myopic,MW,3478
