Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,128419.1999999978,14.7,0.9999999999999829
BASN_biomass_2,1,87360.0,10.0,1.0
BASN_conventional_hydroelectric_1,1,5.863300046151966e6,1773.8,0.37837709906599176
BASN_conventional_steam_coal_1,1,500.89035319655113,51.0,0.001124242155957209
BASN_conventional_steam_coal_2,1,810.7213494533985,2040.2,4.548688965424761e-5
BASN_geothermal_1,1,2.2830330213883584e6,287.4,0.909311751925004
BASN_natural_gas_fired_combined_cycle_1,1,48623.27372622782,433.0,0.01285415919214797
BASN_natural_gas_fired_combined_cycle_2,1,4.383725033420951e6,7113.9,0.07053796464940909
BASN_natural_gas_fired_combustion_turbine_1,1,1006.8747425051929,1902.9,6.056850514317606e-5
BASN_natural_gas_fired_combustion_turbine_2,1,853.080097660874,236.2,0.0004134255295521941
BASN_natural_gas_internal_combustion_engine_1,1,24463.28919013742,221.4,0.012648080102838652
BASN_natural_gas_steam_turbine_1,1,1127.8684742780201,5.0,0.025821164704167128
BASN_onshore_wind_turbine_1,1,2.7221667689524125e6,1454.0,0.21430766089192602
BASN_petroleum_liquids_1,1,83.70714175419731,13.6,0.0007045486370983264
BASN_small_hydroelectric_1,1,1.4449343999999694e6,165.4,0.9999999999999788
BASN_solar_photovoltaic_1,1,1.5631742717393922e7,7922.7,0.2258507628118601
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,355555.2000000079,40.7,1.0000000000000222
CANO_biomass_2,2,235872.0,27.0,1.0
CANO_conventional_hydroelectric_1,2,1.7770035854341228e7,6904.5,0.2946072598765223
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,6.103001985594125e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,152831.5758079986,3112.8,0.005620167353420964
CANO_natural_gas_fired_combined_cycle_2,2,5.189901526214378e6,8296.9,0.07160290402571882
CANO_natural_gas_fired_combustion_turbine_1,2,1053.8936031473584,1994.9,6.047320869380831e-5
CANO_natural_gas_fired_combustion_turbine_2,2,1171.2498441498296,1510.0,8.87891653438182e-5
CANO_natural_gas_internal_combustion_engine_1,2,34848.43850330251,444.4,0.00897628529249796
CANO_natural_gas_steam_turbine_1,2,718.2289308651702,2.9,0.0283499483258009
CANO_nuclear_1,2,0.0,0.0,0.0
