Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.22309643604399e11,1.0208200560219229e10,9.447054455376244e9,1.1255708535737411e10,2.001415114304888e10,1.3161230792943998e10,1.4133837678677317e10,6.524092179015565e9,1.1233605603922546e10,1.6365810284282463e10,1.137842957918241e10,1.3807692664991586e9,6.826816527242582e9,5.8665926167271805e9,9.086870447915771e9,1.2865522143088196e10,2.676995785507231e10,1.0556117049369339e10,4.786756506992714e9,4.0635146113742666e9,1.160455204719489e10,1.541652298022744e10,1.3619565055626955e10,1.5965720014451149e10,9.45828473740514e9,2.1964959762702972e10,4.179748578736848e9
cFix,2.5474973268521994e11,9.99978079349e9,8.4028679276e9,8.91272966977e9,1.44065919544e10,1.218241169643e10,1.118653843753e10,5.433307681649999e9,8.562046697360002e9,1.393275132133e10,1.076179114231e10,1.3250781211300004e9,6.497600788289998e9,4.88702955522e9,8.6492601031e9,1.0114447096150002e10,1.93700182096e10,1.0537327289559998e10,4.672466348619999e9,3.99079133236e9,1.136414488774e10,1.1793122034659998e10,1.2248475207090002e10,1.284905700148e10,9.02987651432e9,1.9553910332079998e10,4.0863105419500003e9
cVar,1.0940835116304987e10,2.34825710972058e7,2.157791910585762e8,6.030067941353881e8,1.3404250171814475e9,1.3741708553465804e8,9.128919853122104e8,3.148648486669866e8,6.732323508498808e8,7.320357940362164e8,1.256237210743259e8,8.741011838327456e6,6.933410609918126e7,2.349092151952554e8,1.0810559251285896e8,5.002932556676135e8,2.2748481916225276e9,6.848518160616405e6,2.9542420353962462e7,2.040046672468716e7,2.970862196120088e7,8.839144283986981e8,3.268338874904886e8,6.831434731581075e8,1.0012832452911249e8,5.74756711936519e8,1.0567531708365956e7
cFuel,2.997590177226534e10,1.6205017887048438e8,7.30428323892781e8,1.6268985640225763e9,3.8555797942642927e9,7.574412612280153e8,1.8928178138086133e9,7.170904575775195e8,1.8408805692969956e9,1.5932962992008092e9,4.502178026501864e8,3.996487611838211e7,2.4581593526564193e8,7.070194676069647e8,3.156712618411047e8,2.0648984535492578e9,4.797153172892133e9,1.0152498946332993e7,7.793325092157932e7,4.857483882867169e7,1.81677331088497e8,2.5894314430511923e9,9.61630123358918e8,2.2604024136229715e9,2.9889855670477223e8,1.6791716804918666e9,7.080540316612428e7
cNSE,567812.6613390461,21520.118357740543,21502.983978611508,21751.411446888767,22033.671203051625,21712.660774557316,21658.408165686255,21878.49106885456,21690.490481410732,22046.2514138034,21708.885464156356,21557.570779327005,21464.617733872936,21569.174764171676,21561.52507890925,22575.53876313542,22453.43909668348,21571.26947159664,21450.812287959692,21414.5156995033,21544.2704768003,21840.955259123475,21868.78139577958,22132.16548842786,21527.197381187645,24258.894166333346,21518.561141477974
cStart,2.467353626580501e9,2.2865496643182002e7,9.795750984090737e7,1.1305175639799953e8,4.1153234353194153e8,8.393903709054787e7,1.4156778361832768e8,5.880731262999179e7,1.5742429592518803e8,1.0770482346402414e8,4.077520426243361e7,6.963699841669596e6,1.4044232970026558e7,3.761280953019549e7,1.3811928936729867e7,1.8586076218255937e8,3.279158275185551e8,1.767171432920823e6,6.793036284885356e6,3.726558945208222e6,2.8999662134716105e7,1.5003323316229162e8,8.260396890615194e7,1.730949940245844e8,2.9359814653874524e7,1.5709677930042544e8,1.2043583351215817e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,2.4175252591346832e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
