model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2030,base-short-myopic-200-reserves,MW,100,100.088
GenX,2,BASN_to_CASO,2030,base-short-myopic-200-reserves,MW,5920,5920.12
GenX,3,BASN_to_NWPP,2030,base-short-myopic-200-reserves,MW,3350,3350.05
GenX,4,BASN_to_RMRG,2030,base-short-myopic-200-reserves,MW,3750,4451.72
GenX,5,BASN_to_SRSG,2030,base-short-myopic-200-reserves,MW,5385,5385.02
GenX,6,CANO_to_CASO,2030,base-short-myopic-200-reserves,MW,3675,3675.16
GenX,7,CANO_to_NWPP,2030,base-short-myopic-200-reserves,MW,3675,3675.08
GenX,8,CASO_to_NWPP,2030,base-short-myopic-200-reserves,MW,2858,2858.04
GenX,9,CASO_to_SRSG,2030,base-short-myopic-200-reserves,MW,4354,7967.93
GenX,10,FRCC_to_SRSE,2030,base-short-myopic-200-reserves,MW,3600,3600.18
GenX,11,ISNE_to_NYCW,2030,base-short-myopic-200-reserves,MW,760,786.742
GenX,12,ISNE_to_NYUP,2030,base-short-myopic-200-reserves,MW,1400,8158.41
GenX,13,MISC_to_MISE,2030,base-short-myopic-200-reserves,MW,0,4053.4
GenX,14,MISC_to_MISS,2030,base-short-myopic-200-reserves,MW,1039,1039.07
GenX,15,MISC_to_MISW,2030,base-short-myopic-200-reserves,MW,1655,1655.01
GenX,16,MISC_to_PJMC,2030,base-short-myopic-200-reserves,MW,5244,5244.1
GenX,17,MISC_to_PJMW,2030,base-short-myopic-200-reserves,MW,5441,10939.6
GenX,18,MISC_to_SPPC,2030,base-short-myopic-200-reserves,MW,1430,5046.14
GenX,19,MISC_to_SPPN,2030,base-short-myopic-200-reserves,MW,0,5942.18
GenX,20,MISC_to_SPPS,2030,base-short-myopic-200-reserves,MW,1172,10865.9
GenX,21,MISC_to_SRCE,2030,base-short-myopic-200-reserves,MW,3745,3745.08
GenX,22,MISE_to_MISW,2030,base-short-myopic-200-reserves,MW,0,24.6369
GenX,23,MISE_to_PJMW,2030,base-short-myopic-200-reserves,MW,2662,2662.09
