model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2030,base-short-myopic-200-reserves,MW,0.228292
GenX,2,BASN_to_CASO,2030,base-short-myopic-200-reserves,MW,0.0147643
GenX,3,BASN_to_NWPP,2030,base-short-myopic-200-reserves,MW,0.0191648
GenX,4,BASN_to_RMRG,2030,base-short-myopic-200-reserves,MW,713.611
GenX,5,BASN_to_SRSG,2030,base-short-myopic-200-reserves,MW,0.0756751
GenX,6,CANO_to_CASO,2030,base-short-myopic-200-reserves,MW,0.920746
GenX,7,CANO_to_NWPP,2030,base-short-myopic-200-reserves,MW,0.0515603
GenX,8,CASO_to_NWPP,2030,base-short-myopic-200-reserves,MW,0.0254111
GenX,9,CASO_to_SRSG,2030,base-short-myopic-200-reserves,MW,3618.42
GenX,10,FRCC_to_SRSE,2030,base-short-myopic-200-reserves,MW,0.00145095
GenX,11,ISNE_to_NYCW,2030,base-short-myopic-200-reserves,MW,25.0799
GenX,12,ISNE_to_NYUP,2030,base-short-myopic-200-reserves,MW,6769.81
GenX,13,MISC_to_MISE,2030,base-short-myopic-200-reserves,MW,4049.96
GenX,14,MISC_to_MISS,2030,base-short-myopic-200-reserves,MW,0.000423645
GenX,15,MISC_to_MISW,2030,base-short-myopic-200-reserves,MW,0.156637
GenX,16,MISC_to_PJMC,2030,base-short-myopic-200-reserves,MW,0.0266279
GenX,17,MISC_to_PJMW,2030,base-short-myopic-200-reserves,MW,5496.62
GenX,18,MISC_to_SPPC,2030,base-short-myopic-200-reserves,MW,3638.74
GenX,19,MISC_to_SPPN,2030,base-short-myopic-200-reserves,MW,5931.18
GenX,20,MISC_to_SPPS,2030,base-short-myopic-200-reserves,MW,9703.88
GenX,21,MISC_to_SRCE,2030,base-short-myopic-200-reserves,MW,0.0398011
GenX,22,MISE_to_MISW,2030,base-short-myopic-200-reserves,MW,17.6223
GenX,23,MISE_to_PJMW,2030,base-short-myopic-200-reserves,MW,0.160165
GenX,24,MISS_to_SPPC,2030,base-short-myopic-200-reserves,MW,6007.73
GenX,25,MISS_to_SPPS,2030,base-short-myopic-200-reserves,MW,16970
GenX,26,MISS_to_SRCE,2030,base-short-myopic-200-reserves,MW,0.223529
GenX,27,MISS_to_SRSE,2030,base-short-myopic-200-reserves,MW,9286.3
GenX,28,MISW_to_NWPP,2030,base-short-myopic-200-reserves,MW,0.107342
GenX,29,MISW_to_PJMC,2030,base-short-myopic-200-reserves,MW,1033.32
GenX,30,MISW_to_SPPC,2030,base-short-myopic-200-reserves,MW,201.051
GenX,31,MISW_to_SPPN,2030,base-short-myopic-200-reserves,MW,0.0210211
GenX,32,NWPP_to_RMRG,2030,base-short-myopic-200-reserves,MW,3330.72
GenX,33,NYCW_to_NYUP,2030,base-short-myopic-200-reserves,MW,0.0167059
GenX,34,NYCW_to_PJME,2030,base-short-myopic-200-reserves,MW,7189.31
GenX,35,NYUP_to_PJME,2030,base-short-myopic-200-reserves,MW,5652.87
GenX,36,PJMC_to_PJMW,2030,base-short-myopic-200-reserves,MW,3951.37
GenX,37,PJMD_to_PJME,2030,base-short-myopic-200-reserves,MW,4943.06
GenX,38,PJMD_to_PJMW,2030,base-short-myopic-200-reserves,MW,0.055119
GenX,39,PJMD_to_SRCA,2030,base-short-myopic-200-reserves,MW,0.0862677
GenX,40,PJME_to_PJMW,2030,base-short-myopic-200-reserves,MW,2191.17
GenX,41,PJMW_to_SRCA,2030,base-short-myopic-200-reserves,MW,0.000206047
GenX,42,PJMW_to_SRCE,2030,base-short-myopic-200-reserves,MW,0.0205218
GenX,43,RMRG_to_SPPC,2030,base-short-myopic-200-reserves,MW,9999.7
GenX,44,RMRG_to_SPPN,2030,base-short-myopic-200-reserves,MW,4381.05
GenX,45,RMRG_to_SRSG,2030,base-short-myopic-200-reserves,MW,4788.38
GenX,46,SPPC_to_SPPN,2030,base-short-myopic-200-reserves,MW,1552.43
GenX,47,SPPC_to_SPPS,2030,base-short-myopic-200-reserves,MW,0.409591
GenX,48,SPPN_to_SPPS,2030,base-short-myopic-200-reserves,MW,5030.03
GenX,49,SPPS_to_SRSG,2030,base-short-myopic-200-reserves,MW,2868.25
GenX,50,SPPS_to_TRE,2030,base-short-myopic-200-reserves,MW,9999.71
GenX,51,SPPS_to_TRE_WEST,2030,base-short-myopic-200-reserves,MW,9999.87
GenX,52,SRCA_to_SRCE,2030,base-short-myopic-200-reserves,MW,0.455658
GenX,53,SRCA_to_SRSE,2030,base-short-myopic-200-reserves,MW,0.0154242
GenX,54,SRCE_to_SRSE,2030,base-short-myopic-200-reserves,MW,0.102898
GenX,55,TRE_to_TRE_WEST,2030,base-short-myopic-200-reserves,MW,0.159055
GenX,56,NWPP_to_SPPN,2030,base-short-myopic-200-reserves,MW,36.1142
GenX,57,SRSG_to_TRE,2030,base-short-myopic-200-reserves,MW,8915.17
GenX,1,BASN_to_CANO,2040,base-short-myopic-200-reserves,MW,0.713468
GenX,2,BASN_to_CASO,2040,base-short-myopic-200-reserves,MW,0.00791379
GenX,3,BASN_to_NWPP,2040,base-short-myopic-200-reserves,MW,0.00316981
