Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,765375.0371736258,909.58,0.0
BASN_biomass_1,1,162140.15999999386,18.56,0.9999999999999624
BASN_biomass_2,1,86923.19999999783,9.95,0.999999999999975
BASN_conventional_hydroelectric_1,1,8.395357836697372e6,2566.23,0.3744820528076324
BASN_conventional_steam_coal_1,1,207.59689485352717,7.49,0.0031726810175094137
BASN_conventional_steam_coal_2,1,271.37596628321984,15.95,0.0019475923952715377
BASN_geothermal_1,1,3.3569649489313634e6,432.64,0.8881933380315107
BASN_natural_gas_fired_combined_cycle_1,1,8719.272067587004,219.16,0.004554139316352311
BASN_natural_gas_fired_combined_cycle_2,1,6.214164181651794e6,7079.81,0.10047279764524349
BASN_natural_gas_fired_combustion_turbine_1,1,10631.878969608504,410.89,0.002961909788073417
BASN_natural_gas_fired_combustion_turbine_2,1,3136.7349221341797,111.11,0.0032315586776755605
BASN_natural_gas_internal_combustion_engine_1,1,6365.709316785249,53.96,0.013503994014664168
BASN_natural_gas_steam_turbine_1,1,219.95466229795142,12.3,0.0020469886526730935
BASN_onshore_wind_turbine_1,1,3.875858963822881e6,2029.9300000000003,0.21856180973249068
BASN_petroleum_liquids_1,1,62.82085017716446,19.18,0.0003749234298617664
BASN_small_hydroelectric_1,1,1.5468835200000305e6,177.07,1.0000000000000198
BASN_solar_photovoltaic_1,1,1.6451741049288042e7,7995.41,0.23553665371104257
CANO_batteries_1,2,3.400151783228437e6,2645.53,0.0
CANO_biomass_1,2,1.171060800000007e6,134.05,1.0000000000000058
CANO_biomass_2,2,665159.0400000394,76.14,1.000000000000059
CANO_conventional_hydroelectric_1,2,1.7497112129587285e7,6973.43,0.2872151232547328
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,6.254738102653319e6,2276.24,0.0
CANO_natural_gas_fired_combined_cycle_1,2,8916.9276038795,97.26,0.01049465944239316
CANO_natural_gas_fired_combined_cycle_2,2,1.0708572483232863e7,8277.23,0.14809279580707485
CANO_natural_gas_fired_combustion_turbine_1,2,5509.409286011811,204.37,0.003085853231217837
CANO_natural_gas_fired_combustion_turbine_2,2,3069.018947407173,106.71,0.003292166750474452
CANO_natural_gas_internal_combustion_engine_1,2,2210.888708951183,43.62,0.005801878037154418
CANO_natural_gas_steam_turbine_1,2,572.074781598741,2.85,0.022977105488028605
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,2.302594921276343e6,1441.91,0.1827960316318476
CANO_petroleum_liquids_1,2,120.25255328568538,33.02,0.0004168738105419146
CANO_small_hydroelectric_1,2,1.8819091199999943e6,215.42,0.9999999999999971
CANO_solar_photovoltaic_1,2,1.3343977094842145e7,6325.99,0.24145942461893197
CASO_batteries_1,3,1.0685053076293552e7,8944.66,0.0
CASO_biomass_1,3,993982.0800000475,113.78,1.0000000000000477
CASO_biomass_2,3,136368.9599999981,15.61,0.999999999999986
CASO_conventional_hydroelectric_1,3,2.229588864681014e6,970.95,0.2628544266671408
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,170194.3043502665,23.52,0.8283141478759918
CASO_hydroelectric_pumped_storage_1,3,4.352272004926954e6,1664.5,0.0
CASO_natural_gas_fired_combined_cycle_1,3,6355.053985859724,114.17,0.00637168970307168
CASO_natural_gas_fired_combined_cycle_2,3,1.3445645164505882e7,7453.66,0.2064901986449968
CASO_natural_gas_fired_combustion_turbine_1,3,4986.228451924144,152.47,0.0037434768077267704
CASO_natural_gas_fired_combustion_turbine_2,3,25680.907694445672,835.91,0.003516723501708223
CASO_natural_gas_internal_combustion_engine_1,3,10063.551333247746,39.77,0.02896563474078442
CASO_natural_gas_steam_turbine_1,3,575.994748091955,1.48,0.04454963834737549
CASO_onshore_wind_turbine_1,3,1.2518519539631868e7,3943.51,0.3633769703976792
CASO_petroleum_liquids_1,3,118.91926823165319,12.19,0.0011166984083630558
CASO_small_hydroelectric_1,3,635456.639999975,72.74,0.9999999999999607
CASO_solar_photovoltaic_1,3,3.139386247167104e7,13800.5,0.26039779634244287
FRCC_batteries_1,4,596224.4402146139,549.03,0.0
FRCC_biomass_1,4,469734.7200000015,53.77,1.000000000000003
FRCC_biomass_2,4,995904.0,114.0,1.0
FRCC_conventional_hydroelectric_1,4,106177.17921297223,43.14,0.2817334524111278
FRCC_conventional_steam_coal_1,4,291.48320306362774,17.71,0.0018840062826900564
FRCC_conventional_steam_coal_2,4,222.99063184316952,9.45,0.002701109461828807
FRCC_natural_gas_fired_combined_cycle_1,4,11125.333510410208,140.23,0.009081539569094077
FRCC_natural_gas_fired_combined_cycle_2,4,2.533414129772251e7,17233.3,0.16827713709179673
FRCC_natural_gas_fired_combustion_turbine_1,4,25596.215923164134,4733.55,0.0006189793646258022
FRCC_natural_gas_fired_combustion_turbine_2,4,2241.4296137622982,148.09,0.0017325538704453761
FRCC_natural_gas_internal_combustion_engine_1,4,44435.04168794855,57.59,0.08832138851616816
FRCC_natural_gas_steam_turbine_1,4,426.3796921168772,26.23,0.0018607395802212345
FRCC_nuclear_1,4,3.0206792099875864e7,3736.55,0.9253822887208404
FRCC_petroleum_liquids_1,4,113.04825132183085,56.44,0.00022927896809002099
FRCC_solar_photovoltaic_1,4,1.5986597904538138e7,9462.4,0.1933936114360848
ISNE_batteries_1,5,337590.84621614363,347.47,0.0
ISNE_biomass_1,5,409194.24000000546,46.84,1.0000000000000133
ISNE_biomass_2,5,929160.9599999586,106.36,0.9999999999999555
ISNE_conventional_hydroelectric_1,5,2.0444202200857976e6,592.77,0.39479471142332984
ISNE_conventional_steam_coal_1,5,819.607900730019,18.4,0.005098890527514949
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,4.286615239039928e6,1767.34,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,771660.3602314085,3359.43,0.026293473949843944
ISNE_natural_gas_fired_combined_cycle_2,5,1.091261795992202e7,10494.5,0.1190294903287255
ISNE_natural_gas_fired_combustion_turbine_1,5,26487.234435898037,411.32,0.007371301295336605
ISNE_natural_gas_fired_combustion_turbine_2,5,107728.05344226005,1357.07,0.009086862099211281
