Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.733172691179487e11,4.1732032632144675e9,3.0713594557792625e9,3.1974011395371847e9,1.2957048559181541e10,6.551224107472104e9,7.070195921310704e9,4.507999901447531e9,4.856276275564524e9,8.938184182739153e9,5.411800714295002e9,4.111687610201467e8,3.875848668886521e9,3.7407956455471144e9,5.11804167304446e9,1.0667671003002329e10,1.5445100874020102e10,6.532215470038318e9,2.516828336103624e9,2.785438108261101e9,7.187723524652627e9,1.0102687726595882e10,9.041399752336622e9,9.97700332090219e9,4.045150759355996e9,1.382848889433146e10,3.7248939885071325e9
cFix,1.3169192560088004e11,3.9179781339600005e9,2.39724053446e9,2.5506032223399997e9,7.792418804519999e9,5.209616628059999e9,6.418493075909999e9,3.2483365913600006e9,3.2561982509e9,6.94030969527e9,5.314702688070001e9,8.539111219999999e7,3.3396498737600007e9,2.42012993944e9,4.129799279e9,6.67241016109e9,1.0134678138199999e10,6.5063589014e9,2.3724868666500006e9,2.7141014894000006e9,6.750809649180001e9,7.06559994047e9,7.0405968956900015e9,6.128950928550001e9,3.58342229511e9,1.2194446849569998e10,3.50719565632e9
cVar,7.344408568682473e9,2.4777737235347744e7,9.447069643831506e7,7.630531080423668e7,1.09036175260466e9,1.6376636525408483e8,1.2632951655363913e8,2.9642054813905305e8,2.5005396709509173e8,4.224950445180426e8,2.1588267051730294e7,3.820320613056431e7,1.0590293537939852e8,2.860299391438786e8,1.4980947076652896e8,6.400975883726058e8,1.2449471568230765e9,2.5077545987797393e6,2.99716048966516e7,1.6790350493959147e7,4.9674005524871156e7,6.812963001250907e8,4.1087317707923096e8,7.820162305623833e8,9.122424997854921e7,2.2245599757145005e8,2.603939553884245e7
cFuel,2.6275869655493073e10,1.9306263522570536e8,4.90462104434749e8,4.870347866174639e8,3.411237006394978e9,9.218302169552765e8,4.5583210005821604e8,8.154698467531945e8,1.191443650633345e9,1.308629778053209e9,6.832535160343371e7,2.2411489091754583e8,3.593410386578862e8,9.503761172358247e8,7.17505443961544e8,2.806497448679811e9,3.4590824803875594e9,1.825947157443112e7,1.0282832978624406e8,4.9343232393546864e7,3.3089446743898296e8,2.1146185954271896e9,1.4170987546425204e9,2.672741594841241e9,3.3006199217991287e8,1.2109588864622488e9,1.688194341838822e8
cNSE,8.939181536964574e7,12538.046026572418,11145.544028237746,12687.55260527898,1.1643875710762277e7,7.225745174150768e7,11829.849440167538,11137.712955207762,11400.93548299329,12303.17793508581,12252.568251474499,12274.17108405106,11864.944326742327,11690.24129832031,12730.743953744404,13609.039378980422,12814.554269135955,10760.395781585281,10766.953217602051,10180.00451525016,11451.910112095988,5.217243823307637e6,12419.896732215348,12658.491094234289,10469.724425062102,13538.570437052085,10719.06671660288
cStart,4.333554386717481e9,3.737221874738779e7,8.917497490217026e7,8.344513222287944e7,6.513871199511414e8,1.837534454612369e8,6.952939893940903e7,1.4776177748232758e8,1.5856900600060496e8,2.667373617199637e8,7.172155001585794e6,6.344727760095253e7,7.094295614490853e7,8.424795948611219e7,1.2091474857243404e8,5.486521958205345e8,6.063802840551957e8,5.07858206932588e6,1.1530767817509962e7,5.192855969079329e6,5.633395059866007e7,2.359556467502914e8,1.728185050281379e8,3.932819084574699e8,4.043175236310934e7,2.0061362215732518e8,2.2828783397691548e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,3.5821190908219624e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
