Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,4.349184395100528e11,1.0336115353753061e10,9.075754071627853e9,1.2322023919410845e10,1.924154635982907e10,1.2510273632874998e10,1.378476576028267e10,6.509631679991186e9,7.49249014727325e9,1.7223435708850826e10,1.418431987448868e10,9.32675701971313e10,5.489596924774876e9,5.393556445126773e9,8.476785328487797e9,1.2974700966699026e10,2.6707667990452347e10,9.870864340736538e9,6.098165051906994e9,4.411174133466933e9,1.3098201291983782e10,1.5107163100053768e10,1.417705140150598e10,1.6882087125486593e10,9.05776929002675e9,2.3865753428559097e10,6.086255674969858e9
cFix,2.4312664187103998e11,9.55667894974e9,7.519017661030001e9,8.796724308249998e9,1.311609187942e10,1.04423747672e10,1.0845653407550001e10,5.14997747363e9,5.28899168891e9,1.3689453310179998e10,1.121394191512e10,9.886269861700002e8,5.18628850634e9,4.44406741775e9,7.999411496569999e9,9.773877514839998e9,1.9338523986920006e10,9.43275922115e9,4.44979712009e9,3.6831764345600004e9,1.2975667969599998e10,1.1338373237119999e10,1.184750042766e10,1.2060220591669998e10,8.409359591600001e9,1.9579684428109997e10,6.00040157986e9
cVar,1.188431294075949e10,2.659428646766085e7,3.2055466965571e8,9.059610000376382e8,1.4689572230197008e9,1.8177526918965402e8,7.813003063471748e8,3.9836015804174685e8,4.4542874412062955e8,4.9872421617112106e8,2.1045411167207697e8,2.357552769428876e8,5.802567949783836e7,2.3471277708295473e8,1.0670755229502095e8,5.610977096226823e8,2.3531238037225714e9,7.071682508714165e6,2.233041125025494e7,7.285309837196722e6,1.7319614336817313e7,9.342604545560325e8,5.589741856701906e8,1.1042232082611682e9,1.1604584246217278e8,3.181558424277917e8,1.111360556526784e7
cFuel,3.644170320951885e10,1.600426297517998e8,1.236140928034671e9,2.5876897820454135e9,4.643155265901256e9,1.3095537766159346e9,1.6507201246976912e9,9.29692180856747e8,1.7580185264004567e9,1.1319431383407776e9,8.849297143966942e8,1.4374542996159494e9,2.4524597110873312e8,7.147351100649014e8,3.7062985831826514e8,2.279219713753089e9,5.015953221391429e9,3.25115466120981e7,8.579584033713461e7,2.680843481537767e7,1.051688155140688e8,2.761731705330242e9,1.5944016024831321e9,3.6660874826255364e9,5.3231507185935014e8,1.20704916566974e9,7.470930297609378e7
cNSE,1.0219206117843079e11,5.927994877935991e8,40812.90747114724,3.1648829077794164e7,1.3341991488112453e7,5.765698198694088e8,5.0709192168780375e8,3.1601867462692536e7,51187.84216386163,1.903315044158929e9,1.8749941332999098e9,9.060573363440245e10,36767.828303971306,41140.22891757259,36421.304510411355,3.605060284832548e8,66978.41834419384,3.9852189046572584e8,1.540241680229604e9,6.939039542543589e8,44892.53289720703,7.279770304749797e7,1.7617518569265878e8,5.155584292989082e7,48784.10522794223,2.7608639923515606e9,31186.568496472224
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,4.127372031028512e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
