model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2030,base-short-myopic-200-retire,all,MWh,907828.7898666892
GenX,BASN,BASN_biomass_1,Other,2030,base-short-myopic-200-retire,all,MWh,162179.9991438329
GenX,BASN,BASN_biomass_2,Other,2030,base-short-myopic-200-retire,all,MWh,86926.9496632052
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,all,MWh,8249095.89624318
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2030,base-short-myopic-200-retire,all,MWh,1088.4689913703314
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2030,base-short-myopic-200-retire,all,MWh,2378.733251520774
GenX,BASN,BASN_geothermal_1,Geothermal,2030,base-short-myopic-200-retire,all,MWh,3469448.0400261167
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-200-retire,all,MWh,16982.094048542887
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-200-retire,all,MWh,7113245.158090675
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,all,MWh,13443.14056033841
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-200-retire,all,MWh,5316.797501003512
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-200-retire,all,MWh,5877.008377895132
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,all,MWh,1451.327433267906
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base-short-myopic-200-retire,all,MWh,3503239.9719969886
GenX,BASN,BASN_petroleum_liquids_1,Other,2030,base-short-myopic-200-retire,all,MWh,412.63269508925214
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,all,MWh,1546900.2318952547
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2030,base-short-myopic-200-retire,all,MWh,15643322.537522988
GenX,CANO,CANO_batteries_1,Battery,2030,base-short-myopic-200-retire,all,MWh,3555601.809544655
GenX,CANO,CANO_biomass_1,Other,2030,base-short-myopic-200-retire,all,MWh,1171058.0011377826
GenX,CANO,CANO_biomass_2,Other,2030,base-short-myopic-200-retire,all,MWh,665161.4326968709
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,all,MWh,18028313.31134721
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-200-retire,all,MWh,4934460.692424872
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-200-retire,all,MWh,17875.34204870533
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-200-retire,all,MWh,19395365.753281165
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,all,MWh,9112.6289062617
