model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
GenX,BASN,BASN_batteries_1,Battery,2030,base-short-myopic-200-retire,MW,935.8,933.151
GenX,BASN,BASN_biomass_1,Other,2030,base-short-myopic-200-retire,MW,18.6,18.5983
GenX,BASN,BASN_biomass_2,Other,2030,base-short-myopic-200-retire,MW,10,9.99797
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,2566.3,2566.29
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2030,base-short-myopic-200-retire,MW,51,0.737479
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2030,base-short-myopic-200-retire,MW,2949.2,1.61711
GenX,BASN,BASN_geothermal_1,Geothermal,2030,base-short-myopic-200-retire,MW,432.9,432.877
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-200-retire,MW,1123,25.1785
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-200-retire,MW,7113.9,7111.5
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,2025,67.2954
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-200-retire,MW,236.2,14.1931
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,221.4,5.39531
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,242.5,1.2263
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base-short-myopic-200-retire,MW,2030.1,2030.09
GenX,BASN,BASN_petroleum_liquids_1,Other,2030,base-short-myopic-200-retire,MW,25.8,3.07624
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,177.1,177.099
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2030,base-short-myopic-200-retire,MW,7995.7,7995.68
GenX,CANO,CANO_batteries_1,Battery,2030,base-short-myopic-200-retire,MW,2678.6,2675.64
GenX,CANO,CANO_biomass_1,Other,2030,base-short-myopic-200-retire,MW,134.2,134.189
GenX,CANO,CANO_biomass_2,Other,2030,base-short-myopic-200-retire,MW,76.4,76.382
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,6973.5,6973.48
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-200-retire,MW,2276.9,2276.84
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-200-retire,MW,3112.8,9.6263
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-200-retire,MW,8296.9,8294.81
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,2243.9,20.8667
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-200-retire,MW,2428.4,10.856
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,444.4,4.17253
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,2.9,0.936292
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base-short-myopic-200-retire,MW,1442,1441.99
GenX,CANO,CANO_petroleum_liquids_1,Other,2030,base-short-myopic-200-retire,MW,177.3,2.98558
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,215.5,215.495
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2030,base-short-myopic-200-retire,MW,6326.2,6326.18
GenX,CASO,CASO_batteries_1,Battery,2030,base-short-myopic-200-retire,MW,8963.3,8960.98
GenX,CASO,CASO_biomass_1,Other,2030,base-short-myopic-200-retire,MW,113.9,113.892
GenX,CASO,CASO_biomass_2,Other,2030,base-short-myopic-200-retire,MW,15.7,15.6944
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,971,970.998
GenX,CASO,CASO_geothermal_1,Geothermal,2030,base-short-myopic-200-retire,MW,23.6,23.5923
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-200-retire,MW,1665,1664.96
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-200-retire,MW,2102.9,12.201
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-200-retire,MW,7458.1,7457.66
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,1865.3,16.4764
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-200-retire,MW,4574.6,458.382
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,50.2,5.39632
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,1.5,0.896652
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2030,base-short-myopic-200-retire,MW,3943.6,3943.59
GenX,CASO,CASO_petroleum_liquids_1,Other,2030,base-short-myopic-200-retire,MW,14.1,3.08417
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,72.8,72.7965
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2030,base-short-myopic-200-retire,MW,13800.7,13800.7
GenX,FRCC,FRCC_batteries_1,Battery,2030,base-short-myopic-200-retire,MW,555.2,554.627
GenX,FRCC,FRCC_biomass_1,Other,2030,base-short-myopic-200-retire,MW,53.9,53.8918
GenX,FRCC,FRCC_biomass_2,Other,2030,base-short-myopic-200-retire,MW,114.1,114.094
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,43.5,43.4641
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2030,base-short-myopic-200-retire,MW,3109,1.77775
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2030,base-short-myopic-200-retire,MW,674,0.945459
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-200-retire,MW,2675.7,12.922
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-200-retire,MW,29925,17161.4
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,8544.4,3591.41
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-200-retire,MW,285.9,14.3901
GenX,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,279.9,5.11593
GenX,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,335,2.49018
GenX,FRCC,FRCC_nuclear_1,Nuclear,2030,base-short-myopic-200-retire,MW,3737,3736.96
GenX,FRCC,FRCC_petroleum_liquids_1,Other,2030,base-short-myopic-200-retire,MW,451.6,4.91752
GenX,FRCC,FRCC_solar_photovoltaic_1,Solar,2030,base-short-myopic-200-retire,MW,9462.6,9462.58
GenX,ISNE,ISNE_batteries_1,Battery,2030,base-short-myopic-200-retire,MW,366.4,348.293
GenX,ISNE,ISNE_biomass_1,Other,2030,base-short-myopic-200-retire,MW,46.9,46.8965
GenX,ISNE,ISNE_biomass_2,Other,2030,base-short-myopic-200-retire,MW,106.4,106.398
GenX,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,592.8,592.798
GenX,ISNE,ISNE_conventional_steam_coal_1,Coal,2030,base-short-myopic-200-retire,MW,330,1.83124
GenX,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-200-retire,MW,1768,1767.94
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-200-retire,MW,3363.3,3362.94
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-200-retire,MW,10499,10498.5
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,413.5,413.324
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-200-retire,MW,1359.9,1359.66
GenX,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,57.4,57.2766
GenX,ISNE,ISNE_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,21.3,20.652
GenX,ISNE,ISNE_nuclear_1,Nuclear,2030,base-short-myopic-200-retire,MW,3348.1,3348.06
GenX,ISNE,ISNE_offshore_wind_turbine_1,Wind,2030,base-short-myopic-200-retire,MW,29.3,29.2998
GenX,ISNE,ISNE_onshore_wind_turbine_1,Wind,2030,base-short-myopic-200-retire,MW,1539.2,1539.19
GenX,ISNE,ISNE_petroleum_liquids_1,Other,2030,base-short-myopic-200-retire,MW,1043.4,1042.97
GenX,ISNE,ISNE_small_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,254.2,254.198
GenX,ISNE,ISNE_solar_photovoltaic_1,Solar,2030,base-short-myopic-200-retire,MW,2683.3,2683.3
GenX,MISC,MISC_batteries_1,Battery,2030,base-short-myopic-200-retire,MW,36.3,28.8058
GenX,MISC,MISC_biomass_1,Other,2030,base-short-myopic-200-retire,MW,77,76.9939
GenX,MISC,MISC_biomass_2,Other,2030,base-short-myopic-200-retire,MW,2.4,2.39648
GenX,MISC,MISC_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,448.6,448.529
GenX,MISC,MISC_conventional_steam_coal_1,Coal,2030,base-short-myopic-200-retire,MW,11173.8,2.45558
GenX,MISC,MISC_conventional_steam_coal_2,Coal,2030,base-short-myopic-200-retire,MW,2597,1.43316
GenX,MISC,MISC_hydroelectric_pumped_storage_1,Hydro,2030,base-short-myopic-200-retire,MW,471,470.977
GenX,MISC,MISC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-short-myopic-200-retire,MW,570.6,570.408
GenX,MISC,MISC_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-short-myopic-200-retire,MW,4067.5,4067.3
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,577.6,23.114
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base-short-myopic-200-retire,MW,8951.4,5917.42
GenX,MISC,MISC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,72.7,7.8897
GenX,MISC,MISC_natural_gas_steam_turbine_1,Natural Gas,2030,base-short-myopic-200-retire,MW,200.6,1.27206
GenX,MISC,MISC_nuclear_1,Nuclear,2030,base-short-myopic-200-retire,MW,2373,2372.89
GenX,MISC,MISC_onshore_wind_turbine_1,Wind,2030,base-short-myopic-200-retire,MW,6437,6436.92
GenX,MISC,MISC_petroleum_liquids_1,Other,2030,base-short-myopic-200-retire,MW,322.4,4.36362
GenX,MISC,MISC_small_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,14,13.9983
GenX,MISC,MISC_solar_photovoltaic_1,Solar,2030,base-short-myopic-200-retire,MW,3922.1,3922.09
GenX,MISE,MISE_batteries_1,Battery,2030,base-short-myopic-200-retire,MW,1.3,1.28872
GenX,MISE,MISE_biomass_1,Other,2030,base-short-myopic-200-retire,MW,60.8,60.7997
GenX,MISE,MISE_biomass_2,Other,2030,base-short-myopic-200-retire,MW,58.3,58.2853
GenX,MISE,MISE_conventional_hydroelectric_1,Hydro,2030,base-short-myopic-200-retire,MW,32.4,32.37
