model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2030,base-short-myopic-200-retire,MW,100,100.021
GenX,2,BASN_to_CASO,2030,base-short-myopic-200-retire,MW,5920,5920.02
GenX,3,BASN_to_NWPP,2030,base-short-myopic-200-retire,MW,3350,3350.04
GenX,4,BASN_to_RMRG,2030,base-short-myopic-200-retire,MW,3750,4407.85
GenX,5,BASN_to_SRSG,2030,base-short-myopic-200-retire,MW,5385,5386.07
GenX,6,CANO_to_CASO,2030,base-short-myopic-200-retire,MW,3675,3675.01
GenX,7,CANO_to_NWPP,2030,base-short-myopic-200-retire,MW,3675,3675.06
GenX,8,CASO_to_NWPP,2030,base-short-myopic-200-retire,MW,2858,2858.06
GenX,9,CASO_to_SRSG,2030,base-short-myopic-200-retire,MW,4354,7856.58
GenX,10,FRCC_to_SRSE,2030,base-short-myopic-200-retire,MW,3600,3600.02
GenX,11,ISNE_to_NYCW,2030,base-short-myopic-200-retire,MW,760,760.029
GenX,12,ISNE_to_NYUP,2030,base-short-myopic-200-retire,MW,1400,2710.47
GenX,13,MISC_to_MISE,2030,base-short-myopic-200-retire,MW,0,3884.71
GenX,14,MISC_to_MISS,2030,base-short-myopic-200-retire,MW,1039,1039.02
GenX,15,MISC_to_MISW,2030,base-short-myopic-200-retire,MW,1655,1655.05
GenX,16,MISC_to_PJMC,2030,base-short-myopic-200-retire,MW,5244,5244.12
GenX,17,MISC_to_PJMW,2030,base-short-myopic-200-retire,MW,5441,10219.4
GenX,18,MISC_to_SPPC,2030,base-short-myopic-200-retire,MW,1430,4990.98
GenX,19,MISC_to_SPPN,2030,base-short-myopic-200-retire,MW,0,5693.92
GenX,20,MISC_to_SPPS,2030,base-short-myopic-200-retire,MW,1172,10290.6
GenX,21,MISC_to_SRCE,2030,base-short-myopic-200-retire,MW,3745,3745.09
GenX,22,MISE_to_MISW,2030,base-short-myopic-200-retire,MW,0,16.5324
GenX,23,MISE_to_PJMW,2030,base-short-myopic-200-retire,MW,2662,2662.07
GenX,24,MISS_to_SPPC,2030,base-short-myopic-200-retire,MW,0,5723.44
GenX,25,MISS_to_SPPS,2030,base-short-myopic-200-retire,MW,1697,18666.6
