Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.2527805614717523e11,9.851660153584631e9,7.979520565980189e9,1.1757633201311039e10,2.031750054802031e10,1.2155831485326262e10,1.2547402547588238e10,6.323230546937236e9,6.307927336291797e9,1.5768232023954214e10,9.81848756592259e9,5.702987080218472e8,5.162559402936699e9,5.519619081174327e9,9.629307847010674e9,1.4186498170382168e10,2.645942321282556e10,8.657937311931711e9,4.352082037218221e9,3.241976263118242e9,1.36143513979884e10,1.5997783329363161e10,1.3406134111456753e10,1.6234875987714266e10,8.527632625721885e9,2.1427017786003044e10,4.180986032630266e9
cFix,2.357421080251799e11,9.46330636882e9,6.87532623769e9,9.088593754519999e9,1.4205316658919998e10,1.03391880872e10,1.012160714006e10,4.98940081976e9,4.667310930679999e9,1.3168276550910002e10,9.34001711866e9,3.7977422674e8,4.760193313200001e9,4.3172327702300005e9,9.04106030911e9,1.08671705191e10,1.763343022942e10,8.573201642650002e9,4.20076970368e9,3.13785651763e9,1.313296744063e10,1.219379226157e10,1.115168476053e10,1.2286043906539999e10,7.8902537929800005e9,1.9917677802260002e10,4.0006551616900005e9
cVar,1.0736127496030754e10,4.076537100886327e7,1.586006427492965e8,6.324808366937388e8,1.378968276607782e9,1.9241164151085976e8,6.904738610194577e8,3.488455593507824e8,2.5241948950222003e8,7.344787701279845e8,6.601799388938411e7,2.7937163137487646e7,7.902128705071136e7,2.6510551432698026e8,1.2261034450960228e8,6.016401869137696e8,2.5313555538492146e9,1.0028919371586522e7,3.0860822315470338e7,2.01998299862704e7,5.1922252439545035e7,8.852143259741848e8,4.7856558031695086e8,7.948434950348397e8,1.1145735564121743e8,2.0972369590980738e8,2.0178726791509837e7
cFuel,3.3175440220332146e10,3.002134614488804e8,8.433771614909536e8,1.8622578787420046e9,4.089913151447747e9,1.1852471779189754e9,1.5311410522143514e9,8.770154559601638e8,1.239414430834589e9,1.6931733429786775e9,3.403442701710018e8,1.501502656404233e8,2.996287729390643e8,8.704144165602206e8,4.302063399619969e8,2.4650238416636386e9,5.599649647155955e9,6.094066508108725e7,1.0602337925006783e8,7.131684581442009e7,3.598554193797718e8,2.6689245351232104e9,1.6022440302389498e9,2.842625733724959e9,4.589808792322161e8,1.0903026423154018e9,1.3705542304593906e8
cNSE,3.91196510554766e8,49186.66733252581,49040.91360037498,49673.103329900136,50346.200006308805,3.601294049664461e8,49140.834653639846,49591.071246148014,49386.994362318,49640.21572116459,2.9879954822942667e7,50147.92136532349,48831.56167312995,48932.33078270272,48963.5713372825,50324.25124797242,49911.55561989458,48862.903426457575,48677.09373462603,48301.72082586635,48903.95890185354,49383.54288312365,49535.119322055805,49701.635936049606,49089.83892589864,53017.465395782885,48560.293743331385
cStart,3.9510370283147125e9,4.7325765639555305e7,1.0216748313633858e8,1.7425105825196534e8,6.432521148447781e8,7.885517372998102e7,2.041313534597766e8,1.0791912079504259e8,1.4873309828062505e8,1.7225371972182977e8,4.222822837926284e7,1.2386904582570855e7,2.366719818525054e7,6.681744772634163e7,3.538188985773933e7,2.5261329845351326e8,6.949378708447732e8,1.3717221925611358e7,1.437945487894873e7,1.25547679667255e7,6.95573815801824e7,2.4980282315288547e8,1.735902052515309e8,3.1131315077853125e8,6.689150802952534e7,2.092606280524428e8,2.3048160809073392e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,4.128214686677916e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
