model,zone,planning_year,case,unit,value
SWITCH,BASN,2030,base_short_retire,kg,2612876882.7083244
SWITCH,CANO,2030,base_short_retire,kg,6009096619.393722
SWITCH,CASO,2030,base_short_retire,kg,7565413387.003199
SWITCH,FRCC,2030,base_short_retire,kg,12460831057.153685
SWITCH,ISNE,2030,base_short_retire,kg,15598592206.421661
SWITCH,MISC,2030,base_short_retire,kg,4168694237.3449807
SWITCH,MISE,2030,base_short_retire,kg,2715312030.457407
SWITCH,MISS,2030,base_short_retire,kg,11779142747.395214
SWITCH,MISW,2030,base_short_retire,kg,7721224622.991417
SWITCH,NWPP,2030,base_short_retire,kg,506181293.52242607
SWITCH,NYCW,2030,base_short_retire,kg,2691582059.14961
SWITCH,NYUP,2030,base_short_retire,kg,3175568180.713741
SWITCH,PJMC,2030,base_short_retire,kg,5603748544.412901
SWITCH,PJMD,2030,base_short_retire,kg,4816819110.796554
SWITCH,PJME,2030,base_short_retire,kg,37794697572.05588
SWITCH,PJMW,2030,base_short_retire,kg,15428313598.138186
SWITCH,RMRG,2030,base_short_retire,kg,271956537.4034769
SWITCH,SPPC,2030,base_short_retire,kg,563128586.8201852
SWITCH,SPPN,2030,base_short_retire,kg,114617337.72778755
SWITCH,SPPS,2030,base_short_retire,kg,4671345275.234666
SWITCH,SRCA,2030,base_short_retire,kg,5888877372.481321
SWITCH,SRCE,2030,base_short_retire,kg,5817911239.482182
SWITCH,SRSE,2030,base_short_retire,kg,11225537866.657372
SWITCH,SRSG,2030,base_short_retire,kg,3975443325.826625
SWITCH,TRE,2030,base_short_retire,kg,11337096655.280169
SWITCH,TRE_WEST,2030,base_short_retire,kg,1485991654.1497977
SWITCH,BASN,2040,base_short_retire,kg,1646827731.3086157
SWITCH,CANO,2040,base_short_retire,kg,3703133279.973432
SWITCH,CASO,2040,base_short_retire,kg,5192143257.296038
SWITCH,FRCC,2040,base_short_retire,kg,8425587885.415176
SWITCH,ISNE,2040,base_short_retire,kg,14271767562.70832
SWITCH,MISC,2040,base_short_retire,kg,2999864696.0142865
SWITCH,MISE,2040,base_short_retire,kg,2500849657.62557
SWITCH,MISS,2040,base_short_retire,kg,8273549467.183423
SWITCH,MISW,2040,base_short_retire,kg,5353541172.216493
SWITCH,NWPP,2040,base_short_retire,kg,1922256674.108659
SWITCH,NYCW,2040,base_short_retire,kg,1554132539.957371
SWITCH,NYUP,2040,base_short_retire,kg,2429288273.5767713
SWITCH,PJMC,2040,base_short_retire,kg,3766440012.4942784
SWITCH,PJMD,2040,base_short_retire,kg,1919993278.7357972
SWITCH,PJME,2040,base_short_retire,kg,21798153501.184914
SWITCH,PJMW,2040,base_short_retire,kg,12916442257.729591
SWITCH,RMRG,2040,base_short_retire,kg,256225247.13804185
SWITCH,SPPC,2040,base_short_retire,kg,299625526.33363307
SWITCH,SPPN,2040,base_short_retire,kg,119039777.2996814
SWITCH,SPPS,2040,base_short_retire,kg,2158956627.0067105
SWITCH,SRCA,2040,base_short_retire,kg,3961697698.978553
SWITCH,SRCE,2040,base_short_retire,kg,3763242360.110528
SWITCH,SRSE,2040,base_short_retire,kg,7151763837.436698
SWITCH,SRSG,2040,base_short_retire,kg,1825848516.566122
SWITCH,TRE,2040,base_short_retire,kg,5890253340.751549
SWITCH,TRE_WEST,2040,base_short_retire,kg,1268589763.8794544
SWITCH,BASN,2050,base_short_retire,kg,1694446707.9873998
SWITCH,CANO,2050,base_short_retire,kg,3217007501.9222555
SWITCH,CASO,2050,base_short_retire,kg,7648732450.356158
SWITCH,FRCC,2050,base_short_retire,kg,7864248246.653594
SWITCH,ISNE,2050,base_short_retire,kg,13880516610.125616
SWITCH,MISC,2050,base_short_retire,kg,3527150812.5349326
SWITCH,MISE,2050,base_short_retire,kg,3476768915.746249
SWITCH,MISS,2050,base_short_retire,kg,8530623399.121618
SWITCH,MISW,2050,base_short_retire,kg,5564622319.109046
SWITCH,NWPP,2050,base_short_retire,kg,2717158699.715494
SWITCH,NYCW,2050,base_short_retire,kg,2030171676.529574
SWITCH,NYUP,2050,base_short_retire,kg,2831887920.39508
SWITCH,PJMC,2050,base_short_retire,kg,3561828993.611929
SWITCH,PJMD,2050,base_short_retire,kg,1778467429.3738704
SWITCH,PJME,2050,base_short_retire,kg,21542936270.865013
SWITCH,PJMW,2050,base_short_retire,kg,13704878343.230696
SWITCH,RMRG,2050,base_short_retire,kg,387240013.2333857
SWITCH,SPPC,2050,base_short_retire,kg,324170802.01074785
SWITCH,SPPN,2050,base_short_retire,kg,212970181.30590478
SWITCH,SPPS,2050,base_short_retire,kg,2129325641.9002619
SWITCH,SRCA,2050,base_short_retire,kg,4133140823.8911934
SWITCH,SRCE,2050,base_short_retire,kg,3736646692.0389805
SWITCH,SRSE,2050,base_short_retire,kg,8516204539.099682
SWITCH,SRSG,2050,base_short_retire,kg,2045797597.767903
SWITCH,TRE,2050,base_short_retire,kg,6105201624.77087
SWITCH,TRE_WEST,2050,base_short_retire,kg,1073125174.9980117
