model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,BASN_to_NWPP,2030,base_short_retire,MW,3350.0,3350.0
SWITCH,BASN_to_CANO,2030,base_short_retire,MW,100.0,100.0
SWITCH,BASN_to_SRSG,2030,base_short_retire,MW,5385.0,5385.0
SWITCH,BASN_to_CASO,2030,base_short_retire,MW,5920.0,5920.0
SWITCH,NWPP_to_SPPN,2030,base_short_retire,MW,0.0,1768.5804518039165
SWITCH,NWPP_to_CANO,2030,base_short_retire,MW,3675.0,4572.491195576298
SWITCH,NWPP_to_CASO,2030,base_short_retire,MW,2858.0,6568.607360472536
SWITCH,NWPP_to_MISW,2030,base_short_retire,MW,200.0,200.0
SWITCH,NYCW_to_ISNE,2030,base_short_retire,MW,760.0,760.0
SWITCH,NYUP_to_NYCW,2030,base_short_retire,MW,2489.0,3971.0770079218423
SWITCH,NYUP_to_ISNE,2030,base_short_retire,MW,1400.0,2147.626658731522
SWITCH,PJMC_to_PJMW,2030,base_short_retire,MW,980.0,4949.648669526715
SWITCH,PJMC_to_MISC,2030,base_short_retire,MW,5244.0,5244.0
SWITCH,PJMD_to_PJME,2030,base_short_retire,MW,1200.0,5589.740915420827
SWITCH,PJMD_to_PJMW,2030,base_short_retire,MW,6930.0,6930.0
SWITCH,PJME_to_NYCW,2030,base_short_retire,MW,660.0,6386.402936308168
SWITCH,PJME_to_NYUP,2030,base_short_retire,MW,1255.0,1738.5374336265447
SWITCH,PJMW_to_PJME,2030,base_short_retire,MW,3885.0,3885.0
SWITCH,PJMW_to_SRCE,2030,base_short_retire,MW,3333.0,3333.0
SWITCH,RMRG_to_BASN,2030,base_short_retire,MW,3750.0,3750.0
SWITCH,RMRG_to_NWPP,2030,base_short_retire,MW,400.0,4197.515452758822
SWITCH,RMRG_to_SPPC,2030,base_short_retire,MW,210.0,8648.454200613403
SWITCH,RMRG_to_SPPN,2030,base_short_retire,MW,410.0,3068.302647856228
SWITCH,RMRG_to_SRSG,2030,base_short_retire,MW,614.0,2791.9543278502915
SWITCH,SPPC_to_SPPS,2030,base_short_retire,MW,3372.0,3789.313448836618
SWITCH,SPPC_to_MISS,2030,base_short_retire,MW,0.0,337.8592226242273
SWITCH,SPPN_to_SPPC,2030,base_short_retire,MW,1433.0,2874.296719720596
SWITCH,SPPN_to_SPPS,2030,base_short_retire,MW,0.0,5779.139784670625
SWITCH,CANO_to_CASO,2030,base_short_retire,MW,3675.0,3675.0
SWITCH,SPPS_to_SRSG,2030,base_short_retire,MW,1010.0,2521.59344749482
SWITCH,SPPS_to_MISS,2030,base_short_retire,MW,1697.0,24928.07474968571
SWITCH,SRCA_to_PJMD,2030,base_short_retire,MW,1000.0,1000.0
SWITCH,SRCA_to_PJMW,2030,base_short_retire,MW,1219.0,1219.0
SWITCH,SRCA_to_SRCE,2030,base_short_retire,MW,216.0,216.0
SWITCH,SRSE_to_SRCA,2030,base_short_retire,MW,1400.0,1400.0
SWITCH,SRSE_to_SRCE,2030,base_short_retire,MW,3196.0,3196.0
SWITCH,SRSG_to_TRE,2030,base_short_retire,MW,0.0,6679.949847995723
SWITCH,TRE_to_SPPS,2030,base_short_retire,MW,600.0,10392.986674676658
