Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,840544.7506027943,935.81,0.0
BASN_biomass_1,1,0.0,0.0,0.0
BASN_biomass_2,1,0.0,0.0,0.0
BASN_conventional_hydroelectric_1,1,7.914988142153772e6,2396.11,0.37812108163517927
BASN_conventional_steam_coal_1,1,0.0,0.0,0.0
BASN_conventional_steam_coal_2,1,0.0,0.0,0.0
BASN_geothermal_1,1,4.0995594210629435e6,519.38,0.9035232618732153
BASN_natural_gas_fired_combined_cycle_1,1,0.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_2,1,6.646773202285453e6,7113.9,0.10695238629270777
BASN_natural_gas_fired_combustion_turbine_1,1,0.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_2,1,0.0,0.0,0.0
BASN_natural_gas_internal_combustion_engine_1,1,0.0,0.0,0.0
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,3.795159650776765e6,2030.1100000000001,0.21399215594350476
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.664208e6,190.5,1.0
BASN_solar_photovoltaic_1,1,1.627368899770644e7,7995.74,0.2329778982666907
CANO_batteries_1,2,3.523133997107204e6,2678.58,0.0
CANO_biomass_1,2,0.0,0.0,0.0
CANO_biomass_2,2,1.1424940800000604e6,130.78,1.0000000000000528
CANO_conventional_hydroelectric_1,2,1.5256671751303505e7,6024.75,0.2898732546488923
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,6.192517162413552e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,0.0,0.0,0.0
CANO_natural_gas_fired_combined_cycle_2,2,1.508205310065052e7,8296.89,0.20808103907495237
CANO_natural_gas_fired_combustion_turbine_1,2,0.0,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_2,2,0.0,0.0,0.0
CANO_natural_gas_internal_combustion_engine_1,2,0.0,0.0,0.0
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,2.270020112095194e6,1442.01,0.18019751912470877
CANO_petroleum_liquids_1,2,0.0,0.0,0.0
CANO_small_hydroelectric_1,2,1.9685702400000445e6,225.34,1.0000000000000224
CANO_solar_photovoltaic_1,2,1.3200020551655756e7,6326.16,0.23884811062535696
CASO_batteries_1,3,1.1074307247341832e7,8963.29,0.0
CASO_biomass_1,3,0.0,0.0,0.0
CASO_biomass_2,3,0.0,0.0,0.0
CASO_conventional_hydroelectric_1,3,1.780306916703888e6,773.26,0.26354616967276123
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,3,4.232358460060419e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,0.0,0.0,0.0
