model,zone,planning_year,case,unit,value
TEMOA,BASN,2030,base_short_200_no_ccs,tons,4.91417e+06
TEMOA,BASN,2040,base_short_200_no_ccs,tons,2.79572e+06
TEMOA,BASN,2050,base_short_200_no_ccs,tons,1.90591e+06
TEMOA,CANO,2030,base_short_200_no_ccs,tons,5.26846e+06
TEMOA,CANO,2040,base_short_200_no_ccs,tons,6.78983e+06
TEMOA,CANO,2050,base_short_200_no_ccs,tons,4.56733e+06
TEMOA,CASO,2030,base_short_200_no_ccs,tons,1.60081e+06
TEMOA,CASO,2040,base_short_200_no_ccs,tons,2.41155e+06
TEMOA,CASO,2050,base_short_200_no_ccs,tons,2.00083e+06
TEMOA,FRCC,2030,base_short_200_no_ccs,tons,1.7524e+07
TEMOA,FRCC,2040,base_short_200_no_ccs,tons,1.42839e+07
TEMOA,FRCC,2050,base_short_200_no_ccs,tons,9.33074e+06
TEMOA,ISNE,2030,base_short_200_no_ccs,tons,1.06904e+07
TEMOA,ISNE,2040,base_short_200_no_ccs,tons,2.03921e+07
TEMOA,ISNE,2050,base_short_200_no_ccs,tons,1.96337e+07
TEMOA,MISC,2030,base_short_200_no_ccs,tons,4.41541e+06
TEMOA,MISC,2040,base_short_200_no_ccs,tons,4.25665e+06
TEMOA,MISC,2050,base_short_200_no_ccs,tons,2.96588e+06
TEMOA,MISE,2030,base_short_200_no_ccs,tons,1.25844e+06
TEMOA,MISE,2040,base_short_200_no_ccs,tons,1.83425e+06
TEMOA,MISE,2050,base_short_200_no_ccs,tons,3.19132e+06
TEMOA,MISS,2030,base_short_200_no_ccs,tons,6.38033e+06
TEMOA,MISS,2040,base_short_200_no_ccs,tons,4.95628e+06
TEMOA,MISS,2050,base_short_200_no_ccs,tons,4.02503e+06
TEMOA,MISW,2030,base_short_200_no_ccs,tons,8.10197e+06
TEMOA,MISW,2040,base_short_200_no_ccs,tons,7.47594e+06
TEMOA,MISW,2050,base_short_200_no_ccs,tons,8.57527e+06
TEMOA,NWPP,2030,base_short_200_no_ccs,tons,1.24641e+06
TEMOA,NWPP,2040,base_short_200_no_ccs,tons,2.24303e+06
TEMOA,NWPP,2050,base_short_200_no_ccs,tons,3.32905e+06
TEMOA,NYCW,2030,base_short_200_no_ccs,tons,1.82613e+06
TEMOA,NYCW,2040,base_short_200_no_ccs,tons,1.79816e+06
TEMOA,NYCW,2050,base_short_200_no_ccs,tons,1.83391e+06
TEMOA,NYUP,2030,base_short_200_no_ccs,tons,5.32699e+06
TEMOA,NYUP,2040,base_short_200_no_ccs,tons,3.2593e+06
TEMOA,NYUP,2050,base_short_200_no_ccs,tons,3.92324e+06
TEMOA,PJMC,2030,base_short_200_no_ccs,tons,3.03605e+06
TEMOA,PJMC,2040,base_short_200_no_ccs,tons,3.43805e+06
TEMOA,PJMC,2050,base_short_200_no_ccs,tons,2.38547e+06
TEMOA,PJMD,2030,base_short_200_no_ccs,tons,6.38163e+06
TEMOA,PJMD,2040,base_short_200_no_ccs,tons,5.96857e+06
TEMOA,PJMD,2050,base_short_200_no_ccs,tons,4.01818e+06
TEMOA,PJME,2030,base_short_200_no_ccs,tons,3.82942e+07
TEMOA,PJME,2040,base_short_200_no_ccs,tons,3.24368e+07
TEMOA,PJME,2050,base_short_200_no_ccs,tons,2.56905e+07
TEMOA,PJMW,2030,base_short_200_no_ccs,tons,1.12367e+07
TEMOA,PJMW,2040,base_short_200_no_ccs,tons,1.12294e+07
TEMOA,PJMW,2050,base_short_200_no_ccs,tons,3.51629e+07
TEMOA,RMRG,2030,base_short_200_no_ccs,tons,547898
TEMOA,RMRG,2040,base_short_200_no_ccs,tons,835916
TEMOA,RMRG,2050,base_short_200_no_ccs,tons,818590
TEMOA,SPPC,2030,base_short_200_no_ccs,tons,752384
TEMOA,SPPC,2040,base_short_200_no_ccs,tons,769947
TEMOA,SPPC,2050,base_short_200_no_ccs,tons,650197
TEMOA,SPPN,2030,base_short_200_no_ccs,tons,178501
