model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_short_200_noCCS,all,MWh,7.80973e+06
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_short_200_noCCS,all,MWh,3.03691e+06
TEMOA,BASN,BASN_geothermal_1,Geothermal,2030,base_short_200_noCCS,all,MWh,2.7323e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,base_short_200_noCCS,all,MWh,8.97616e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base_short_200_noCCS,all,MWh,2.61642e+07
TEMOA,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2030,base_short_200_noCCS,all,MWh,3.93908e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,base_short_200_noCCS,all,MWh,1.12166e+07
TEMOA,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2030,base_short_200_noCCS,all,MWh,2.41166e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,base_short_200_noCCS,all,MWh,3.73281e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_6,Wind,2030,base_short_200_noCCS,all,MWh,8.94328e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2030,base_short_200_noCCS,all,MWh,3.55439e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2030,base_short_200_noCCS,all,MWh,2.14594e+06
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_200_noCCS,all,MWh,180173
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_200_noCCS,all,MWh,1.2068e+07
TEMOA,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_200_noCCS,all,MWh,20305.7
TEMOA,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_200_noCCS,all,MWh,2151.8
TEMOA,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_200_noCCS,all,MWh,23066
TEMOA,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base_short_200_noCCS,all,MWh,2.37146e+06
TEMOA,BASN,BASN_small_hydroelectric_1,Hydro,2030,base_short_200_noCCS,all,MWh,1.55783e+06
TEMOA,BASN,BASN_solar_photovoltaic_1,Solar,2030,base_short_200_noCCS,all,MWh,5.48234e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_0,Solar,2030,base_short_200_noCCS,all,MWh,1.13368e+07
TEMOA,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,base_short_200_noCCS,all,MWh,7.92881e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_3,Solar,2030,base_short_200_noCCS,all,MWh,2.67331e+06
