model,line,line_name,planning_year,case,unit,value
TEMOA,4,BASN_to_RMRG,2030,base_short_200_retire,MW,370.598
TEMOA,9,CASO_to_SRSG,2030,base_short_200_retire,MW,5043.39
TEMOA,10,FRCC_to_SRSE,2030,base_short_200_retire,MW,1263.92
TEMOA,12,ISNE_to_NYUP,2030,base_short_200_retire,MW,3987.44
TEMOA,13,MISC_to_MISE,2030,base_short_200_retire,MW,4224.79
TEMOA,17,MISC_to_PJMW,2030,base_short_200_retire,MW,11895.8
TEMOA,18,MISC_to_SPPC,2030,base_short_200_retire,MW,6496.36
TEMOA,19,MISC_to_SPPN,2030,base_short_200_retire,MW,9999.98
TEMOA,20,MISC_to_SPPS,2030,base_short_200_retire,MW,11719.9
TEMOA,24,MISS_to_SPPC,2030,base_short_200_retire,MW,7828.04
TEMOA,25,MISS_to_SPPS,2030,base_short_200_retire,MW,16970
TEMOA,27,MISS_to_SRSE,2030,base_short_200_retire,MW,10000
TEMOA,29,MISW_to_PJMC,2030,base_short_200_retire,MW,2330.64
TEMOA,30,MISW_to_SPPC,2030,base_short_200_retire,MW,917.445
TEMOA,32,NWPP_to_RMRG,2030,base_short_200_retire,MW,2833.95
TEMOA,34,NYCW_to_PJME,2030,base_short_200_retire,MW,6625.63
TEMOA,35,NYUP_to_PJME,2030,base_short_200_retire,MW,2051.83
TEMOA,36,PJMC_to_PJMW,2030,base_short_200_retire,MW,2959.27
TEMOA,37,PJMD_to_PJME,2030,base_short_200_retire,MW,6577.82
TEMOA,39,PJMD_to_SRCA,2030,base_short_200_retire,MW,1410.6
TEMOA,40,PJME_to_PJMW,2030,base_short_200_retire,MW,8095.18
TEMOA,43,RMRG_to_SPPC,2030,base_short_200_retire,MW,10000
TEMOA,44,RMRG_to_SPPN,2030,base_short_200_retire,MW,8863.53
TEMOA,45,RMRG_to_SRSG,2030,base_short_200_retire,MW,7443.1
TEMOA,46,SPPC_to_SPPN,2030,base_short_200_retire,MW,2671.56
TEMOA,48,SPPN_to_SPPS,2030,base_short_200_retire,MW,5295.16
TEMOA,49,SPPS_to_SRSG,2030,base_short_200_retire,MW,4040.93
TEMOA,50,SPPS_to_TRE,2030,base_short_200_retire,MW,10000
TEMOA,51,SPPS_to_TRE_WEST,2030,base_short_200_retire,MW,10000
TEMOA,52,SRCA_to_SRCE,2030,base_short_200_retire,MW,1556.16
TEMOA,57,SRSG_to_TRE,2030,base_short_200_retire,MW,10000
TEMOA,7,CANO_to_NWPP,2040,base_short_200_retire,MW,383.033
TEMOA,9,CASO_to_SRSG,2040,base_short_200_retire,MW,4835.4
TEMOA,10,FRCC_to_SRSE,2040,base_short_200_retire,MW,5465.01
TEMOA,12,ISNE_to_NYUP,2040,base_short_200_retire,MW,7669.79
TEMOA,13,MISC_to_MISE,2040,base_short_200_retire,MW,790.181
TEMOA,16,MISC_to_PJMC,2040,base_short_200_retire,MW,12.8894
TEMOA,17,MISC_to_PJMW,2040,base_short_200_retire,MW,12453
TEMOA,18,MISC_to_SPPC,2040,base_short_200_retire,MW,4145.83
TEMOA,20,MISC_to_SPPS,2040,base_short_200_retire,MW,11720
TEMOA,25,MISS_to_SPPS,2040,base_short_200_retire,MW,16970
TEMOA,27,MISS_to_SRSE,2040,base_short_200_retire,MW,10000
TEMOA,29,MISW_to_PJMC,2040,base_short_200_retire,MW,1353.97
TEMOA,32,NWPP_to_RMRG,2040,base_short_200_retire,MW,2372.64
TEMOA,34,NYCW_to_PJME,2040,base_short_200_retire,MW,5206.87
TEMOA,35,NYUP_to_PJME,2040,base_short_200_retire,MW,7725.4
TEMOA,36,PJMC_to_PJMW,2040,base_short_200_retire,MW,2192.24
TEMOA,37,PJMD_to_PJME,2040,base_short_200_retire,MW,1470.81
TEMOA,39,PJMD_to_SRCA,2040,base_short_200_retire,MW,1894.75
TEMOA,40,PJME_to_PJMW,2040,base_short_200_retire,MW,21804.3
TEMOA,42,PJMW_to_SRCE,2040,base_short_200_retire,MW,67.6433
TEMOA,43,RMRG_to_SPPC,2040,base_short_200_retire,MW,2816.54
TEMOA,45,RMRG_to_SRSG,2040,base_short_200_retire,MW,791.637
TEMOA,47,SPPC_to_SPPS,2040,base_short_200_retire,MW,3812.75
TEMOA,49,SPPS_to_SRSG,2040,base_short_200_retire,MW,2724.85
TEMOA,50,SPPS_to_TRE,2040,base_short_200_retire,MW,9783.8
TEMOA,51,SPPS_to_TRE_WEST,2040,base_short_200_retire,MW,9999.85
TEMOA,52,SRCA_to_SRCE,2040,base_short_200_retire,MW,460.423
TEMOA,57,SRSG_to_TRE,2040,base_short_200_retire,MW,3211.77
TEMOA,4,BASN_to_RMRG,2050,base_short_200_retire,MW,155.157
TEMOA,6,CANO_to_CASO,2050,base_short_200_retire,MW,630.372
TEMOA,7,CANO_to_NWPP,2050,base_short_200_retire,MW,166.979
TEMOA,9,CASO_to_SRSG,2050,base_short_200_retire,MW,4134.39
TEMOA,10,FRCC_to_SRSE,2050,base_short_200_retire,MW,3867.25
TEMOA,16,MISC_to_PJMC,2050,base_short_200_retire,MW,164.027
TEMOA,20,MISC_to_SPPS,2050,base_short_200_retire,MW,3301.03
TEMOA,25,MISS_to_SPPS,2050,base_short_200_retire,MW,13541.8
TEMOA,27,MISS_to_SRSE,2050,base_short_200_retire,MW,8188.42
TEMOA,32,NWPP_to_RMRG,2050,base_short_200_retire,MW,3795.56
TEMOA,34,NYCW_to_PJME,2050,base_short_200_retire,MW,1193.33
TEMOA,36,PJMC_to_PJMW,2050,base_short_200_retire,MW,656.102
TEMOA,37,PJMD_to_PJME,2050,base_short_200_retire,MW,2727.14
TEMOA,40,PJME_to_PJMW,2050,base_short_200_retire,MW,6632.36
TEMOA,43,RMRG_to_SPPC,2050,base_short_200_retire,MW,544.337
TEMOA,45,RMRG_to_SRSG,2050,base_short_200_retire,MW,4233.58
TEMOA,50,SPPS_to_TRE,2050,base_short_200_retire,MW,3367.6
TEMOA,51,SPPS_to_TRE_WEST,2050,base_short_200_retire,MW,6252.5
TEMOA,53,SRCA_to_SRSE,2050,base_short_200_retire,MW,854.696
TEMOA,57,SRSG_to_TRE,2050,base_short_200_retire,MW,1454.56
