Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,3.0677986040039026e11,9.206688810242125e9,7.520160499149267e9,1.0473081335351137e10,1.808557839461735e10,1.2749324402592718e10,1.2505906382526264e10,6.1634083777651005e9,6.5555670421683655e9,1.5948040004547033e10,1.1631394978052046e10,2.396788374120575e9,4.891143998943906e9,5.536572616043248e9,7.981783668866862e9,1.3065567207403269e10,2.538828682168614e10,8.869032015376305e9,4.7869112176899805e9,3.757187062230251e9,1.248371305444291e10,1.496584437841427e10,1.3541251380063694e10,1.5948092517987736e10,8.361940233844105e9,1.88656633389291e10,4.829251278977709e9
cFix,2.3463561549590005e11,8.8016299297e9,6.076336146e9,8.105450302700001e9,1.32695482065e10,1.1750999102400002e10,9.9313420894e9,5.0243175592e9,4.750855162900001e9,1.4233300175599998e10,1.07874988545e10,2.2920419380000005e9,4.527543281099999e9,4.476061600400001e9,7.483076846499999e9,1.05524455054e10,1.7257309327500004e10,8.8084050346e9,4.652946811700001e9,3.7250589005999994e9,1.20711965495e10,1.1414381101200003e10,1.1893912316800001e10,1.2623169639199999e10,7.7922314253e9,1.7670852698800003e10,4.663704990400001e9
cVar,9.607112667683657e9,4.111716052221755e7,2.4231672201462388e8,5.511887538899714e8,1.0345372475810997e9,1.4067422601254427e8,7.570834618525286e8,3.270419738727327e8,3.114222557090583e8,4.620078579818662e8,1.989773647045898e8,1.4696481342128154e7,6.862139651836099e7,2.3655399539431012e8,1.0802901847973232e8,4.6813948126824254e8,2.363418203698865e9,7.775569633901666e6,2.9559619181665506e7,4.567190716775887e6,4.4109089070350036e7,8.449682873215727e8,3.6770494953655845e8,6.738070164262562e8,1.0927122699748194e8,1.812651845151836e8,1.8258933440425325e7
cFuel,2.8443311157775734e10,3.119906088993271e8,1.0782362717627532e9,1.6635215477849576e9,3.3070964268982697e9,7.688758445450108e8,1.61438047140894e9,7.163477158904331e8,1.290959169946913e9,1.090509812053207e9,5.915358405864452e8,7.095432417554335e7,2.5700233621449807e8,7.50861666481563e8,3.599779732492797e8,1.7952511521172142e9,5.043158153405141e9,4.253668067776323e7,9.377452601948619e7,2.1113450451506127e7,3.031989665770017e8,2.4372833066146693e9,1.136920635973408e9,2.361695638641414e9,4.0860311420235294e8,8.065449911721264e8,1.2098053202705006e8
cNSE,399584.5975210975,15191.362268287256,14802.196746035495,15958.977834144687,16059.892616458405,14875.967305174143,15274.552659971849,14176.183711998974,15251.27620632072,16073.907980687196,16473.61469016015,14029.158189191156,13290.637308596666,14171.538924800476,14123.6628266969,16389.40829129216,15872.81913337546,14358.428409418662,13962.375398819308,13469.301426205418,14659.167492625611,15478.912301782495,15887.841921717716,15774.724221911423,15479.569540734768,26938.905561026015,11560.214553661384
cStart,3.8217404860745864e9,5.193591975831143e7,1.2325655717514406e8,1.5290477199837196e8,4.7438045374536496e8,8.876035366785556e7,2.0308508531213683e8,9.568695261822177e7,2.0231520233618847e8,1.622060850039827e8,5.336644464631965e7,1.9081601444714062e7,3.7963694473738454e7,7.308118222845063e7,3.0685706975023516e7,2.4971467920952055e8,7.243852642629981e8,1.0300372036228143e7,1.0616298413430918e7,6.434051160543292e6,6.519379012806505e7,2.691962043657264e8,1.426975899118067e8,2.894044489958465e8,5.1818987774728596e7,2.0697352553623226e8,2.6295262895680074e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,2.2194857288785808e7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,3.024948615104782e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
