model,line_name,planning_year,case,unit,value
USENSYS,BASN_to_CANO,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_CASO,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_NWPP,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_RMRG,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,BASN_to_SRSG,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_CASO,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,CANO_to_NWPP,2030,26z-short-retire_w10_h168_1680w_myopic,MW,775
USENSYS,CASO_to_NWPP,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,CASO_to_SRSG,2030,26z-short-retire_w10_h168_1680w_myopic,MW,5427
USENSYS,FRCC_to_SRSE,2030,26z-short-retire_w10_h168_1680w_myopic,MW,1425
USENSYS,ISNE_to_NYCW,2030,26z-short-retire_w10_h168_1680w_myopic,MW,217
USENSYS,ISNE_to_NYUP,2030,26z-short-retire_w10_h168_1680w_myopic,MW,3294
USENSYS,MISC_to_MISS,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_MISW,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMC,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,MISC_to_PJMW,2030,26z-short-retire_w10_h168_1680w_myopic,MW,7071
USENSYS,MISC_to_SPPC,2030,26z-short-retire_w10_h168_1680w_myopic,MW,9163
USENSYS,MISC_to_SPPS,2030,26z-short-retire_w10_h168_1680w_myopic,MW,10361
USENSYS,MISC_to_SRCE,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,MISE_to_PJMW,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SPPS,2030,26z-short-retire_w10_h168_1680w_myopic,MW,16970
USENSYS,MISS_to_SRCE,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,MISS_to_SRSE,2030,26z-short-retire_w10_h168_1680w_myopic,MW,10000
USENSYS,MISW_to_NWPP,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,MISW_to_PJMC,2030,26z-short-retire_w10_h168_1680w_myopic,MW,5464
USENSYS,MISW_to_SPPN,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,NWPP_to_RMRG,2030,26z-short-retire_w10_h168_1680w_myopic,MW,3885
USENSYS,NYCW_to_NYUP,2030,26z-short-retire_w10_h168_1680w_myopic,MW,1597
USENSYS,NYCW_to_PJME,2030,26z-short-retire_w10_h168_1680w_myopic,MW,5123
USENSYS,NYUP_to_PJME,2030,26z-short-retire_w10_h168_1680w_myopic,MW,4256
USENSYS,PJMC_to_PJMW,2030,26z-short-retire_w10_h168_1680w_myopic,MW,7872
USENSYS,PJMD_to_PJME,2030,26z-short-retire_w10_h168_1680w_myopic,MW,6339
USENSYS,PJMD_to_PJMW,2030,26z-short-retire_w10_h168_1680w_myopic,MW,0
USENSYS,PJMD_to_SRCA,2030,26z-short-retire_w10_h168_1680w_myopic,MW,1036
USENSYS,PJME_to_PJMW,2030,26z-short-retire_w10_h168_1680w_myopic,MW,4064
