model,line,line_name,planning_year,case,unit,AnnualSum
GenX,1.0,BASN_to_CANO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,51042281.2711208
GenX,2.0,BASN_to_CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1946355169.9594052
GenX,3.0,BASN_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1931100430.3402784
GenX,4.0,BASN_to_RMRG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2451782195.7858663
GenX,5.0,BASN_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2098194995.115745
GenX,6.0,CANO_to_CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1066459513.521799
GenX,7.0,CANO_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1685959832.5251598
GenX,8.0,CASO_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1673523884.5779293
GenX,9.0,CASO_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2957787632.235661
GenX,10.0,FRCC_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1392137708.9524336
GenX,11.0,ISNE_to_NYCW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,239652776.97417223
GenX,12.0,ISNE_to_NYUP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1497784849.3949058
GenX,13.0,MISC_to_MISE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1488358268.5453153
GenX,14.0,MISC_to_MISS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,359310734.0873826
GenX,15.0,MISC_to_MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,784020620.873847
GenX,16.0,MISC_to_PJMC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1069100713.1576368
GenX,17.0,MISC_to_PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,8230656916.532345
GenX,18.0,MISC_to_SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3418152221.632236
GenX,19.0,MISC_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,49386651.87301912
GenX,20.0,MISC_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,5235988523.8017845
GenX,21.0,MISC_to_SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1442469662.6125622
GenX,22.0,MISE_to_MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,7259.883094606667
GenX,23.0,MISE_to_PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,855983354.8896533
GenX,24.0,MISS_to_SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1915242072.106922
GenX,25.0,MISS_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,6420510429.498811
GenX,26.0,MISS_to_SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,912628768.1653744
GenX,27.0,MISS_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2830595968.527044
GenX,28.0,MISW_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,212567511.86639485
GenX,29.0,MISW_to_PJMC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1424128114.8246238
GenX,30.0,MISW_to_SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,160227043.14717785
GenX,31.0,MISW_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1752826294.749497
GenX,32.0,NWPP_to_RMRG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1610391373.6425655
GenX,33.0,NYCW_to_NYUP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1370263436.7073946
GenX,34.0,NYCW_to_PJME,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1614101325.1086187
GenX,35.0,NYUP_to_PJME,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1330512827.8449063
GenX,36.0,PJMC_to_PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1416382734.0922856
GenX,37.0,PJMD_to_PJME,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,729901524.9940584
GenX,38.0,PJMD_to_PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1903750772.6495917
GenX,39.0,PJMD_to_SRCA,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,423162159.3532721
GenX,40.0,PJME_to_PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3402505969.487535
GenX,41.0,PJMW_to_SRCA,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,594117542.1867384
GenX,42.0,PJMW_to_SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2207416404.823836
GenX,43.0,RMRG_to_SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1780740131.2798774
GenX,44.0,RMRG_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,420841648.6667159
GenX,45.0,RMRG_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,858117942.8353077
GenX,46.0,SPPC_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,164650261.6675029
GenX,47.0,SPPC_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1457463073.3913147
GenX,48.0,SPPN_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1088646325.8777049
GenX,49.0,SPPS_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,6227347733.426163
GenX,50.0,SPPS_to_TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2504668474.4238467
GenX,51.0,SPPS_to_TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1629578833.9368937
GenX,52.0,SRCA_to_SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1052977609.2071564
GenX,53.0,SRCA_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,475629131.2179855
GenX,54.0,SRCE_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2181055406.3726783
GenX,55.0,TRE_to_TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3695119083.336828
GenX,56.0,NWPP_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,608724559.6080364
GenX,57.0,SRSG_to_TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,7720170355.03708
GenX,1.0,BASN_to_CANO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,68416399.99992572
GenX,2.0,BASN_to_CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3092024152.597031
GenX,3.0,BASN_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2403124762.986764
GenX,4.0,BASN_to_RMRG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2659916677.193723
GenX,5.0,BASN_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2444377541.125174
GenX,6.0,CANO_to_CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1090995463.8092976
GenX,7.0,CANO_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2037569320.1625872
GenX,8.0,CASO_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1936900950.6027465
GenX,9.0,CASO_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,5848262924.4447365
GenX,10.0,FRCC_to_SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2684458806.4033504
GenX,11.0,ISNE_to_NYCW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,623290093.8979802
GenX,12.0,ISNE_to_NYUP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,4304683659.284101
GenX,13.0,MISC_to_MISE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2324498641.202609
GenX,14.0,MISC_to_MISS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,384135427.8325382
GenX,15.0,MISC_to_MISW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,773640565.2838633
GenX,16.0,MISC_to_PJMC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1167551016.4173472
GenX,17.0,MISC_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,13406919994.83006
GenX,18.0,MISC_to_SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,4603316061.564365
GenX,19.0,MISC_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,52119652.64703397
GenX,20.0,MISC_to_SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,9476693437.323782
